family	stratum	cohort	predictor	outcome	keratin	purity	method	k_cov	rho	p	n	thesis_aligned
quantile	Q4_vs_Q1	LUAD	TACSTD2	CD8A	none	see_adjustment	mannwhitney	0	-0.1356288684574244	0.05981218254512199	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CD8A	simple_spearman	see_adjustment	mannwhitney	3	-0.11039000060092541	0.12557906893490392	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CD8A	simple_pearson	see_adjustment	mannwhitney	3	-0.11916351180818463	0.09821328609277305	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CD8A	squamous_spearman	see_adjustment	mannwhitney	4	-0.17673216753800858	0.014173526676515696	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CD8A	squamous_pearson	see_adjustment	mannwhitney	4	-0.14896941289585963	0.03869745302443823	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CD8A	simple_ESTIMATE_spearman	see_adjustment	mannwhitney	4	-0.05317344961240311	0.46175883936495876	257	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CD8A	simple_ABSOLUTE_spearman	see_adjustment	mannwhitney	4	-0.007509386733416723	0.9320925015531635	179	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CD8A	squamous_ESTIMATE_spearman	see_adjustment	mannwhitney	5	-0.07558139534883723	0.2953545352034951	257	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CD8_AB	none	see_adjustment	mannwhitney	0	-0.1612282915690163	0.02524804100322779	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CD8_AB	simple_spearman	see_adjustment	mannwhitney	3	-0.1286581335256295	0.07419693980922372	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CD8_AB	simple_pearson	see_adjustment	mannwhitney	3	-0.13959497626344575	0.05271610943330309	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CD8_AB	squamous_spearman	see_adjustment	mannwhitney	4	-0.19764437233339338	0.006084903255880057	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CD8_AB	squamous_pearson	see_adjustment	mannwhitney	4	-0.17204494922180158	0.01695140967697445	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CD8_AB	simple_ESTIMATE_spearman	see_adjustment	mannwhitney	4	-0.07533914728682167	0.296906298967918	257	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CD8_AB	simple_ABSOLUTE_spearman	see_adjustment	mannwhitney	4	-0.04430538172715892	0.610170316647077	179	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CD8_AB	squamous_ESTIMATE_spearman	see_adjustment	mannwhitney	5	-0.09762596899224807	0.17640540851618447	257	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	T_CD3	none	see_adjustment	mannwhitney	0	-0.09825130701279972	0.17280612652936134	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	T_CD3	simple_spearman	see_adjustment	mannwhitney	3	-0.07517577068685777	0.29700753389854617	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	T_CD3	simple_pearson	see_adjustment	mannwhitney	3	-0.07661799170722916	0.28782946091539097	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	T_CD3	squamous_spearman	see_adjustment	mannwhitney	4	-0.14800793221561204	0.03997173486679165	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	T_CD3	squamous_pearson	see_adjustment	mannwhitney	4	-0.10522204194459472	0.14428431983483647	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	T_CD3	simple_ESTIMATE_spearman	see_adjustment	mannwhitney	4	-0.031613372093023284	0.6619601013679545	257	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	T_CD3	simple_ABSOLUTE_spearman	see_adjustment	mannwhitney	4	0.0946182728410514	0.2755236120055766	179	False
quantile	Q4_vs_Q1	LUAD	TACSTD2	T_CD3	squamous_ESTIMATE_spearman	see_adjustment	mannwhitney	5	-0.04663275193798455	0.5187177655489048	257	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CYT_Rooney	none	see_adjustment	mannwhitney	0	-0.16194940207920194	0.02460183871464331	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CYT_Rooney	simple_spearman	see_adjustment	mannwhitney	3	-0.12505258097470107	0.08268074750297465	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CYT_Rooney	simple_pearson	see_adjustment	mannwhitney	3	-0.12024517757346309	0.095197599744589	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CYT_Rooney	squamous_spearman	see_adjustment	mannwhitney	4	-0.19788474250345534	0.006023342490180566	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CYT_Rooney	squamous_pearson	see_adjustment	mannwhitney	4	-0.17817438855837986	0.01340372700359681	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CYT_Rooney	simple_ESTIMATE_spearman	see_adjustment	mannwhitney	4	-0.09980620155038755	0.1669360483826844	257	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CYT_Rooney	simple_ABSOLUTE_spearman	see_adjustment	mannwhitney	4	-0.038798498122653347	0.6553934871425591	179	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CYT_Rooney	squamous_ESTIMATE_spearman	see_adjustment	mannwhitney	5	-0.12342538759689925	0.0873781459393231	257	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	cytotoxic_4	none	see_adjustment	mannwhitney	0	-0.1895919716363199	0.008504017461554264	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	cytotoxic_4	simple_spearman	see_adjustment	mannwhitney	3	-0.1831019770446488	0.011045035897793059	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	cytotoxic_4	simple_pearson	see_adjustment	mannwhitney	3	-0.17396791058229677	0.01575866212586771	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	cytotoxic_4	squamous_spearman	see_adjustment	mannwhitney	4	-0.2334595276726158	0.0011935703043338996	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	cytotoxic_4	squamous_pearson	see_adjustment	mannwhitney	4	-0.2227630551048615	0.001988750135618885	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	cytotoxic_4	simple_ESTIMATE_spearman	see_adjustment	mannwhitney	4	-0.156734496124031	0.02993588107831399	257	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	cytotoxic_4	simple_ABSOLUTE_spearman	see_adjustment	mannwhitney	4	-0.09111389236545686	0.2937224513118356	179	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	cytotoxic_4	squamous_ESTIMATE_spearman	see_adjustment	mannwhitney	5	-0.16303294573643412	0.023932470984986624	257	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	cytotoxic_8	none	see_adjustment	mannwhitney	0	-0.1555795925725617	0.030837570642133237	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	cytotoxic_8	simple_spearman	see_adjustment	mannwhitney	3	-0.15077218917132384	0.0364010884097855	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	cytotoxic_8	simple_pearson	see_adjustment	mannwhitney	3	-0.15834384952827352	0.027981896954888903	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	cytotoxic_8	squamous_spearman	see_adjustment	mannwhitney	4	-0.20245177573463136	0.004955465019159005	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	cytotoxic_8	squamous_pearson	see_adjustment	mannwhitney	4	-0.17913586923862745	0.01291128108070604	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	cytotoxic_8	simple_ESTIMATE_spearman	see_adjustment	mannwhitney	4	-0.13190406976744184	0.06771823016300048	257	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	cytotoxic_8	simple_ABSOLUTE_spearman	see_adjustment	mannwhitney	4	-0.04255319148936165	0.6244095765624481	179	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	cytotoxic_8	squamous_ESTIMATE_spearman	see_adjustment	mannwhitney	5	-0.1312984496124031	0.06898995886408046	257	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CD8_effector	none	see_adjustment	mannwhitney	0	-0.19584159605792917	0.006564968919830285	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CD8_effector	simple_spearman	see_adjustment	mannwhitney	3	-0.1790156841535966	0.01297194855790568	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CD8_effector	simple_pearson	see_adjustment	mannwhitney	3	-0.17252568956192538	0.016646023713274748	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CD8_effector	squamous_spearman	see_adjustment	mannwhitney	4	-0.2404302626044108	0.0008462985508213102	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CD8_effector	squamous_pearson	see_adjustment	mannwhitney	4	-0.22120064899945913	0.0021390440045642826	258	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CD8_effector	simple_ESTIMATE_spearman	see_adjustment	mannwhitney	4	-0.1575823643410853	0.0290589328186211	257	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CD8_effector	simple_ABSOLUTE_spearman	see_adjustment	mannwhitney	4	-0.10488110137672091	0.22671616977364217	179	True
quantile	Q4_vs_Q1	LUAD	TACSTD2	CD8_effector	squamous_ESTIMATE_spearman	see_adjustment	mannwhitney	5	-0.1670300387596899	0.020689841907849556	257	True
quantile	Q4_vs_Q1	LUAD	CLDN4	CD8A	none	see_adjustment	mannwhitney	0	-0.1858662340003605	0.009890094822258774	258	True
quantile	Q4_vs_Q1	LUAD	CLDN4	CD8A	simple_spearman	see_adjustment	mannwhitney	3	-0.1560603329126855	0.03032366223227726	258	True
quantile	Q4_vs_Q1	LUAD	CLDN4	CD8A	simple_pearson	see_adjustment	mannwhitney	3	-0.16387236343969713	0.022948227291511608	258	True
quantile	Q4_vs_Q1	LUAD	CLDN4	CD8A	squamous_spearman	see_adjustment	mannwhitney	4	-0.21098491677182862	0.0034072801400662983	258	True
