patient	cohort	unit	tissue	file	n_cells	n_malignant	n_malignant_locked	mal_CLDN4_pct	mal_CLDN4_mean	malignant_rule
LX255B	GSE123902	donor	METASTASIS	GSM3516668_MSK_LX255B_METASTASIS_dense.csv.gz	3886	228	228	0.3508771929824561	0.4488016514639581	marker_malig EPCAM|KRT8|KRT18|KRT19>0 and PTPRC==0; tumor/met only
LX653	GSE123902	donor	PRIMARY	GSM3516662_MSK_LX653_PRIMARY_TUMOUR_dense.csv.gz	392	145	145	0.7172413793103448	1.2524068271342224	marker_malig EPCAM|KRT8|KRT18|KRT19>0 and PTPRC==0; tumor/met only
LX661	GSE123902	donor	PRIMARY	GSM3516663_MSK_LX661_PRIMARY_TUMOUR_dense.csv.gz	4566	117	117	0.5897435897435898	0.8576085684228482	marker_malig EPCAM|KRT8|KRT18|KRT19>0 and PTPRC==0; tumor/met only
LX666	GSE123902	donor	METASTASIS	GSM3516664_MSK_LX666_METASTASIS_dense.csv.gz	1316	786	786	0.6717557251908397	0.9923952117887151	marker_malig EPCAM|KRT8|KRT18|KRT19>0 and PTPRC==0; tumor/met only
LX675	GSE123902	donor	PRIMARY	GSM3516665_MSK_LX675_PRIMARY_TUMOUR_dense.csv.gz	3435	618	618	0.313915857605178	0.582960587751478	marker_malig EPCAM|KRT8|KRT18|KRT19>0 and PTPRC==0; tumor/met only
LX676	GSE123902	donor	PRIMARY	GSM3516667_MSK_LX676_PRIMARY_TUMOUR_dense.csv.gz	4014	147	147	0.4217687074829932	0.831390019521496	marker_malig EPCAM|KRT8|KRT18|KRT19>0 and PTPRC==0; tumor/met only
LX679	GSE123902	donor	PRIMARY	GSM3516669_MSK_LX679_PRIMARY_TUMOUR_dense.csv.gz	2017	497	497	0.4325955734406438	0.5643712240448416	marker_malig EPCAM|KRT8|KRT18|KRT19>0 and PTPRC==0; tumor/met only
LX680	GSE123902	donor	PRIMARY	GSM3516670_MSK_LX680_PRIMARY_TUMOUR_dense.csv.gz	941	258	258	0.7325581395348837	1.85907788462344	marker_malig EPCAM|KRT8|KRT18|KRT19>0 and PTPRC==0; tumor/met only
LX681	GSE123902	donor	METASTASIS	GSM3516671_MSK_LX681_METASTASIS_dense.csv.gz	1630	1207	1207	0.6329743164871583	1.1775350457817828	marker_malig EPCAM|KRT8|KRT18|KRT19>0 and PTPRC==0; tumor/met only
LX682	GSE123902	donor	PRIMARY	GSM3516672_MSK_LX682_PRIMARY_TUMOUR_dense.csv.gz	4092	421	421	0.1876484560570071	0.4613182340255857	marker_malig EPCAM|KRT8|KRT18|KRT19>0 and PTPRC==0; tumor/met only
LX684	GSE123902	donor	PRIMARY	GSM3516674_MSK_LX684_PRIMARY_TUMOUR_dense.csv.gz	378	173	173	0.7283236994219653	0.9118972941270772	marker_malig EPCAM|KRT8|KRT18|KRT19>0 and PTPRC==0; tumor/met only
LX699	GSE123902	donor	METASTASIS	GSM3516677_MSK_LX699_METASTASIS_dense.csv.gz	2671	46	46	0.1521739130434782	0.3141177643147814	marker_malig EPCAM|KRT8|KRT18|KRT19>0 and PTPRC==0; tumor/met only
LX701	GSE123902	donor	METASTASIS	GSM3516678_MSK_LX701_METASTASIS_dense.csv.gz	788	90	90	0.1111111111111111	0.1116109679423314	marker_malig EPCAM|KRT8|KRT18|KRT19>0 and PTPRC==0; tumor/met only
