key	column
ImmuneScore	ESTIMATE_ImmuneScore
StromalScore	ESTIMATE_StromalScore
ESTIMATEScore	ESTIMATE_ESTIMATEScore
CD8_CIBERSORT	CIBERSORT_T_cell_CD8+
CD8_xCell	xCell_T_cell_CD8+
Immune_xCell	xCell_immune_score
WES_purity	WES_purity
WGS_purity	WGS_purity
