layer	gene	row	n_obs	n_na
protein	CLDN4	ENSG00000189143.9	78	30
protein	TACSTD2	ENSG00000184292.7	108	0
rna	CLDN4	ENSG00000189143.9	108	0
rna	TACSTD2	ENSG00000184292.7	108	0
rna	CD8A	ENSG00000153563.15	108	0
