gene	row	found	n_obs	used
CCL5	ENSG00000271503.6	True	108	True
CD27	ENSG00000139193.3	True	108	True
CD274	ENSG00000120217.14	True	108	True
CD276	ENSG00000103855.18	True	108	True
CD8A	ENSG00000153563.15	True	108	True
CMKLR1	ENSG00000174600.14	True	108	True
CXCL9	ENSG00000138755.6	True	108	True
CXCR6	ENSG00000172215.6	True	108	True
HLA-DQA1	ENSG00000196735.13	True	108	True
HLA-DRB1	ENSG00000196126.11	True	108	True
HLA-E	ENSG00000204592.9	True	108	True
IDO1	ENSG00000131203.13	True	108	True
LAG3	ENSG00000089692.9	True	108	True
NKG7	ENSG00000105374.10	True	108	True
PDCD1LG2	ENSG00000197646.8	True	108	True
PSMB10	ENSG00000205220.12	True	108	True
STAT1	ENSG00000115415.20	True	108	True
TIGIT	ENSG00000181847.12	True	108	True
