gene	row	found	n_obs	used
CLDN1	ENSG00000163347.6	True	108	True
CLDN3	ENSG00000165215.6	True	103	True
CLDN4	ENSG00000189143.9	True	78	True
CLDN7	ENSG00000181885.18	True	13	True
OCLN	ENSG00000197822.11	True	108	True
TJP1	ENSG00000104067.16	True	108	True
TJP2	ENSG00000119139.20	True	108	True
TJP3	ENSG00000105289.15	True	108	True
F11R	ENSG00000158769.18	True	108	True
JAM2	ENSG00000154721.15	True	108	True
JAM3	ENSG00000166086.13	True	108	True
MARVELD2	ENSG00000152939.17	True	108	True
MARVELD3	ENSG00000140832.9	True	98	True
CGN	ENSG00000143375.15	True	108	True
CGNL1	ENSG00000128849.10	True	108	True
