protein	score	family	purity	n_marginal	marginal_rho	marginal_p	n_partial	partial_spearman_rho	partial_p	partial_ci_low	partial_ci_high	ols_residual_spearman_rho	ols_residual_spearman_p	n_ols_residual	partial_fdr_primary_wes	marginal_fdr_primary
TACSTD2	WES_purity	purity_context	none	107	0.06638094244546083	0.4969258829558377										
TACSTD2	WGS_purity	purity_context	none	104	0.09360103956096243	0.3446144128129996										
TACSTD2	ESTIMATE_TumorPurity	purity_context	none	108	0.07009822134575629	0.47097547145315194										
CLDN4	WES_purity	purity_context	none	77	0.30498693713435604	0.006995532819559084										
CLDN4	WGS_purity	purity_context	none	75	0.4128095176821625	0.00023270757887083432										
CLDN4	ESTIMATE_TumorPurity	purity_context	none	78	0.2698946622997256	0.016862606969230916										
xCell_T_cell_CD8+	WES_purity	purity_context	none	107	-0.3960785056466569	2.41075891801957e-05										
xCell_T_cell_CD8+	WGS_purity	purity_context	none	104	-0.47604716754734394	3.263507224836276e-07										
xCell_T_cell_CD8+	ESTIMATE_TumorPurity	purity_context	none	108	-0.4019079238559768	1.6222863249411053e-05										
xCell_immune_score	WES_purity	purity_context	none	107	-0.7235297274447102	1.33586766491814e-18										
xCell_immune_score	WGS_purity	purity_context	none	104	-0.8223767596649962	9.921191153637021e-27										
xCell_immune_score	ESTIMATE_TumorPurity	purity_context	none	108	-0.7376508807529985	8.624577928950321e-20										
xCell_T_cell_CD8+_naive	WES_purity	purity_context	none	107	0.0126162485865975	0.8973768130660514										
xCell_T_cell_CD8+_naive	WGS_purity	purity_context	none	104	-0.03269957183134791	0.7417556933397926										
xCell_T_cell_CD8+_naive	ESTIMATE_TumorPurity	purity_context	none	108	0.01968255881702943	0.8397708634061126										
xCell_T_cell_CD8+_central_memory	WES_purity	purity_context	none	107	-0.4932076298401395	6.76608538377988e-08										
xCell_T_cell_CD8+_central_memory	WGS_purity	purity_context	none	104	-0.5836027928406151	7.935415182951074e-11										
xCell_T_cell_CD8+_central_memory	ESTIMATE_TumorPurity	purity_context	none	108	-0.5171395333503112	1.0026582499456147e-08										
xCell_T_cell_CD8+_effector_memory	WES_purity	purity_context	none	107	-0.2705647475799133	0.004822695519138723										
xCell_T_cell_CD8+_effector_memory	WGS_purity	purity_context	none	104	-0.3778667125101546	7.666840702304604e-05										
xCell_T_cell_CD8+_effector_memory	ESTIMATE_TumorPurity	purity_context	none	108	-0.25522162072311066	0.007681037995715884										
TACSTD2	xCell_T_cell_CD8+	primary	none	108	-0.07950341046898066	0.4134112267807988										0.4134112267807988
TACSTD2	xCell_T_cell_CD8+	primary	WES_purity	108	-0.07950341046898066	0.4134112267807988	107.0	-0.061075405450289534	0.5339845824197583	-0.24893065974142245	0.13120864821277903	-0.1367618497634458	0.1601197480942638	107.0	0.5339845824197583	
TACSTD2	xCell_T_cell_CD8+	primary	WGS_purity	108	-0.07950341046898066	0.4134112267807988	104.0	-0.033456101333127944	0.7372536489883693	-0.225520614683934	0.16111169413939444	-0.0787796830784918	0.426657272216612	104.0		
TACSTD2	xCell_T_cell_CD8+	primary	ESTIMATE_TumorPurity	108	-0.07950341046898066	0.4134112267807988	108.0	-0.05619534584119966	0.565347950803221	-0.24345628237760994	0.1351045160559736	-0.0833309516324178	0.39121485097020264	108.0		
TACSTD2	xCell_immune_score	primary	none	108	-0.1334324120914192	0.16860521848316948										0.2248069579775593
TACSTD2	xCell_immune_score	primary	WES_purity	108	-0.1334324120914192	0.16860521848316948	107.0	-0.12872354726068352	0.18849158658744541	-0.31182225324710067	0.06359338201552098	-0.193263974607653	0.046097095611303485	107.0	0.2513221154499272	
TACSTD2	xCell_immune_score	primary	WGS_purity	108	-0.1334324120914192	0.16860521848316948	104.0	-0.087226353189216	0.38096564207694467	-0.27609048612403797	0.10812348476321922	-0.1531526725701483	0.12062583906886754	104.0		
TACSTD2	xCell_immune_score	primary	ESTIMATE_TumorPurity	108	-0.1334324120914192	0.16860521848316948	108.0	-0.12133896854703452	0.2131303787783078	-0.30418969288095865	0.07013516117861743	-0.16877685367782255	0.08079004458954527	108.0		
TACSTD2	xCell_T_cell_CD8+_naive	exploratory_cd8_subset	none	108	-0.09884233586340434	0.30880069316625197										
TACSTD2	xCell_T_cell_CD8+_naive	exploratory_cd8_subset	WES_purity	108	-0.09884233586340434	0.30880069316625197	107.0	-0.09990374265450713	0.30823711873968196	-0.28522359734946123	0.09261668210296732	-0.0929120744951854	0.3411667331859272	107.0		
TACSTD2	xCell_T_cell_CD8+_central_memory	exploratory_cd8_subset	none	108	-0.0350013715746844	0.7191294169478754										
TACSTD2	xCell_T_cell_CD8+_central_memory	exploratory_cd8_subset	WES_purity	108	-0.0350013715746844	0.7191294169478754	107.0	-0.006047769877033958	0.9509388126520999	-0.19657640253907602	0.1849209752643459	-0.06596081832987445	0.49965945750480456	107.0		
TACSTD2	xCell_T_cell_CD8+_effector_memory	exploratory_cd8_subset	none	108	-0.08819166140375356	0.3640790073680964										
