gene	MCF7_log2FC	T47D_log2FC	mean_log2FC	concordant	MCF7_WT_FPKM	MCF7_CLDN4KO_FPKM	T47D_WT_FPKM	T47D_CLDN4KO_FPKM
CLDN4	-0.7442705212651903	-1.0211416915837814	-0.8827061064244859	True	85.8545	50.8495	42.5059	20.4365
TACSTD2	-0.9962015460023547	-0.6169048247519765	-0.8065531853771656	True	59.9174	29.539	59.6053	38.5188
EPCAM	0.09500984825740512	0.3414240708990397	0.2182169595782224	True	153.335	163.841	163.921	207.956
CLDN3	0.0582496862887075	-0.664927629168059	-0.30333897143967575	False	39.6463	41.321	37.3609	23.195
CLDN7	0.05561074196938569	-0.3280381227646736	-0.13621369039764394	False	103.99	108.116	81.4915	64.7143
TJP2	-0.16693478076715074	-0.1060791924428837	-0.13650698660501723	True	12.8386	11.3265	14.6594	13.5493
OCLN	-0.15443469500476606	-0.20803522585914497	-0.18123496043195553	True	38.2245	34.2426	47.3019	40.8157
F11R	-0.41214494387291	0.1562521586987524	-0.1279463925870788	False	41.2858	30.778	26.265	29.3838
CDH1	-0.24258109975649567	0.13522337634515383	-0.05367886170567092	False	108.16	91.2655	62.5235	68.7655
VIM	-0.9978585096119704	0.748298374395822	-0.1247800676080742	False	2.76985	0.887725	5.23721	9.47733
SNAI1	0.1585524761052721	-0.10490957995758901	0.02682144807384154	False	0.865492	1.0822	1.14431	0.993915
STAT1	-0.052412321291995266	0.10211528835471985	0.02485148353136229	False	34.9779	33.6943	24.152	25.9968
STAT2	-0.26539870328825405	0.014493333083616904	-0.12545268510231858	False	8.83472	7.18218	6.72633	6.80434
IRF1	-0.13259008909371914	-0.4220873655762847	-0.2773387273350019	True	2.74523	2.41637	4.0123	2.7409
ISG15	0.10380320577643176	-1.8676950124360483	-0.8819459033298083	False	40.0522	43.1148	50.6308	13.1474
