gene	MCF7_log2FC	T47D_log2FC	mean_log2FC	concordant	MCF7_WT_FPKM	MCF7_CLDN4KO_FPKM	T47D_WT_FPKM	T47D_CLDN4KO_FPKM
LINC01522	2.224372539186963	2.0904294573015543	2.157400998244259	True	5.26782	28.29	1.64195	10.2514
PAQR3	-0.6607226927836531	4.627993011115083	1.9836351591657149	False	12.5581	7.57633	4.11372	125.445
FAM133A	3.3099973088000834	0.32654875266121447	1.818273030730649	True	0.209249	10.9929	0.397973	0.753072
ZNF208	3.2476723683242192	0.29763016121066965	1.7726512647674444	True	0.404501	12.3404	0.909645	1.34719
LINC00494	1.8102220501751252	1.7032013894243139	1.7567117197997195	True	2.95613	12.874	0.763458	4.74222
SYNPO2	1.3366021410703932	2.163982380218896	1.7502922606446447	True	4.56285	13.0493	2.06819	12.7501
DCAF8L2	0.64410482011992	2.7695160716056875	1.7068104458628037	True	0.0274306	0.605637	0.34944	8.20155
BMPER	1.5523607494044294	1.7600363549339255	1.6561985521691773	True	0.442778	3.23162	1.56576	7.6904
SLITRK4	0.9141098307060671	2.3289025085474018	1.6215061696267346	True	0.0	0.884406	0.776517	7.92563
IGSF11	-0.03696373967948943	3.173886967594734	1.5684616139576224	False	0.724313	0.680695	0.0	8.02475
ACTA2-AS1	0.5246398751193605	2.5852056868838007	1.5549227810015807	True	3.0812	4.87111	0.330739	6.98578
EMBP1	0.22259438450508046	2.866015158460799	1.5443047714829399	True	0.0	0.16683	0.219112	7.88792
SLITRK6	2.3677569593212286	0.7001085537891938	1.5339327565552112	True	2.68911	18.0409	1.57059	3.17625
GTSF1	2.9773285746062137	0.0	1.4886642873031068	False	4.29525	40.7015	0.0	0.0
ADGRL2	0.5128054085710473	2.4395623513052445	1.476183879938146	True	4.11363	6.29624	0.245564	5.7569
ANKRD30A,LINC00993	1.473850965398249	1.4438645802273524	1.4588577728128007	True	27.3429	77.7259	29.6375	82.3489
HERC5	1.8175823226720251	1.0243775194562785	1.4209799210641518	True	4.16165	17.1943	3.77091	8.70442
LINC00993	1.3169792443194182	1.4951420718818105	1.4060606581006143	True	0.411048	2.51554	1.46238	5.94125
FGFBP2	2.961581276584067	-0.19905726470016308	1.381262005941952	False	0.227254	8.56003	0.191982	0.0383589
CCDC88A	1.1582967362811971	1.5681998138954913	1.3632482750883441	True	0.34631	2.00488	1.09636	5.21643
INTU	1.3953722193508629	1.2834525368181249	1.3394123780844938	True	0.85721	3.88551	2.53904	7.61476
CLDN22	0.0	2.6738034746683317	1.3369017373341658	False	0.0	0.0	0.318152	7.41125
MAP1B	0.2432912703526086	2.326803666154959	1.2850474682537838	True	11.4868	13.7805	0.936367	8.71461
GLRX	1.479271901366111	1.0335529574539828	1.256412429410047	True	2.1493	7.7805	2.1269	5.40095
LRRC8C	1.0909938361660136	1.339107938845278	1.2150508875056458	True	2.64872	6.77253	4.46691	12.831
TMTC1	1.6627973769949322	0.7654368842770474	1.21411713063599	True	5.06541	18.2049	0.366728	1.32328
TBXAS1	2.1328737460222253	0.27144017950945115	1.2021569627658382	True	1.0947	8.18715	1.94461	2.55418
ZFAND4	1.939880483242611	0.460588931957012	1.2002347075998117	True	2.12015	10.9712	7.74302	11.0313
BBOX1-AS1	1.2901248633841886	1.095859533868487	1.1929921986263379	True	3.92269	11.0384	2.31701	6.08979
ACTA2	0.9073610289463232	1.476420822778809	1.191890925862566	True	4.83607	9.9462	3.34583	11.0926
ELOVL4	1.155756532063082	1.2043621164243126	1.1800593242436972	True	1.8742	5.40375	2.23525	6.45516
GRIK1-AS2	-0.07314910408110153	2.3945480342930563	1.1606994651059774	False	0.0520105	0.0	0.632358	7.58314
FSD1	1.1713960984180223	1.1430688824028812	1.1572324904104518	True	0.509389	2.39959	2.67088	7.10715
PCDHB13	1.2083482609276222	1.071247819461443	1.1397980401945325	True	0.932325	3.46508	0.0	1.10125
UBASH3B	1.0705006812997047	1.1910195686322063	1.1307601249659553	True	2.63371	6.63138	0.374011	2.13706
MYO7A	1.8218589947648833	0.4368491305649863	1.1293540626649348	True	0.427997	4.04849	1.52338	2.41576
GXYLT2	1.6679599478276248	0.5824308043911363	1.1251953761093805	True	0.306022	3.15008	0.361053	1.038
LRP1B	0.7107385868709186	1.5335920124974587	1.1221652996841887	True	0.69304	1.7709	24.6693	73.3141
NPTX1	0.5684761526846208	1.6679619124948453	1.118219032589733	True	10.2124	15.6275	1.02754	5.44282
LOC646736	0.0	2.228453160210645	1.1142265801053226	False	0.0	0.0	0.179996	4.52983
ZNF284	0.7857928245643764	1.3980987960154632	1.0919458102899198	True	1.67984	3.62015	0.0816795	1.85081
ZDHHC2	0.21709393034983782	1.9540673523220726	1.0855806413359552	True	9.17447	10.8267	0.829028	6.08685
IGF2BP1	1.3992352794984917	0.7528326288037225	1.076033954151107	True	1.75256	6.2602	6.95378	12.4029
06-9	1.3874149045738484	0.761579747692775	1.0744973261333117	True	0.194884	2.12593	0.230793	1.08662
SPAM1	-0.05788538923869479	2.2060756650642164	1.0740951379127608	False	0.0409389	0.0	1.50599	10.5631
FBN2	-0.14705396076292468	2.283528519055894	1.0682372791464845	False	0.107306	0.0	3.3502	20.1797
RBM24	1.2761742643848277	0.8575995762716995	1.0668869203282636	True	10.4433	26.7152	9.19177	17.4677
EGR3	1.8476924798693402	0.26461486242822824	1.0561536711487842	True	0.515078	4.45313	0.394047	0.67469
NKX2-8	1.4838008966476743	0.6249188412357156	1.0543598689416949	True	1.37234	5.63507	0.406761	1.1694
KIF5C	1.2534438463177715	0.8014163702477668	1.0274301082827693	True	3.12238	8.82816	0.923226	2.35182
LOC102723828	-0.12912510047053294	2.181272240867384	1.0260735701984256	False	0.524455	0.39394	16.7143	79.3438
GCA	1.8216144624436879	0.21822263008865916	1.0199185462661735	True	3.42581	14.6442	18.5518	21.7446
SH3GL3	1.400914948338429	0.632603876165039	1.016759412251734	True	0.0	1.64069	0.606323	1.49038
SDK2	2.022331315929504	0.0	1.011165657964752	False	1.73666	10.1174	0.0	0.0
RAP2C	-0.16778396641295484	2.1869676703580287	1.0095918519725369	False	82.5351	73.3637	55.7705	257.503
