gene,mean_high,mean_low,log2FC_high_vs_low,spearman_rho,spearman_p,welch_t,welch_p,mwu_p,spearman_fdr,welch_fdr,up_in_trop2_high,n_high,n_low,n_total
TACSTD2,8.02158033074556,3.1375567660088497,4.884023564736712,1.0,0.0,8.046833354069774,1.5857868880279267e-05,0.0001554001554001554,0.0,0.011546244361175573,True,8,8,24
KLF5,5.560385082299147,1.4082883041816743,4.152096778117473,0.9460869565217391,3.000427331585533e-12,9.140555111363216,3.051105574120077e-07,0.0001554001554001554,5.040417874330537e-08,0.0017050086465778677,True,8,8,24
PVRL4,4.902524027469024,1.463750265897468,3.4387737615715563,0.9269565217391305,7.7411114007536e-11,8.543099723649231,9.232185826084555e-07,0.0001554001554001554,8.669528694750647e-07,0.0028140541687526276,True,8,8,24
PKP3,6.314166465095749,1.6339007844851374,4.680265680610612,0.9147826086956521,3.9823245501206593e-10,7.8531175604026835,4.390444052565583e-06,0.0001554001554001554,2.6759628046990784e-06,0.00525739995137398,True,8,8,24
KRT19,10.631953733517028,4.9433626154075085,5.688591118109519,0.9147826086956521,3.9823245501206593e-10,6.092268943479126,0.00012784422296413086,0.0001554001554001554,2.6759628046990784e-06,0.0349321610046336,True,8,8,24
GJB3,4.573052968206005,0.562767716536485,4.0102852516695195,0.9095652173913045,7.468374341361072e-10,7.077440148396436,1.6981833970744543e-05,0.0001554001554001554,3.409513539801508e-06,0.011682999634415542,True,8,8,24
CAPN1,7.304991721565561,5.942397165219603,1.3625945563459583,0.9095652173913044,7.468374341361174e-10,9.714964877132733,1.7910112619349776e-07,0.0001554001554001554,3.409513539801508e-06,0.0015807906193507561,True,8,8,24
RHOV,6.042817919950967,1.7642996835937654,4.278518236357202,0.9078260869565217,9.13316919406321e-10,6.1655798632395316,5.321997728837816e-05,0.0001554001554001554,3.409513539801508e-06,0.02324258936410117,True,8,8,24
KIAA1522,5.482947277244135,2.554830426042936,2.9281168512011995,0.9078260869565217,9.13316919406321e-10,6.704235485522747,7.199075628112306e-05,0.0001554001554001554,3.409513539801508e-06,0.027121101880334553,True,8,8,24
GJB4,2.3220955021431866,0.13441589608155347,2.187679606061633,0.9060055650638563,1.1227494748312271e-09,6.40298516133332,0.0002440381938134779,0.0009068567509923489,3.772213685537957e-06,0.048704503573643455,True,8,8,24
