,TACSTD2
R20027161LR01,8.38277855849438
R20028573LR01,0.315086218173547
R20052328LR01,7.10680089156827
R20030544LR01,7.92125247116428
R20031593LR01,1.50410169161238
R20035974LR01,6.15032828661551
R20041445LR01,2.82464709746739
R20052336LR01,4.95137634505117
R20059498LR01,6.22219707106702
R20059499LR01,6.05187623902491
R20059506LR01,6.6741813198676
R20059511LR01,3.75725254423446
R20073124LR01,5.60039872548956
R20073125LR01,4.9991896090022
R20073128LR02,7.7721603284611
R20073704LR03,8.82916519536962
R20073708LR01,6.78473179402388
R20073752LR01,3.47476153771991
R21008693LR01,3.44210323787044
R21008694LR01,5.75479794542503
R21008707LR01,7.16549872244666
R21017092LR01,8.12932958432833
R21017102LR01,8.86565689413185
R21025078LR01,4.8311254559415
