cohort	n_genes_ranked	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
GSE137244_epithelium_cell_lines	32546	prerank	WIKI__Cholesterol Biosynthesis WP103	0.8746078364811224	2.594707464719985	0.0	0.33403511818201553	0.1335	14/15	11.25%	Fdft1;Sc5d;Cyp51;Hmgcr;Mvk;Hmgcs1;Lss;Sqle;Idi1;Nsdhl;Fdps;Pmvk;Msmo1;Mvd
GSE137244_epithelium_cell_lines	32546	prerank	KEGG__Proteasome	0.676332275525246	2.5392870060216843	0.006932409012131715	1.0	0.2205	22/46	10.77%	Psmc2;Psmc1;Psmd6;Psmd14;Psmd1;Psmc4;Psmd2;Psma3;Psme4;Psmb7;Psmc6;Psmd8;Psmd3;Psmd12;Psmb2;Psma1;Psma2;Psma7;Psma4;Psmf1;Psmb6;Psmc3
GSE137244_epithelium_cell_lines	32546	prerank	KEGG__Aminoacyl-tRNA biosynthesis	0.6595324741925035	2.466110060038166	0.005050505050505051	0.5415314752951346	0.2205	29/44	18.26%	Hars2;Iars2;Dars2;Aars2;Kars;Vars;Hars;Dars;Rars;Mars2;Mars;Eprs;Lars;Farsa;Yars2;Tars2;Tars;Nars;Qrsl1;Aars;Farsb;Mtfmt;Cars;Qars;Yars;Pars2;Iars;Tarsl2;Nars2
GSE137244_epithelium_cell_lines	32546	prerank	HALLMARK__HALLMARK_G2M_CHECKPOINT	0.551822514919447	2.3812789070994222	0.03666666666666667	0.3600901798353694	0.126	124/187	26.97%	Uck2;Odf2;Slc38a1;Ss18;Orc5;Map3k20;Odc1;Hspa8;Nup50;Kif5b;Hmgb3;Hnrnpu;Cdc27;Prmt5;Dbf4;Top1;Tmpo;Kpnb1;Lig3;Stag1;Mtf2;Nup98;Mnat1;Casp8ap2;Sqle;Cdk4;Ctcf;Lmnb1;Ccnt1;Srsf10;Wrn;Prim2;Rad23b;Pura;Nsd2;Xpo1;Atrx;Katna1;Bard1;Prpf4b;Tfdp1;Tra2b;Srsf1;Cbx1;Rbl1;Pml;Knl1;Upf1;Cdc6;G3bp1;Exo1;Cul5;Hus1;Pafah1b1;Smc2;Cdc25a;Rps6ka5;Pole;Amd1;Kif23;Hif1a;Snrpd1;Hmmr;Mybl2;Stil;Nasp;Syncrip;Bub1;Brca2;Tnpo2;Smad3;Dr1;E2f3;Kif2c;Gspt1;Polq;Kif20b;Cul4a;Kif15;Slc7a1;Ccnf;Kif4;Cenpf;Rad54l;Ttk;Ube2s;Smarcc1;Cul3;Lbr;Aurka;Cenpe;Notch2;Foxn3;Slc7a5;Dmd;Plk4;Ythdc1;Ilf3;Cdc7;Nek2;Pbk;Abl1;Jpt1;Traip;Fbxo5;Smc4;Top2a;Numa1;Tpx2;Espl1;Srsf2;Tacc3;Chmp1a;Mapk14;Ndc80;Chek1;Bub3;Cdk1;Ccnd1;Kmt5a;Marcks;Cul1;Aurkb;Cenpa
GSE137244_epithelium_cell_lines	32546	prerank	KEGG__Nucleotide excision repair	0.627927567134283	2.36083711250554	0.005025125628140704	0.36102098353008966	0.2205	22/43	17.78%	Gtf2h1;Ercc6;Ercc5;Ercc3;Ercc4;Mnat1;Pole2;Rad23b;Pcna;Gtf2h3;Rfc1;Ercc8;Cul4b;Rad23a;Cdk7;Rfc3;Rfc2;Pole;Rfc5;Cul4a;Rpa1;Ddb1
GSE137244_epithelium_cell_lines	32546	prerank	HALLMARK__HALLMARK_MTORC1_SIGNALING	0.550556613316852	2.3442181469433696	0.038869257950530034	0.1800450899176847	0.126	85/191	12.25%	Eno1b;Ccng1;Psmc2;Gtf2h1;Bhlhe40;Psmd14;Tfrc;Actr2;Gbe1;Nufip1;Txnrd1;Psmc4;Ykt6;Nmt1;Sc5d;Pno1;Dhcr24;Acly;Tuba4a;Psma3;Pik3r3;Psmc6;Arpc5l;G6pdx;Tbk1;Cops5;Cyp51;Hmgcr;Plod2;Slc2a1;Cct6a;Abcf2;Ak4;Mthfd2l;Etf1;Hspa4;Hmbs;Rdh11;Ldlr;Hmgcs1;Canx;Psmd12;Atp6v1d;Cacybp;Polr3g;Hk2;Gsr;Sqle;Rab1a;Fads2;Ddit4;Calr;Aldoa;Cdkn1a;Acaca;Acsl3;Sdf2l1;Eef1e1;Idi1;Pdap1;Nfil3;Eif2s2;Ufm1;Uchl5;Pdk1;Pfkl;Pgk1;Nampt;Ssr1;Psma4;Ldha;Gmps;Pgm1;Nup205;Ppa1;Ifrd1;Gapdh-ps15;Tes;Elovl6;Insig1;Atp2a2;Cdc25a;Glrx;Dapp1;Rrm2
GSE137244_epithelium_cell_lines	32546	prerank	KEGG__RNA transport	0.5266067142156207	2.3316120960307964	0.021341463414634148	0.2707657376475673	0.2205	70/161	12.20%	Eif4e2;Nupl2;Thoc7;Nup35;Phax;Eif4a1;Eif2b5;Alyref;Thoc5;Eif2s3x;Senp2;Nup50;Aaas;Eif2b2;Eif2s1;Prmt5;Eif4a3;Sumo1;Thoc1;Kpnb1;Nupl1;Nup160;Nup98;Eif1a;Nxt1;Rae1;Eif3d;Nup153;Ube2i;Xpo5;Pop1;Eif2b1;Cyfip1;Ndc1;Eif1ax;Tpr;Eif4g1;Ranbp2;Xpo1;Eif3b;Gemin5;Ran;Nup43;Eif2s2;Sec13;Thoc2;Nup54;Nup88;Pop4;Rangap1;Eif4g3;Rpp38;Nup155;Eif5;Seh1l;Eif3c;Gm4340;Sumo2;Upf1;Rpp14;Fmr1;Nup107;Nup133;Nup188;Nup205;Strap;Paip1;Ddx20;Rpp40;Pop7
GSE137244_epithelium_cell_lines	32546	prerank	WIKI__Proteasome Degradation WP519	0.5999408950471269	2.3288266871357566	0.006980802792321117	0.1676035856141341	0.1335	22/52	10.77%	Psmc2;Psmc1;Psmd6;Rpn2;Uchl4;Psmc4;Psmd5;Psmd2;Uba1;Psma3;Psmb7;Psmc6;Psmd8;Psmd3;Psmd12;Psmb2;Psma2;Psma7;Ube2d2a;Psma4;Psmb6;Psmc3
GSE137244_epithelium_cell_lines	32546	prerank	HALLMARK__HALLMARK_E2F_TARGETS	0.5057611290729092	2.271004699246136	0.024844720496894408	0.12003005994512313	0.126	124/194	28.43%	Ppm1d;Tfrc;Rad50;Hmgb3;Cse1l;Trp53;Eif2s1;Chek2;Nbn;Tmpo;Tubb5;Smc6;Wee1;Stag1;Eed;Donson;Nup153;Dnmt1;Cdk4;Ccne1;Ctcf;Lmnb1;Cdkn1a;Prim2;Atad2;Xpo1;Pcna;Ran;Rfc1;Diaph3;Gins1;Bard1;Tra2b;Srsf1;Brca1;Asf1a;Snrpb;Mms22l;Orc2;Nup107;Rfc3;Nup205;Hus1;Mre11a;Cdc25a;Pop7;Rrm2;Zw10;Rfc2;Pole;Hmmr;Mybl2;Nasp;Nop56;Pms2;Cnot9;Dlgap5;Syncrip;Wdr90;Brca2;Ak2;Melk;Prkdc;Kif2c;Gspt1;Usp1;Ppp1r8;Gins3;Ranbp1;Cit;Kif18b;Cbx5;Spag5;Kif4;Depdc1a;Ube2s;Rpa1;Trip13;Tubg1;Lbr;Aurka;Spc25;Cenpe;Ipo7;Ung;Nap1l1;Ube2t;Plk4;Dscc1;Slbp;Ccp110;Paics;Ilf3;E2f8;Jpt1;Smc4;Top2a;Cdca8;Mthfd2;Dck;Espl1;Srsf2;Tacc3;Mcm4;Ssrp1;Hells;Chek1;Psip1;Cdk1;Bub1b;Mcm7;Aurkb;Dut;Spc24;Dek;Mki67;Asf1b;Mcm5;Nudt21;Pa2g4;Rad51c;Pold3;Ubr7;Lyar
GSE137244_epithelium_cell_lines	32546	prerank	HALLMARK__HALLMARK_MYC_TARGETS_V1	0.5416457769460199	2.2273850842615226	0.04778156996587031	0.09002254495884235	0.126	97/190	17.54%	Eif4a1;Prps2;Psmd14;Rpl6;Eif4h;Cad;Psmd1;Psmc4;Cct4;Odc1;Psmc6;Cct2;Cops5;Psmd8;Hnrnpu;Eif2s1;Acp1;Hdac2;Etf1;Kpnb1;Dhx15;Got2;Psmd3;Canx;Ube2e1;Psmb2;Abce1;Ppm1g;Txnl4a;Gm9531;Cct5;Cstf2;Ddx21;Eif3d;Apex1;Cdk4;Psma1;Rrm1;Tcp1;Ptges3-ps;Psma2;Rad23b;Xpo1;Eif3b;Psma7;Ap3s1;Slc25a3;Pcna;Srpk1;Ran;Eif2s2;Mrps18b;Tfdp1;Tra2b;Rps6;Uba2;Cct3;Srsf1;Rps2;Pgk1;Rsl1d1;Psma4;Orc2;Ldha;Ruvbl2;Pwp1;Sf3b3;Tomm70a;Tufm;Fam120a;Vbp1;Vdac3;G3bp1;Ssb;Erh;Rack1;Ifrd1;Hddc2;Sf3a1;Srsf7;Snrpd1;Ppia;Nop56;Tyms;Syncrip;Eif3j1;Pabpc4;Xpot;Gspt1;Ywhaq;Usp1;Ranbp1;Hnrnpc;Clns1a;Hnrnpr;Psmb3;Psma6
