cohort	n_genes_ranked	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
GSE164758_GEMM_KL_KP_primary	19769	prerank	KEGG__Graft-versus-host disease	0.6315535779303324	2.4424640604480343	0.0	0.0	0.0	37/55	28.56%	H2-Q1;H2-Bl;H2-Q2;Gm8909;H2-Q8;H2-Q6;H2-Q10;H2-Q4;H2-T23;H2-Q9;H2-Q7;H2-L;H2-Ab1;H2-Eb1;H2-T3;H2-T10;H2-Aa;H2-D1;H2-K1;H2-Oa;Klra3;H2-M3;H2-T9;H2-T24;H2-Ob;Cd86;Gm7030;Il6;Prf1;Klra7;H2-T22;Klrd1;Cd80;H2-M2;Klra9;Il1b;Fasl
GSE164758_GEMM_KL_KP_primary	19769	prerank	KEGG__Allograft rejection	0.6335725618388989	2.4305212535433176	0.0	0.0	0.0	27/53	17.08%	H2-Q1;H2-Bl;H2-Q2;Gm8909;H2-Q8;H2-Q6;H2-Q10;Cd40lg;H2-Q4;H2-T23;H2-Q9;H2-Q7;H2-L;H2-Ab1;H2-Eb1;H2-T3;H2-T10;H2-Aa;H2-D1;H2-K1;Cd40;H2-Oa;H2-M3;H2-T9;H2-T24;H2-Ob;Il10
GSE164758_GEMM_KL_KP_primary	19769	prerank	KEGG__Autoimmune thyroid disease	0.6202905028009537	2.395835685784862	0.0	0.0	0.0	28/55	17.08%	H2-Q1;H2-Bl;H2-Q2;Gm8909;H2-Q8;H2-Q6;H2-Q10;Cd40lg;H2-Q4;H2-T23;H2-Q9;H2-Q7;H2-L;H2-Ab1;H2-Eb1;H2-T3;H2-T10;H2-Aa;H2-D1;H2-K1;Cd40;H2-Oa;H2-M3;H2-T9;Ctla4;H2-T24;H2-Ob;Il10
GSE164758_GEMM_KL_KP_primary	19769	prerank	KEGG__Intestinal immune network for IgA production	0.6622445290119767	2.3339947965556416	0.0	0.0	0.0	31/38	28.30%	Cd40lg;Ltbr;Tgfb1;Map3k14;Tnfrsf13b;H2-Ab1;H2-Eb1;Ccr10;Itgb7;Cxcl12;H2-Aa;Tnfrsf13c;Cd40;H2-Oa;Tnfrsf17;H2-Ob;Il10;Madcam1;Tnfsf13;Ccr9;Aicda;Icos;Icosl;Cd86;Itga4;Il6;Cxcr4;Cd80;Il15ra;Il4;Pigr
GSE164758_GEMM_KL_KP_primary	19769	prerank	KEGG__Primary immunodeficiency	0.6638720415629864	2.306804983861921	0.0	0.0	0.0	25/35	20.96%	Jak3;Orai1;Cd40lg;Rfxank;Tap2;Tnfrsf13b;Zap70;Cd79a;Ciita;Lck;Blnk;Cd3d;Tnfrsf13c;Cd40;Tap1;Cd3e;Il7r;Cd4;Cd19;Rfxap;Ada;Aicda;Cd8b1;Icos;Il2rg
GSE164758_GEMM_KL_KP_primary	19769	prerank	KEGG__Oxidative phosphorylation	0.511701696760749	2.2364767905492253	0.0	0.0	0.0	61/116	22.86%	Uqcrq;Cox17;Ndufa2;Ndufs7;Ndufa13;Cox10;Ndufb7;Uqcr11;Cox8a;Ndufa11;Atp5j2;Atp5k;Uqcr10;Sdhb;Cox6a1;Ndufb6;Atp5d;Ndufa6;Ndufa1;Cox5b;Ndufs6;Ndufa7;Atp6v1f;Atp5e;Atp5g1;Ndufv3;Ndufa3;Ndufc2;Ndufs8;Uqcrc1;Tcirg1;Lhpp;Ndufb2;Atp5g3;Cox5a;Uqcrfs1;Atp6v0e;Cox4i1;Cox4i2;Ndufa8;Cox6b1;Ndufc1;Atp6v1c2;Atp5j;Cox7a2;Ndufv1;Ndufa4l2;Ndufb11;Cox6b2;Ndufb9;Cyc1;Atp5a1;Cox6a2;Ndufb10;Cox6c;Ndufb3;Atp6v0b;Ndufa12;Cox7a2l;Atp6v0c;Atp5o
GSE164758_GEMM_KL_KP_primary	19769	prerank	KEGG__Type I diabetes mellitus	0.561708000760101	2.2019054904818587	0.0	6.143517756061635e-05	0.0005	35/58	28.56%	H2-Q1;H2-Bl;H2-Q2;Gm8909;H2-Q8;H2-Q6;H2-Q10;H2-Q4;H2-T23;H2-Q9;H2-Q7;H2-L;H2-Ab1;H2-Eb1;Ptprn;H2-T3;H2-T10;H2-Aa;H2-D1;H2-K1;H2-Oa;H2-M3;H2-T9;H2-T24;H2-Ob;Il12a;Cd86;Gm7030;Prf1;H2-T22;Cd80;H2-M2;Lta;Il1b;Fasl
GSE164758_GEMM_KL_KP_primary	19769	prerank	WIKI__Electron Transport Chain WP295	0.5256821401975305	2.192313478388703	0.0	0.0004695925624980214	0.0005	47/84	22.86%	Uqcrq;Cox17;Ndufa2;Ndufs7;Ndufb7;Uqcr11;Cox8a;Atp5j2;Atp5k;Uqcr10;Sdhb;Slc25a5;Cox6a1;Ndufb6;Atp5d;Ndufa6;Ndufa1;Cox5b;Ndufs6;Ndufa7;Atp5e;Ndufv3;Ndufa3;Ndufc2;Ndufs8;Uqcrc1;Ndufb2;Atp5g3;Cox5a;Uqcrfs1;Cox4i1;Ndufa8;Cox6b1;Ndufc1;Atp5j;Cox7a2;Ndufv1;Ndufb9;Ucp2;Atp5a1;Cox6a2;Ndufb10;Cox6c;Ndufb3;Ndufa12;Cox7a2l;Atp5o
GSE164758_GEMM_KL_KP_primary	19769	prerank	KEGG__Parkinson disease	0.4975116110936222	2.1839548100475357	0.0	5.37557803655393e-05	0.0005	64/122	23.08%	Uqcrq;Ndufa2;Ndufs7;Ndufa13;Ndufb7;Uqcr11;Cox8a;Ndufa11;Uqcr10;Sdhb;Slc25a5;Cox6a1;Ndufb6;Atp5d;Ndufa6;Ndufa1;Cox5b;Ndufs6;Ndufa7;Atp5e;Park7;Atp5g1;Ndufv3;Ndufa3;Ndufc2;Lrrk2;Ndufs8;Uqcrc1;Uba7;Ndufb2;Ube2j2;Atp5g3;Cox5a;Uqcrfs1;Ube2g2;Gnai2;Ubb;Cox4i1;Cox4i2;Ndufa8;Cox6b1;Pink1;Ndufc1;Ppif;Atp5j;Cox7a2;Ndufv1;Adora2a;Sept5;Ndufa4l2;Ndufb11;Adcy5;Cox6b2;Ndufb9;Cyc1;Atp5a1;Cox6a2;Ndufb10;Cox6c;Ndufb3;Ndufa12;Cox7a2l;Atp5o;Sncaip
GSE164758_GEMM_KL_KP_primary	19769	prerank	KEGG__Cell adhesion molecules (CAMs)	0.45176515130054395	2.0628744633034817	0.0	0.0005733949905657525	0.006	72/155	23.82%	H2-Q1;H2-Bl;H2-Q2;Cldn3;Gm8909;H2-Q8;H2-Q6;Cldn7;Esam;H2-Q10;Cd40lg;H2-Q4;H2-T23;H2-Q9;H2-Q7;Selplg;Sdc1;H2-L;Ntng2;H2-Ab1;H2-Eb1;Ptprf;Itgb7;Nectin1;Mag;Nectin2;Cldn5;H2-T3;H2-T10;H2-Aa;H2-D1;Icam1;H2-K1;Cd226;Cd40;Jam3;H2-Oa;H2-M3;Sell;Vsir;H2-T9;Cd4;Cd6;Cntn1;Ctla4;H2-T24;Glycam1;H2-Ob;Sdc3;Cldn23;Sele;Cd22;Madcam1;Spn;Mpzl1;Icam2;Itgal;Cadm3;Pdcd1;Itgb2l;Itgb8;Cd8b1;Icos;Icosl;Itgb2;Cd86;Cdh5;Cntnap1;Itga9;Cd8a;Itga4;Gm7030
