Term	n_genes
CURATED__CLAUDIN_FAMILY	38
GOFOCUS__GOBP_ADHERENS_JUNCTION_ASSEMBLY	12
GOFOCUS__GOBP_ADHERENS_JUNCTION_MAINTENANCE	9
GOFOCUS__GOBP_ADHERENS_JUNCTION_ORGANIZATION	58
GOFOCUS__GOBP_B_CELL_ADHESION	5
GOFOCUS__GOBP_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	38
GOFOCUS__GOBP_CALCIUM_INDEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	8
GOFOCUS__GOBP_CARDIAC_MUSCLE_CELL_CARDIAC_MUSCLE_CELL_ADHESION	7
GOFOCUS__GOBP_CELL_ADHESION	1507
GOFOCUS__GOBP_CELL_ADHESION_INVOLVED_IN_HEART_MORPHOGENESIS	9
GOFOCUS__GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN	92
GOFOCUS__GOBP_CELL_ADHESION_MOLECULE_PRODUCTION	12
GOFOCUS__GOBP_CELL_CELL_ADHESION	900
GOFOCUS__GOBP_CELL_CELL_ADHESION_INVOLVED_IN_GASTRULATION	12
GOFOCUS__GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	46
GOFOCUS__GOBP_CELL_CELL_ADHESION_MEDIATED_BY_INTEGRIN	18
GOFOCUS__GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	215
GOFOCUS__GOBP_EPITHELIAL_CELL_CELL_ADHESION	16
GOFOCUS__GOBP_HETEROPHILIC_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	50
GOFOCUS__GOBP_HETEROTYPIC_CELL_CELL_ADHESION	58
GOFOCUS__GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	111
GOFOCUS__GOBP_HOMOTYPIC_CELL_CELL_ADHESION	89
GOFOCUS__GOBP_LEUKOCYTE_CELL_CELL_ADHESION	426
GOFOCUS__GOBP_NEGATIVE_REGULATION_OF_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	6
GOFOCUS__GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION	318
GOFOCUS__GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN	11
GOFOCUS__GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION_MOLECULE_PRODUCTION	6
GOFOCUS__GOBP_NEGATIVE_REGULATION_OF_CELL_CELL_ADHESION	212
GOFOCUS__GOBP_NEGATIVE_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	9
GOFOCUS__GOBP_NEGATIVE_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION	16
GOFOCUS__GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION	155
GOFOCUS__GOBP_NEURON_CELL_CELL_ADHESION	10
GOFOCUS__GOBP_POSITIVE_REGULATION_OF_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	9
