cohort	sample	arm	setting	Tacstd2	tac_group
GSE137244_epithelium_cell_lines	B6AL10-1-RNA	KP	GEMM_derived_epithelial_cell_line	3.403267722339301	Tacstd2_low
GSE137244_epithelium_cell_lines	B6AL10-2-RNA	KP	GEMM_derived_epithelial_cell_line	3.028569152196771	Tacstd2_low
GSE137244_epithelium_cell_lines	B6AL10-3-RNA	KP	GEMM_derived_epithelial_cell_line	0.0	Tacstd2_low
GSE137244_epithelium_cell_lines	B6AL10-4-RNA	KP	GEMM_derived_epithelial_cell_line	3.3950627995175777	Tacstd2_low
GSE137244_epithelium_cell_lines	B6AL10-5-RNA	KP	GEMM_derived_epithelial_cell_line	3.2600256559614555	Tacstd2_low
GSE137244_epithelium_cell_lines	KL155mix-control-2-RNA	KL	GEMM_derived_epithelial_cell_line	5.703211467391146	Tacstd2_high
GSE137244_epithelium_cell_lines	KL47-1-untreated-1-RNA	KL	GEMM_derived_epithelial_cell_line	5.189429245809757	Tacstd2_high
GSE137244_epithelium_cell_lines	KLC-RNA	KL	GEMM_derived_epithelial_cell_line	5.7398481026993275	Tacstd2_high
GSE137244_epithelium_cell_lines	KLD-RNA	KL	GEMM_derived_epithelial_cell_line	6.584661907941469	Tacstd2_high
GSE137244_epithelium_cell_lines	KLE-RNA	KL	GEMM_derived_epithelial_cell_line	6.060912049587874	Tacstd2_high
GSE164758_GEMM_KL_KP_primary	KP109_LJE3	KP	GEMM_in_vivo_primary_tumor	5.722711917442323	Tacstd2_low
GSE164758_GEMM_KL_KP_primary	KP115_LJE4	KP	GEMM_in_vivo_primary_tumor	5.887842043994641	Tacstd2_low
GSE164758_GEMM_KL_KP_primary	KP116_LJE5	KP	GEMM_in_vivo_primary_tumor	6.147835807034755	Tacstd2_low
GSE164758_GEMM_KL_KP_primary	KP119_LJE6	KP	GEMM_in_vivo_primary_tumor	4.913416033285306	Tacstd2_low
GSE164758_GEMM_KL_KP_primary	KP137_LJE7	KP	GEMM_in_vivo_primary_tumor	6.008831960025742	Tacstd2_low
GSE164758_GEMM_KL_KP_primary	KP138_LJE8	KP	GEMM_in_vivo_primary_tumor	5.7924389300646375	Tacstd2_low
GSE164758_GEMM_KL_KP_primary	KP96_LJE1	KP	GEMM_in_vivo_primary_tumor	5.653690628286637	Tacstd2_low
GSE164758_GEMM_KL_KP_primary	KP97_LJE2	KP	GEMM_in_vivo_primary_tumor	4.981213342970905	Tacstd2_low
GSE164758_GEMM_KL_KP_primary	KL25	KL	GEMM_in_vivo_primary_tumor	6.579331024508092	Tacstd2_high
GSE164758_GEMM_KL_KP_primary	KL26	KL	GEMM_in_vivo_primary_tumor	6.357164888162339	Tacstd2_high
GSE164758_GEMM_KL_KP_primary	KL27	KL	GEMM_in_vivo_primary_tumor	6.210544721955508	Tacstd2_low
GSE164758_GEMM_KL_KP_primary	KL28	KL	GEMM_in_vivo_primary_tumor	6.574101508089389	Tacstd2_high
GSE164758_GEMM_KL_KP_primary	KL29	KL	GEMM_in_vivo_primary_tumor	6.374500492788668	Tacstd2_high
GSE164758_GEMM_KL_KP_primary	KL30	KL	GEMM_in_vivo_primary_tumor	6.985466275188442	Tacstd2_high
GSE164758_GEMM_KL_KP_primary	KL32	KL	GEMM_in_vivo_primary_tumor	6.782343034049531	Tacstd2_high
GSE164758_GEMM_KL_KP_primary	KL34	KL	GEMM_in_vivo_primary_tumor	6.260834874257272	Tacstd2_high
GSE164758_GEMM_KL_KP_primary	KL35	KL	GEMM_in_vivo_primary_tumor	6.344757496478669	Tacstd2_high
GSE137396_GEMM_KL_KP_nodules	KL77-Kras-Lkb1-NA	KL_nodule	GEMM_in_vivo_nodule	7.35976	Tacstd2_high
GSE137396_GEMM_KL_KP_nodules	KL80-Kras-Lkb1-NA	KL_nodule	GEMM_in_vivo_nodule	7.17579	Tacstd2_high
GSE137396_GEMM_KL_KP_nodules	KL84-Kras-Lkb1-NA	KL_nodule	GEMM_in_vivo_nodule	7.42949	Tacstd2_high
GSE137396_GEMM_KL_KP_nodules	KL5739-Kras-Lkb1-NA	KL_nodule	GEMM_in_vivo_nodule	5.13295	Tacstd2_low
GSE137396_GEMM_KL_KP_nodules	KL6426-Kras-Lkb1-NA	KL_nodule	GEMM_in_vivo_nodule	6.79805	Tacstd2_high
GSE137396_GEMM_KL_KP_nodules	KP_411-Kras-Trp53-Vehi	KP_nodule	GEMM_in_vivo_nodule	6.17025	Tacstd2_low
GSE137396_GEMM_KL_KP_nodules	KP_414-Kras-Trp53-Vehi	KP_nodule	GEMM_in_vivo_nodule	5.48028	Tacstd2_low
GSE137396_GEMM_KL_KP_nodules	KPp3558-8-Kras-Trp53-Vehi	KP_nodule	GEMM_in_vivo_nodule	6.27359	Tacstd2_high
GSE137396_GEMM_KL_KP_nodules	KPp3910-14-Kras-Trp53-Vehi	KP_nodule	GEMM_in_vivo_nodule	5.70075	Tacstd2_low
GSE137396_GEMM_KL_KP_nodules	KPp4006-9-Kras-Trp53-Vehi	KP_nodule	GEMM_in_vivo_nodule	4.84816	Tacstd2_low
