rank_pos_NES	cohort	n_genes_ranked	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	family
10	GSE164758_GEMM_KL_KP_primary	19769	prerank	KEGG__Cell adhesion molecules (CAMs)	0.45176515130054395	2.0628744633034817	0.0	0.0005733949905657525	0.006	72/155	23.82%	H2-Q1;H2-Bl;H2-Q2;Cldn3;Gm8909;H2-Q8;H2-Q6;Cldn7;Esam;H2-Q10;Cd40lg;H2-Q4;H2-T23;H2-Q9;H2-Q7;Selplg;Sdc1;H2-L;Ntng2;H2-Ab1;H2-Eb1;Ptprf;Itgb7;Nectin1;Mag;Nectin2;Cldn5;H2-T3;H2-T10;H2-Aa;H2-D1;Icam1;H2-K1;Cd226;Cd40;Jam3;H2-Oa;H2-M3;Sell;Vsir;H2-T9;Cd4;Cd6;Cntn1;Ctla4;H2-T24;Glycam1;H2-Ob;Sdc3;Cldn23;Sele;Cd22;Madcam1;Spn;Mpzl1;Icam2;Itgal;Cadm3;Pdcd1;Itgb2l;Itgb8;Cd8b1;Icos;Icosl;Itgb2;Cd86;Cdh5;Cntnap1;Itga9;Cd8a;Itga4;Gm7030	cell_adhesion
18	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION	0.39784297644000977	1.9220549411306036	0.0	0.01169957171210697	0.009	140/267	29.99%	Jak3;H2-DMb2;Tyk2;Rara;Hlx;Bad;Coro1a;Cd40lg;Rela;Tnfrsf14;Socs1;Zbtb7b;Shb;Card11;Efnb1;Sart1;Stat5b;Tgfb1;Tnfsf14;H2-DMa;Zap70;H2-Ab1;Gata3;H2-Eb1;Hes1;Cd74;Fcho1;Nr4a3;Smarcc2;Ephb6;Cd81;Ccdc88b;Igf2;Thy1;Gimap5;Sox4;Ccl21a;Cd5;Cd83;Abl1;H2-DMb1;Ap3d1;Il4ra;Carmil2;Lck;Smarcd3;H2-Aa;Btnl2;Gimap3;Pycard;Icam1;Capn1;Tnfrsf13c;Nfkbid;Pik3r6;Cd27;H2-Oa;Cd3e;Rasal3;Il7r;Runx3;Igfbp2;Vsir;Smarca4;Smarcd2;Cd4;Cd6;Actb;Stat5a;H2-Ob;H2-Eb2;Brd4;Tespa1;Sele;Sash3;Prkcq;Il12rb1;Flot2;Slamf1;Spn;Sox12;Ada;Aif1;Gpam;Klhl25;Rhoh;Itgal;Il12a;Ccl5;Ccr7;Ccl19;Cd209a;Fut7;Icos;Icosl;Il2rg;Ephb4;Itgb2;Syk;Il4i1;Hsph1;Cd86;Cd209d;Xcl1;Mdk;Irf1;Adam8;Skap1;Brd2;Ager;Dhps;Itga4;Bcl6;Il6;Sox13;B2m;Il2ra;Dusp10;Ptafr;Nckap1l;Arid1b;Cd80;Lgals1;Il6st;Fadd;Il4;Smarcd1;Wnt10b;Il1b;Cd1d1;Smarcb1;Il21;Sirpa;Cd160;Malt1;Ccl2;Tnfsf11;Nfkbiz;Il12b;Chst2	cell_adhesion
27	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_LEUKOCYTE_CELL_CELL_ADHESION	0.35763235608663924	1.7910449514755415	0.0	0.028371461401859397	0.0425	202/403	30.87%	Jak3;Scrib;Zc3h12a;Fermt3;H2-DMb2;Cebpb;Tyk2;Rara;Lrg1;Hlx;Bad;Slc4a2;Coro1a;Cd40lg;Rela;Sftpd;Tnfrsf14;Socs1;Zbtb7b;Shb;Card11;Selplg;Cd37;Laptm5;Efnb1;Sart1;Stat5b;Tgfb1;Tnip1;Tnfsf14;Prdx2;Tnfaip8l2;H2-DMa;Zap70;H2-Ab1;Gata3;H2-Eb1;Erbb2;Hes1;Cd74;Fcho1;Nr4a3;Smarcc2;Ephb6;Cd81;Ccdc88b;Itgb7;Igf2;Thy1;Gimap5;Akt1;Sox4;Ccl21a;Cd5;Sema4d;Cd83;Abl1;H2-DMb1;Ap3d1;Il4ra;Tbx21;Carmil2;Cxcl12;Lck;Smarcd3;H2-Aa;Btnl2;Podxl2;Gimap3;Pycard;Icam1;Pla2g2d;Capn1;Tnfrsf13c;Nfkbid;Pik3r6;Cd27;H2-Oa;Sell;Cd3e;Rasal3;Il7r;Runx3;Igfbp2;Vsir;Smarca4;Btla;Dtx1;Smarcd2;Cd4;Cd6;Actb;Lag3;Lax1;Mad1l1;Stat5a;Ctla4;Dapl1;Adora2a;Hspb1;H2-Ob;Prnp;H2-Eb2;Brd4;Tespa1;Sele;Sash3;Prkcq;Lrrc32;Stk10;Il12rb1;Madcam1;Flot2;Slamf1;Spn;Sox12;Ada;Aif1;Gpam;Klhl25;Rhoh;Rac2;Ascl2;Itgal;Il12a;Ccl5;Ccr7;Ccl19;Itgb2l;Cd209a;Fut7;Icos;Icosl;Cfh;Il2rg;Ephb4;Itgb2;Syk;Il4i1;Hsph1;Cd86;Gpnmb;Cd209d;Xcl1;Mdk;Irf1;Adam8;Skap1;Brd2;Ager;Dhps;Itga4;Bcl6;Il6;Nrarp;Sox13;B2m;Tigit;Il2ra;Hfe;Zc3h12d;Dusp10;Ptafr;Pla2g5;Fgl2;Arg1;Nckap1l;Arid1b;Tsc2;Cd80;Ass1;Scgb1a1;Lgals1;Il6st;Fadd;Il4;Smarcd1;Pla2g2e;Wnt10b;Il1b;Cd1d1;Dusp3;Fut9;Smarcb1;Il21;Sirpa;Cd160;Malt1;Ccl2;Foxj1;Tnfsf11;Nfkbiz;Il12b;Crtam;Chst2;Dlg5;Rasgrp1;Tnf;Itga5;Pecam1;Tnfsf13b;Gstp1	cell_adhesion
43	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION	0.3492093402280076	1.7167908567006893	0.0	0.03997353668303214	0.0855	156/319	30.50%	Jak3;H2-DMb2;Tyk2;Rara;Hlx;Bad;Rap1gap;Piezo1;Coro1a;Cd40lg;Rela;Tnfrsf14;Socs1;Zbtb7b;Shb;Card11;Emilin2;Efnb1;Sart1;Stat5b;Tgfb1;Tnfsf14;H2-DMa;Zap70;H2-Ab1;Gata3;H2-Eb1;Ptpn23;Hes1;Cd74;Fcho1;Nr4a3;Smarcc2;Ephb6;Cd81;Ccdc88b;Igf2;Thy1;Gimap5;Sox4;Ccl21a;Cd5;Kif26b;Cd83;Abl1;H2-DMb1;Ap3d1;Cxcl13;Il4ra;Carmil2;Lck;Smarcd3;H2-Aa;Btnl2;Gimap3;Pycard;Icam1;Capn1;Tnfrsf13c;Nfkbid;Pik3r6;Flot1;Cd27;H2-Oa;Cd3e;Rasal3;Il7r;Runx3;Igfbp2;Vsir;Smarca4;Smarcd2;Cd4;Cd6;Actb;Stat5a;H2-Ob;H2-Eb2;Brd4;Tespa1;Sele;Sash3;Prkcq;Il12rb1;Flot2;Slamf1;Mmrn1;Spn;Sox12;Ada;Aif1;Gpam;Klhl25;Rhoh;Itgal;Il12a;Ccl5;Ccr7;Ccl19;Cd209a;Fut7;Icos;Icosl;Il2rg;Ephb4;Fgg;Itgb2;Syk;Il4i1;Hsph1;Cd86;Cd209d;Xcl1;Mdk;Irf1;Adam8;Skap1;Brd2;Ager;Dhps;Itga4;Ptpru;Bcl6;Il6;Sox13;B2m;Ank3;Myo10;Il2ra;Dusp10;Ptafr;Nckap1l;Arid1b;Cd80;Lgals1;Il6st;Fadd;Il4;Smarcd1;Wnt10b;Il1b;Cd1d1;Smarcb1;Il21;Sirpa;Cd160;Cx3cl1;Malt1;Ccl2;Tnfsf11;Nfkbiz;Il12b;Chst2;Sox2;Rasgrp1;Tnf	cell_adhesion
49	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_REGULATION_OF_CELL_CELL_ADHESION	0.3226857606893936	1.6415353909350923	0.0	0.05864410320693618	0.155	229/486	30.35%	Jak3;Scrib;Mapk7;Zc3h12a;Fermt3;H2-DMb2;Cebpb;Tyk2;Spi1;Rara;Hlx;Bad;Rap1gap;Slc4a2;Piezo1;Coro1a;Cd40lg;Rela;Vps33b;Sftpd;Spint2;Tnfrsf14;Socs1;Zbtb7b;Shb;Card11;Cd37;Laptm5;Wnt4;Emilin2;Efnb1;Sart1;Stat5b;Tgfb1;Ephb3;Tnfsf14;Prdx2;Tnfaip8l2;H2-DMa;Zap70;H2-Ab1;Gata3;H2-Eb1;Src;Erbb2;Ptpn23;Hes1;Cd74;Fcho1;Celsr2;Nr4a3;Smarcc2;Ephb6;Cd81;Ccdc88b;Notch4;Taok2;Igf2;Thy1;Gimap5;Akt1;Sox4;Ccl21a;Cd5;Kif26b;Cd83;Abl1;H2-DMb1;Ap3d1;Cxcl13;Il4ra;Tbx21;Carmil2;Notch1;Cxcl12;Lck;Smarcd3;H2-Aa;Btnl2;Gimap3;Pycard;Icam1;Pla2g2d;Capn1;Tnfrsf13c;Nfkbid;Pik3r6;Flot1;Cd27;H2-Oa;Ccm2l;Cd3e;Rasal3;Il7r;Runx3;Igfbp2;Vsir;Smarca4;Btla;Dtx1;Smarcd2;Cd4;Cd6;Actb;Lag3;Muc4;Lax1;Mad1l1;Lrfn3;Stat5a;Ctla4;Dapl1;Adora2a;Hspb1;H2-Ob;Il10;Prnp;H2-Eb2;Brd4;Tespa1;Sele;Sash3;Prkcq;Lrrc32;Il12rb1;Flot2;Slamf1;Mmrn1;Spn;Sox12;Ada;Aif1;Gpam;Klhl25;Akna;Rhoh;Ascl2;Itgal;Il12a;Ccl5;Trpv4;Ccr7;Ccl19;Cd209a;Map2k5;Mad2l2;Lyn;Fut7;Icos;Icosl;Il2rg;Ephb4;Fgg;Itgb2;Syk;Il4i1;Hsph1;Cd86;Gpnmb;Cd209d;Xcl1;Mdk;Irf1;Adam8;Sh2b3;Ppm1f;Skap1;Brd2;Adipoq;Zfp703;Ager;Mink1;Dhps;Itga4;Ptpru;Bcl6;Il6;Nrarp;Sox13;B2m;Ank3;Tigit;Map2k1;Myo10;Il2ra;Hfe;Zc3h12d;Dusp10;Ptafr;Pla2g5;Fgl2;Arg1;Nckap1l;Arid1b;Tsc2;Cd80;Ass1;C1qtnf1;Scgb1a1;Lgals1;Il6st;Fadd;Il4;Smarcd1;Pla2g2e;Wnt10b;Serpine2;Il1b;Cd1d1;Dusp3;Vegfa;Fut9;Smarcb1;Il21;Sirpa;Cd160;Cx3cl1;Malt1;Ccl2;Foxj1;Tnfsf11;Nfkbiz;Il12b;Crtam;Chst2;Tenm3;Dlg5;Sox2;Rasgrp1	cell_adhesion
57	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION	0.33871770807257817	1.52878345166556	0.00625	0.11465580277864827	0.324	63/146	27.95%	Jak3;Scrib;Zc3h12a;Cebpb;Hlx;Slc4a2;Sftpd;Tnfrsf14;Socs1;Zbtb7b;Cd37;Laptm5;Tgfb1;Prdx2;Tnfaip8l2;Erbb2;Cd74;Gimap5;Akt1;Ccl21a;Il4ra;Tbx21;Cxcl12;H2-Aa;Gimap3;Pla2g2d;Nfkbid;Runx3;Vsir;Btla;Dtx1;Lag3;Lax1;Mad1l1;Ctla4;Dapl1;Adora2a;Hspb1;Prnp;Lrrc32;Spn;Ascl2;Il4i1;Cd86;Gpnmb;Mdk;Irf1;Adam8;Bcl6;Nrarp;Tigit;Il2ra;Hfe;Zc3h12d;Pla2g5;Fgl2;Arg1;Tsc2;Cd80;Ass1;Scgb1a1;Il4;Pla2g2e	cell_adhesion
71	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION	0.2804505601425523	1.430075916575752	0.0	0.18748563668651416	0.5305	176/499	24.26%	Jak3;H2-DMb2;Tyk2;Ninj1;Emilin1;Rara;Tnfrsf18;Pik3r2;Hlx;Bad;Rap1gap;Triobp;Unc13d;Prex1;Piezo1;Coro1a;Myh9;Cd40lg;Rela;Dnm2;Tnfrsf14;Socs1;Lamb2;Zbtb7b;Shb;Card11;Ldb1;Tesk1;Wnt4;Prkd2;Emilin2;Efnb1;Sart1;Stat5b;Tgfb1;Tnfsf14;Adgrg1;H2-DMa;Zap70;H2-Ab1;Gata3;H2-Eb1;Src;Tmem102;Jup;Erbb2;Ptpn23;Hes1;Cd74;Fcho1;Nr4a3;Smarcc2;Ephb6;Cd81;Ccdc88b;Igf2;Thy1;Gimap5;Sox4;Ccl21a;Cd5;Kif26b;Cd83;Vtn;Efemp2;Abl1;H2-DMb1;Ap3d1;Cxcl13;Il4ra;Carmil2;Cxcl12;Rell2;Lck;Smarcd3;H2-Aa;Btnl2;Stx4a;Vav1;Gimap3;Pycard;Icam1;Capn1;Tnfrsf13c;Nfkbid;Pik3r6;Flot1;Cd27;H2-Oa;Cd3e;Rasal3;Il7r;Runx3;Igfbp2;Vsir;Smarca4;Hyal1;Smarcd2;Cd4;Cd6;Actb;Lif;Rhod;Disc1;Csf1;Smoc2;Lims2;Stat5a;Pdgfb;Chrd;Ptn;H2-Ob;H2-Eb2;Brd4;Tespa1;Sele;Sash3;Prkcq;Tgm2;Il12rb1;Flot2;Slamf1;Enpp2;Mmrn1;Spn;Col16a1;Dbn1;Cass4;Sox12;Ada;Aif1;Gpam;Klhl25;Rhoh;Itgal;Il12a;Ccl5;Ccr7;Ccl19;Cd209a;Fut7;Icos;Icosl;Map4k4;Nrg1;Il2rg;Rras;Ephb4;Fgg;Itgb2;Syk;Il4i1;Hsph1;Cd86;Cd209d;Xcl1;Mdk;Irf1;Adam8;Smoc1;Ppm1f;Cib1;Skap1;Fbln1;Brd2;Ager;Ptpn11;Dhps;Itga4;Ptpru;Bcl6;Il6;Calca;Cfl1;Sox13;B2m	cell_adhesion
84	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION	0.2830544589403304	1.3835255063940328	0.008855154965211892	0.22062049514258852	0.628	117/302	27.19%	Jak3;Scrib;Mapk7;Zc3h12a;Cebpb;Spi1;Cldn7;Rcc2;Hlx;Slc4a2;Bcar1;Plxnb2;Sftpd;Spint2;Tnfrsf14;Socs1;Zbtb7b;Hspg2;Cd37;Laptm5;Adam15;Srcin1;Tgfb1;Men1;Dact2;Lrp1;Prdx2;Tnfaip8l2;Src;Erbb2;Cd74;Kank1;Notch4;Lpxn;Gimap5;Akt1;Ccl21a;Sema4d;Abl1;Col1a1;Il4ra;Tbx21;Acp5;Notch1;Cxcl12;H2-Aa;Gimap3;Pla2g2d;Coro1c;Mmp2;Nfkbid;Jam3;Ccm2l;Actn4;Runx3;Plxnb1;Vsir;Btla;Dtx1;Acvrl1;Lag3;Muc4;Ephb2;Lax1;Mad1l1;Ctla4;Dapl1;Adora2a;Hspb1;Il10;Prnp;Lrrc32;Hoxa7;Enpp2;Spn;Akna;Ascl2;Plxnd1;Myo1f;Trpv4;Map2k5;Mad2l2;Dscam;Dscaml1;Il4i1;Cd86;Gpnmb;Plxna1;Mdk;Irf1;Adam8;Sh2b3;Ppm1f;Fbln1;Adipoq;Zfp703;Ager;Ptpn11;Muc1;Bcl6;Nrarp;Cfl1;Tigit;Map2k1;Il2ra;Hfe;Zc3h12d;Pla2g5;Fgl2;Arg1;Tsc2;Cd80;Ass1;Spock1;C1qtnf1;Scgb1a1;Lgals1	cell_adhesion
91	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_NEGATIVE_REGULATION_OF_CELL_CELL_ADHESION	0.290700164621702	1.3604814875900815	0.024406332453825858	0.22375430899404575	0.6765	85/201	28.60%	Jak3;Scrib;Mapk7;Zc3h12a;Cebpb;Spi1;Hlx;Slc4a2;Sftpd;Spint2;Tnfrsf14;Socs1;Zbtb7b;Cd37;Laptm5;Tgfb1;Prdx2;Tnfaip8l2;Erbb2;Cd74;Notch4;Gimap5;Akt1;Ccl21a;Abl1;Il4ra;Tbx21;Notch1;Cxcl12;H2-Aa;Gimap3;Pla2g2d;Nfkbid;Ccm2l;Runx3;Vsir;Btla;Dtx1;Lag3;Muc4;Lax1;Mad1l1;Ctla4;Dapl1;Adora2a;Hspb1;Il10;Prnp;Lrrc32;Spn;Akna;Ascl2;Trpv4;Map2k5;Mad2l2;Il4i1;Cd86;Gpnmb;Mdk;Irf1;Adam8;Sh2b3;Ppm1f;Adipoq;Zfp703;Bcl6;Nrarp;Tigit;Map2k1;Il2ra;Hfe;Zc3h12d;Pla2g5;Fgl2;Arg1;Tsc2;Cd80;Ass1;C1qtnf1;Scgb1a1;Il4;Pla2g2e;Serpine2;Dusp3;Vegfa	cell_adhesion
93	GSE164758_GEMM_KL_KP_primary	19769	prerank	GOFOCUS__GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN	0.32282284996697774	1.3490980985154275	0.05385190725504862	0.21449214805529437	0.6995	37/84	26.29%	Fermt3;Emilin1;Piezo1;Itga2b;Itgb7;Lpxn;Ccl21a;Vtn;Cxcl13;Itgae;Icam1;Tesc;Jam3;Cd3e;Lif;Itgb5;Itga10;Mmrn1;Col16a1;Ada;Itgal;Ccl5;Itgb2l;Itgb8;Lyn;Itgb2;Syk;Itga9;Cib1;Skap1;Ptpn11;Itga4;Muc1;Itga7;Itga3;Epha2;Nckap1l	cell_adhesion
