contrast	gse	arm	species	gene_set	n_set	n_bg	auc	p_up	p_two	med_set	med_bg	mean_set	mean_bg	delta_med	delta_score	perm_p_up	perm_p_two	n_perm	exact
GSE207704_T47D	GSE207704	CLDN4	human	USER_CORE6	2	12179													
GSE207704_T47D	GSE207704	CLDN4	human	ISG_CORE	23	12158	0.3913	0.96439	0.07123	-0.09407	0.00691	-0.54171	-0.03283	-0.10098					
GSE207704_T47D	GSE207704	CLDN4	human	MHC1_APM	9	12172	0.29879	0.9817	0.03661	-0.23451	0.00691	-0.23386	-0.03365	-0.24142					
GSE207704_T47D	GSE207704	CLDN4	human	HALLMARK_IFN_ALPHA	60	12121	0.35416	0.99995	9e-05	-0.22372	0.00731	-0.40034	-0.03198	-0.23103					
GSE207704_T47D	GSE207704	CLDN4	human	HALLMARK_IFN_GAMMA	111	12070	0.42767	0.9957	0.0086	-0.08545	0.00733	-0.24079	-0.03189	-0.09278					
GSE207704_T47D	GSE207704	CLDN4	human	REACTOME_IFN_ALPHA_BETA	40	12141	0.42739	0.94386	0.11229	-0.063	0.00681	-0.32793	-0.03283	-0.0698					
GSE207704_T47D	GSE207704	CLDN4	human	REACTOME_MHC1_PEPTIDE_LOADING	19	12162	0.5982	0.06923	0.13846	0.10668	0.00623	0.05408	-0.03393	0.10045					
GSE207704_T47D	GSE207704	CLDN4	human	CTRL_HALLMARK_MYC_V1	179	12002	0.5603	0.00277	0.00553	0.06199	0.00503	0.02455	-0.03466	0.05696					
GSE207704_T47D	GSE207704	CLDN4	human	CTRL_HALLMARK_OXPHOS	177	12004	0.45901	0.96961	0.06078	-0.02498	0.00731	-0.05681	-0.03346	-0.03229					
GSE207704_MCF7	GSE207704	CLDN4	human	USER_CORE6	2	12312													
GSE207704_MCF7	GSE207704	CLDN4	human	ISG_CORE	20	12294	0.39507	0.94783	0.10435	-0.34561	0.02723	-0.13875	0.02218	-0.37284					
GSE207704_MCF7	GSE207704	CLDN4	human	MHC1_APM	9	12305	0.38848	0.87668	0.24668	-0.11952	0.02726	-0.01139	0.02194	-0.14678					
GSE207704_MCF7	GSE207704	CLDN4	human	HALLMARK_IFN_ALPHA	55	12259	0.5181	0.3214	0.6428	0.04784	0.02695	0.07774	0.02166	0.02089					
GSE207704_MCF7	GSE207704	CLDN4	human	HALLMARK_IFN_GAMMA	108	12206	0.4945	0.57812	0.84377	0.02277	0.0272	0.00186	0.02209	-0.00442					
GSE207704_MCF7	GSE207704	CLDN4	human	REACTOME_IFN_ALPHA_BETA	38	12276	0.39125	0.98979	0.02042	-0.10025	0.02752	-0.17744	0.02253	-0.12777					
GSE207704_MCF7	GSE207704	CLDN4	human	REACTOME_MHC1_PEPTIDE_LOADING	19	12295	0.53921	0.27708	0.55416	-0.00931	0.02719	0.12208	0.02176	-0.0365					
GSE207704_MCF7	GSE207704	CLDN4	human	CTRL_HALLMARK_MYC_V1	177	12137	0.52539	0.12266	0.24531	0.03926	0.02675	0.05757	0.02139	0.01251					
GSE207704_MCF7	GSE207704	CLDN4	human	CTRL_HALLMARK_OXPHOS	178	12136	0.49514	0.5883	0.82341	0.027	0.02719	0.01674	0.02199	-0.00018					
GSE22493_SKOV3	GSE22493	CLDN4	human	USER_CORE6	6	18676	0.45256	0.65635	0.68737	-0.17477	-0.03183	-0.30993	-0.05657	-0.14293					
GSE22493_SKOV3	GSE22493	CLDN4	human	ISG_CORE	29	18653	0.49841	0.51185	0.97632	0.00313	-0.0321	-0.07519	-0.05662	0.03523					
GSE22493_SKOV3	GSE22493	CLDN4	human	MHC1_APM	17	18665	0.40465	0.91327	0.17347	-0.44967	-0.03167	-0.24364	-0.05648	-0.418					
GSE22493_SKOV3	GSE22493	CLDN4	human	HALLMARK_IFN_ALPHA	70	18612	0.49023	0.61127	0.77747	-0.02121	-0.032	-0.04378	-0.0567	0.01079					
GSE22493_SKOV3	GSE22493	CLDN4	human	HALLMARK_IFN_GAMMA	154	18528	0.4871	0.70954	0.58093	-0.06581	-0.03168	-0.14274	-0.05593	-0.03413					
GSE22493_SKOV3	GSE22493	CLDN4	human	REACTOME_IFN_ALPHA_BETA	65	18617	0.48021	0.70942	0.58117	-0.12757	-0.0317	-0.1382	-0.05636	-0.09587					
GSE22493_SKOV3	GSE22493	CLDN4	human	REACTOME_MHC1_PEPTIDE_LOADING	21	18661	0.36837	0.98162	0.03677	-0.43877	-0.03145	-0.41799	-0.05624	-0.40732					
GSE22493_SKOV3	GSE22493	CLDN4	human	CTRL_HALLMARK_MYC_V1	154	18528	0.51717	0.23116	0.46232	-0.04805	-0.03173	0.02585	-0.05733	-0.01632					
GSE22493_SKOV3	GSE22493	CLDN4	human	CTRL_HALLMARK_OXPHOS	164	18518	0.53875	0.04348	0.08697	0.097	-0.03317	0.07071	-0.05778	0.13017					
GSE50927_Cldn4lungWTvsKO	GSE50927	CLDN4	mouse	USER_CORE6	8	21580	0.74053	0.00898	0.01797	0.59969	0.0	0.50272	0.00335	0.59969					
GSE50927_Cldn4lungWTvsKO	GSE50927	CLDN4	mouse	ISG_CORE	35	21553	0.73063	0.0	0.0	0.38812	0.0	0.35288	0.00297	0.38812					
GSE50927_Cldn4lungWTvsKO	GSE50927	CLDN4	mouse	MHC1_APM	21	21567	0.72867	0.00013	0.00027	0.26768	0.0	0.29636	0.00325	0.26768					
GSE50927_Cldn4lungWTvsKO	GSE50927	CLDN4	mouse	HALLMARK_IFN_ALPHA	89	21499	0.67725	0.0	0.0	0.19387	0.0	0.28121	0.00239	0.19387					
GSE50927_Cldn4lungWTvsKO	GSE50927	CLDN4	mouse	HALLMARK_IFN_GAMMA	181	21407	0.64249	0.0	0.0	0.17349	0.0	0.26029	0.00137	0.17349					
GSE50927_Cldn4lungWTvsKO	GSE50927	CLDN4	mouse	REACTOME_IFN_ALPHA_BETA	68	21520	0.60278	0.00162	0.00324	0.07942	0.0	0.1797	0.00298	0.07942					
GSE50927_Cldn4lungWTvsKO	GSE50927	CLDN4	mouse	REACTOME_MHC1_PEPTIDE_LOADING	28	21560	0.64878	0.0031	0.0062	0.11269	0.0	0.15232	0.00335	0.11269					
GSE50927_Cldn4lungWTvsKO	GSE50927	CLDN4	mouse	CTRL_HALLMARK_MYC_V1	190	21398	0.55358	0.00526	0.01053	0.06357	0.0	0.04764	0.00315	0.06357					
GSE50927_Cldn4lungWTvsKO	GSE50927	CLDN4	mouse	CTRL_HALLMARK_OXPHOS	191	21397	0.48428	0.77406	0.45188	-0.00785	0.0	0.0027	0.00355	-0.00785					
GSE50927_VILIwtkohi	GSE50927	CLDN4	mouse	USER_CORE6	8	21580	0.63122	0.0982	0.1964	0.12499	0.0	-0.26334	0.01415	0.12499					
GSE50927_VILIwtkohi	GSE50927	CLDN4	mouse	ISG_CORE	35	21553	0.5847	0.04065	0.0813	0.16868	0.0	0.12886	0.01386	0.16868					
GSE50927_VILIwtkohi	GSE50927	CLDN4	mouse	MHC1_APM	21	21567	0.67458	0.00269	0.00537	0.22943	0.0	0.21936	0.01385	0.22943					
GSE50927_VILIwtkohi	GSE50927	CLDN4	mouse	HALLMARK_IFN_ALPHA	89	21499	0.58302	0.00325	0.00651	0.13568	0.0	0.18927	0.01332	0.13568					
GSE50927_VILIwtkohi	GSE50927	CLDN4	mouse	HALLMARK_IFN_GAMMA	181	21407	0.63518	0.0	0.0	0.20509	0.0	0.31109	0.01154	0.20509					
GSE50927_VILIwtkohi	GSE50927	CLDN4	mouse	REACTOME_IFN_ALPHA_BETA	68	21520	0.62188	0.00024	0.00048	0.10666	0.0	0.20266	0.01345	0.10666					
GSE50927_VILIwtkohi	GSE50927	CLDN4	mouse	REACTOME_MHC1_PEPTIDE_LOADING	28	21560	0.59693	0.03718	0.07435	0.09396	0.0	0.08955	0.01395	0.09396					
GSE50927_VILIwtkohi	GSE50927	CLDN4	mouse	CTRL_HALLMARK_MYC_V1	190	21398	0.5682	0.00056	0.00112	0.07954	0.0	0.0551	0.01369	0.07954					
GSE50927_VILIwtkohi	GSE50927	CLDN4	mouse	CTRL_HALLMARK_OXPHOS	191	21397	0.64503	0.0	0.0	0.15031	0.0	0.13975	0.01293	0.15031					
GSE50927_VILIwtkolo	GSE50927	CLDN4	mouse	USER_CORE6	8	21580	0.40499	0.82525	0.34953	-0.18076	0.0	-0.10059	-0.01143	-0.18076					
GSE50927_VILIwtkolo	GSE50927	CLDN4	mouse	ISG_CORE	35	21553	0.42085	0.94835	0.1033	-0.10552	0.0	-0.02582	-0.01144	-0.10552					
GSE50927_VILIwtkolo	GSE50927	CLDN4	mouse	MHC1_APM	21	21567	0.51312	0.41714	0.83429	0.0385	0.0	-0.01133	-0.01147	0.0385					
GSE50927_VILIwtkolo	GSE50927	CLDN4	mouse	HALLMARK_IFN_ALPHA	89	21499	0.47174	0.82285	0.35432	-0.05767	0.0	-0.01534	-0.01145	-0.05767					
GSE50927_VILIwtkolo	GSE50927	CLDN4	mouse	HALLMARK_IFN_GAMMA	181	21407	0.52198	0.15262	0.30523	0.0	0.0	0.07785	-0.01222	0.0					
