contrast	arm	species	gene	log2FC	p	present
GSE207704_T47D	CLDN4	human	B2M			0
GSE207704_T47D	CLDN4	human	BST2	-4.684		1
GSE207704_T47D	CLDN4	human	CALR	-0.205		1
GSE207704_T47D	CLDN4	human	CANX	0.159		1
GSE207704_T47D	CLDN4	human	CLDN4	-1.053		1
GSE207704_T47D	CLDN4	human	CMPK2			0
GSE207704_T47D	CLDN4	human	DDX58	-0.275		1
GSE207704_T47D	CLDN4	human	DTX3L	-0.503		1
GSE207704_T47D	CLDN4	human	EPSTI1			0
GSE207704_T47D	CLDN4	human	ERAP1	-0.398		1
GSE207704_T47D	CLDN4	human	ERAP2			0
GSE207704_T47D	CLDN4	human	HERC5	1.186		1
GSE207704_T47D	CLDN4	human	HERC6	0.257		1
GSE207704_T47D	CLDN4	human	HLA-A			0
GSE207704_T47D	CLDN4	human	HLA-B			0
GSE207704_T47D	CLDN4	human	HLA-C	-0.521		1
GSE207704_T47D	CLDN4	human	HLA-E			0
GSE207704_T47D	CLDN4	human	HLA-F			0
GSE207704_T47D	CLDN4	human	IFI27			0
GSE207704_T47D	CLDN4	human	IFI44	-3.387		1
GSE207704_T47D	CLDN4	human	IFI44L	0.302		1
GSE207704_T47D	CLDN4	human	IFI6	-1.364		1
GSE207704_T47D	CLDN4	human	IFIH1	-0.45		1
GSE207704_T47D	CLDN4	human	IFIT1	-0.041		1
GSE207704_T47D	CLDN4	human	IFIT2			0
GSE207704_T47D	CLDN4	human	IFIT3			0
GSE207704_T47D	CLDN4	human	IFIT5	-0.094		1
GSE207704_T47D	CLDN4	human	IFITM1	0.189		1
GSE207704_T47D	CLDN4	human	IFITM2	0.657		1
GSE207704_T47D	CLDN4	human	IFITM3	0.145		1
GSE207704_T47D	CLDN4	human	IRF1	-0.534		1
GSE207704_T47D	CLDN4	human	IRF7			0
GSE207704_T47D	CLDN4	human	IRF9			0
GSE207704_T47D	CLDN4	human	ISG15	-1.937		1
GSE207704_T47D	CLDN4	human	LY6E			0
GSE207704_T47D	CLDN4	human	MX1			0
GSE207704_T47D	CLDN4	human	MX2			0
GSE207704_T47D	CLDN4	human	NLRC5			0
GSE207704_T47D	CLDN4	human	OAS1	-0.769		1
GSE207704_T47D	CLDN4	human	OAS2			0
GSE207704_T47D	CLDN4	human	OAS3	-0.894		1
GSE207704_T47D	CLDN4	human	OASL			0
GSE207704_T47D	CLDN4	human	PARP9	-0.695		1
GSE207704_T47D	CLDN4	human	PDIA3	0.028		1
GSE207704_T47D	CLDN4	human	PLSCR1	0.187		1
GSE207704_T47D	CLDN4	human	PSMB10	-0.043		1
GSE207704_T47D	CLDN4	human	PSMB8			0
GSE207704_T47D	CLDN4	human	PSMB9			0
GSE207704_T47D	CLDN4	human	PSME1	-0.235		1
GSE207704_T47D	CLDN4	human	PSME2	-0.356		1
GSE207704_T47D	CLDN4	human	RSAD2			0
GSE207704_T47D	CLDN4	human	SAMD9			0
GSE207704_T47D	CLDN4	human	SAMD9L			0
GSE207704_T47D	CLDN4	human	SP100			0
GSE207704_T47D	CLDN4	human	SP110	-0.054		1
GSE207704_T47D	CLDN4	human	STAT1	0.106		1
GSE207704_T47D	CLDN4	human	STAT2	0.016		1
GSE207704_T47D	CLDN4	human	TAP1			0
GSE207704_T47D	CLDN4	human	TAP2			0
GSE207704_T47D	CLDN4	human	TAPBP			0
GSE207704_T47D	CLDN4	human	USP18	-0.358		1
GSE207704_T47D	CLDN4	human	XAF1			0
GSE207704_MCF7	CLDN4	human	B2M			0
GSE207704_MCF7	CLDN4	human	BST2			0
GSE207704_MCF7	CLDN4	human	CALR	-0.12		1
GSE207704_MCF7	CLDN4	human	CANX	-0.048		1
GSE207704_MCF7	CLDN4	human	CLDN4	-0.755		1
GSE207704_MCF7	CLDN4	human	CMPK2			0
GSE207704_MCF7	CLDN4	human	DDX58	0.37		1
GSE207704_MCF7	CLDN4	human	DTX3L	-0.741		1
GSE207704_MCF7	CLDN4	human	EPSTI1			0
GSE207704_MCF7	CLDN4	human	ERAP1	-0.777		1
GSE207704_MCF7	CLDN4	human	ERAP2			0
GSE207704_MCF7	CLDN4	human	HERC5	2.021		1
GSE207704_MCF7	CLDN4	human	HERC6	0.414		1
GSE207704_MCF7	CLDN4	human	HLA-A			0
GSE207704_MCF7	CLDN4	human	HLA-B			0
GSE207704_MCF7	CLDN4	human	HLA-C	1.389		1
GSE207704_MCF7	CLDN4	human	HLA-E			0
GSE207704_MCF7	CLDN4	human	HLA-F			0
GSE207704_MCF7	CLDN4	human	IFI27			0
GSE207704_MCF7	CLDN4	human	IFI44	-1.874		1
GSE207704_MCF7	CLDN4	human	IFI44L			0
GSE207704_MCF7	CLDN4	human	IFI6	-0.475		1
GSE207704_MCF7	CLDN4	human	IFIH1	1.892		1
GSE207704_MCF7	CLDN4	human	IFIT1	-1.599		1
GSE207704_MCF7	CLDN4	human	IFIT2			0
GSE207704_MCF7	CLDN4	human	IFIT3			0
GSE207704_MCF7	CLDN4	human	IFIT5	0.664		1
GSE207704_MCF7	CLDN4	human	IFITM1	-0.586		1
GSE207704_MCF7	CLDN4	human	IFITM2	-1.085		1
GSE207704_MCF7	CLDN4	human	IFITM3	-1.189		1
GSE207704_MCF7	CLDN4	human	IRF1	-0.177		1
GSE207704_MCF7	CLDN4	human	IRF7			0
GSE207704_MCF7	CLDN4	human	IRF9			0
GSE207704_MCF7	CLDN4	human	ISG15	0.106		1
GSE207704_MCF7	CLDN4	human	LY6E			0
GSE207704_MCF7	CLDN4	human	MX1			0
GSE207704_MCF7	CLDN4	human	MX2			0
GSE207704_MCF7	CLDN4	human	NLRC5			0
GSE207704_MCF7	CLDN4	human	OAS1			0
GSE207704_MCF7	CLDN4	human	OAS2			0
GSE207704_MCF7	CLDN4	human	OAS3	-0.59		1
GSE207704_MCF7	CLDN4	human	OASL			0
GSE207704_MCF7	CLDN4	human	PARP9	-0.396		1
GSE207704_MCF7	CLDN4	human	PDIA3	-0.204		1
GSE207704_MCF7	CLDN4	human	PLSCR1	0.048		1
GSE207704_MCF7	CLDN4	human	PSMB10	0.367		1
GSE207704_MCF7	CLDN4	human	PSMB8			0
GSE207704_MCF7	CLDN4	human	PSMB9			0
GSE207704_MCF7	CLDN4	human	PSME1	-0.416		1
GSE207704_MCF7	CLDN4	human	PSME2	-0.118		1
GSE207704_MCF7	CLDN4	human	RSAD2			0
GSE207704_MCF7	CLDN4	human	SAMD9			0
GSE207704_MCF7	CLDN4	human	SAMD9L			0
GSE207704_MCF7	CLDN4	human	SP100			0
