contrast	arm	species	gene	log2FC	p
GSE334497_4T1	TACSTD2	mouse	Ifi27l2a	0.214	0.69045
GSE334497_4T1	TACSTD2	mouse	Ifi27l2b		
GSE334497_4T1	TACSTD2	mouse	Oas2	-0.104	0.80511
GSE334497_4T1	TACSTD2	mouse	Ifit1	-0.021	0.94279
GSE334497_4T1	TACSTD2	mouse	Mx1	0.16	0.66645
GSE334497_4T1	TACSTD2	mouse	Isg15	-0.091	0.83876
GSE334497_4T1	TACSTD2	mouse	H2-K1	0.133	0.46142
GSE334497_4T1	TACSTD2	mouse	H2-D1	0.064	0.77525
GSE289287_T47Dxeno	TACSTD2	human	IFI27	0.661	0.04982
GSE289287_T47Dxeno	TACSTD2	human	OAS2	0.814	0.00702
GSE289287_T47Dxeno	TACSTD2	human	IFIT1	0.908	0.0149
GSE289287_T47Dxeno	TACSTD2	human	MX1	0.934	0.00777
GSE289287_T47Dxeno	TACSTD2	human	ISG15	1.44	1e-05
GSE289287_T47Dxeno	TACSTD2	human	HLA-A	0.628	0.07056
GSE245459_SKOV3	TACSTD2	human	IFI27	-0.415	0.02151
GSE245459_SKOV3	TACSTD2	human	OAS2	-0.521	0.01715
GSE245459_SKOV3	TACSTD2	human	IFIT1	-1.89	0.00294
GSE245459_SKOV3	TACSTD2	human	MX1	-0.247	0.03174
GSE245459_SKOV3	TACSTD2	human	ISG15	-0.621	0.01425
GSE245459_SKOV3	TACSTD2	human	HLA-A	-4.166	0.0
GSE245459_SKOV3_DDP	TACSTD2	human	IFI27	0.32	0.0245
GSE245459_SKOV3_DDP	TACSTD2	human	OAS2	0.009	0.84185
GSE245459_SKOV3_DDP	TACSTD2	human	IFIT1	2.294	0.01158
GSE245459_SKOV3_DDP	TACSTD2	human	MX1	0.237	0.02288
GSE245459_SKOV3_DDP	TACSTD2	human	ISG15	0.499	0.00973
GSE245459_SKOV3_DDP	TACSTD2	human	HLA-A	-2.106	0.00181
