filter	panel	score	adjustment	n_units	n_cohorts	cldn4_rho	cldn4_p	cldn4_I2	cldn4_n_neg	lead_gene	runner_gene	runner_rho	margin_runner_minus_cldn4	abs_cldn4_rho	eligible_cldn4_lead_4of4neg	rank_table
all4	tj6	pct	none	65	4	-0.5311678045689989	1.6462232944573955e-05	0.0	4	CLDN4	CLDN7	-0.4087317735849556	0.12243603098404332	0.5311678045689989	True	CLDN4=-0.5312;CLDN7=-0.4087;CLDN3=-0.4082;CDH1=-0.4012;OCLN=-0.2078;F11R=-0.1855
all4	tj6	pct	KRT	65	4	-0.4778008178293066	0.0002716715290400231	0.0	4	CLDN4	CLDN7	-0.35246956883802866	0.12533124899127795	0.4778008178293066	True	CLDN4=-0.4778;CLDN7=-0.3525;CLDN3=-0.3457;CDH1=-0.2765;OCLN=-0.1571;F11R=-0.0697
all4	tj6	pct	KRT1819	65	4	-0.4818552969045918	0.00023526847945456528	0.0	4	CLDN4	CLDN3	-0.3374040341131435	0.14445126279144826	0.4818552969045918	True	CLDN4=-0.4819;CLDN3=-0.3374;CLDN7=-0.3267;CDH1=-0.2778;OCLN=-0.1582;F11R=-0.1022
all4	tj6	mean	none	65	4	-0.3936479270059005	0.0024510197999868485	0.0	4	CLDN4	CLDN7	-0.36425882437378176	0.029389102632118747	0.3936479270059005	True	CLDN4=-0.3936;CLDN7=-0.3643;CLDN3=-0.3343;CDH1=-0.3035;OCLN=-0.1430;F11R=-0.0961
all4	tj6	mean	KRT	65	4	-0.3376771648863982	0.01388290865338751	0.0	4	CLDN4	CLDN3	-0.24977546766824174	0.08790169721815647	0.3376771648863982	True	CLDN4=-0.3377;CLDN3=-0.2498;CLDN7=-0.2435;CDH1=-0.1613;OCLN=-0.0831;F11R=0.0224
all4	tj6	mean	KRT1819	65	4	-0.3311819427532745	0.01599250462301839	0.0	4	CLDN4	CLDN3	-0.23760307319816598	0.09357886955510852	0.3311819427532745	True	CLDN4=-0.3312;CLDN3=-0.2376;CLDN7=-0.2175;CDH1=-0.1484;OCLN=-0.0719;F11R=-0.0001
all4	claudins4	pct	none	65	4	-0.5311678045689989	1.6462232944573955e-05	0.0	4	CLDN4	CLDN7	-0.4087317735849556	0.12243603098404332	0.5311678045689989	True	CLDN4=-0.5312;CLDN7=-0.4087;CLDN3=-0.4082;CLDN1=0.1619
all4	claudins4	pct	KRT	65	4	-0.4778008178293066	0.0002716715290400231	0.0	4	CLDN4	CLDN7	-0.35246956883802866	0.12533124899127795	0.4778008178293066	True	CLDN4=-0.4778;CLDN7=-0.3525;CLDN3=-0.3457;CLDN1=0.2252
all4	claudins4	pct	KRT1819	65	4	-0.4818552969045918	0.00023526847945456528	0.0	4	CLDN4	CLDN3	-0.3374040341131435	0.14445126279144826	0.4818552969045918	True	CLDN4=-0.4819;CLDN3=-0.3374;CLDN7=-0.3267;CLDN1=0.2151
all4	claudins4	mean	none	65	4	-0.3936479270059005	0.0024510197999868485	0.0	4	CLDN4	CLDN7	-0.36425882437378176	0.029389102632118747	0.3936479270059005	True	CLDN4=-0.3936;CLDN7=-0.3643;CLDN3=-0.3343;CLDN1=0.1830
