gene	mode	radius_um	n_usable_sections	mean_high	mean_low	ratio	delta	n_sections_neg	n_donors_neg	n_donors	sign_p_exclusion	wilcoxon_p	exclusion_8of8_5of5	status
CLDN4	q4_q1	25	8	0.07557650829858739	0.11684952809426759	0.6467848824996242	-0.041273019795680196	4	3	5	0.63671875	0.3125	False	SCORED
CLDN4	q4_q1	50	8	0.4314135119992091	0.5390080207456722	0.8003842158088572	-0.10759450874646315	4	3	5	0.63671875	0.3125	False	SCORED
CLDN4	q4_q1	75	8	1.16621126765938	1.3438461406892654	0.8678160634231717	-0.17763487302988534	4	3	5	0.63671875	0.3125	False	SCORED
CLDN4	q4_q1	100	8	2.3321049992952907	2.548103477875379	0.9152316691784476	-0.21599847858008836	4	3	5	0.63671875	0.546875	False	SCORED
CLDN4	detected_absent	25	8	0.07281894584114543	0.11684952809426759	0.6231856219598869	-0.04403058225312216	7	4	5	0.03515625	0.015625	False	SCORED
CLDN4	detected_absent	50	8	0.41809211503651	0.5390080207456722	0.7756695613881863	-0.12091590570916222	5	3	5	0.36328125	0.25	False	SCORED
CLDN4	detected_absent	75	8	1.1358887019575516	1.3438461406892654	0.8452520475111449	-0.2079574387317138	4	3	5	0.63671875	0.3828125	False	SCORED
CLDN4	detected_absent	100	8	2.280546298671465	2.548103477875379	0.894997522068058	-0.267557179203914	3	2	5	0.85546875	0.7421875	False	SCORED
CLDN4	q4_vs_rest	25	8	0.07557650829858739	0.09468198144655221	0.7982142657338681	-0.01910547314796482	4	3	5	0.63671875	0.3125	False	SCORED
CLDN4	q4_vs_rest	50	8	0.4314135119992091	0.47910515055232505	0.900456844393896	-0.04769163855311598	4	3	5	0.63671875	0.3125	False	SCORED
CLDN4	q4_vs_rest	75	8	1.16621126765938	1.2414287252732823	0.9394105709956533	-0.0752174576139022	4	3	5	0.63671875	0.3828125	False	SCORED
CLDN4	q4_vs_rest	100	8	2.3321049992952907	2.4187363006512284	0.964183238440415	-0.08663130135593766	4	3	5	0.63671875	0.546875	False	SCORED
CLDN4	above_median	25	8	0.07185732987113483	0.10576121398118102	0.6794298889564657	-0.03390388411004619	5	3	5	0.36328125	0.1953125	False	SCORED
CLDN4	above_median	50	8	0.415231565155342	0.5124627598089834	0.8102668090655337	-0.09723119465364138	4	3	5	0.63671875	0.3125	False	SCORED
CLDN4	above_median	75	8	1.1306527924406455	1.3022805479998056	0.8682098447813215	-0.1716277555591601	4	3	5	0.63671875	0.3125	False	SCORED
