y	krt	cohort_set	min_neg_required	cldn4_rho	cldn4_p	cldn4_I2	cldn4_n_neg	cldn4_n_cohorts	lead_gene	runner_gene	runner_rho	margin_runner_minus_cldn4	abs_cldn4_rho	eligible_cldn4_lead	rank_table
CD8	KRT8_18_19	lung_plus_funnel	7	-0.08059054921697954	0.006189723216631122	0.6812344273656753	7	8	F11R	CDH1	-0.12565366606662376	nan	0.08059054921697954	False	F11R=-0.1306;CDH1=-0.1257;CLDN7=-0.1094;OCLN=-0.1007;CLDN4=-0.0806;CLDN3=-0.0598
CD8	KRT8_18_19	keratin_funnel	6	-0.09105409502435802	0.006519168059359593	0.7135376736128072	6	7	OCLN	CLDN7	-0.1191320201855607	nan	0.09105409502435802	False	OCLN=-0.1199;CLDN7=-0.1191;F11R=-0.1183;CDH1=-0.1110;CLDN3=-0.0968;CLDN4=-0.0911
CD8	KRT8_18_19	lung_only	2	-0.05188637893609608	0.12094269113661689	0.11264953949750199	2	2	F11R	CDH1	-0.18419042615894357	nan	0.05188637893609608	False	F11R=-0.2016;CDH1=-0.1842;CLDN7=-0.1583;OCLN=-0.0811;CLDN4=-0.0519;CLDN3=0.0221
CD8	KRT18_19	lung_plus_funnel	7	-0.07831202057345	0.014644261080096477	0.732862541155468	7	8	F11R	CDH1	-0.12038186940629539	nan	0.07831202057345	False	F11R=-0.1322;CDH1=-0.1204;CLDN7=-0.1065;OCLN=-0.0953;CLDN4=-0.0783;CLDN3=-0.0543
CD8	KRT18_19	keratin_funnel	6	-0.08826450420465921	0.01647158896531129	0.7643988186536296	6	7	F11R	CLDN7	-0.1171812915776957	nan	0.08826450420465921	False	F11R=-0.1198;CLDN7=-0.1172;OCLN=-0.1118;CDH1=-0.1057;CLDN3=-0.0904;CLDN4=-0.0883
CD8	KRT18_19	lung_only	2	-0.04935230913202747	0.11702515299598865	0.0	2	2	F11R	CDH1	-0.18165331680738328	nan	0.04935230913202747	False	F11R=-0.2035;CDH1=-0.1817;CLDN7=-0.1552;OCLN=-0.0827;CLDN4=-0.0494;CLDN3=0.0218
CD8	KRT5_6_14	lung_plus_funnel	7	-0.11249396369030251	8.510074882069639e-05	0.6632803811447875	8	8	F11R	CLDN7	-0.1421011551424124	nan	0.11249396369030251	False	F11R=-0.1483;CLDN7=-0.1421;CDH1=-0.1344;OCLN=-0.1192;CLDN4=-0.1125;CLDN3=-0.0972
CD8	KRT5_6_14	keratin_funnel	6	-0.1133846458519911	0.0005968416060569988	0.705859732388369	7	7	CLDN7	F11R	-0.1463055336654702	nan	0.1133846458519911	False	CLDN7=-0.1478;F11R=-0.1463;OCLN=-0.1237;CDH1=-0.1173;CLDN4=-0.1134;CLDN3=-0.1065
CD8	KRT5_6_14	lung_only	2	-0.11716638305887711	0.0001931576810183207	0.0	2	2	CDH1	CLDN7	-0.19610374535782327	nan	0.11716638305887711	False	CDH1=-0.2004;CLDN7=-0.1961;F11R=-0.1896;OCLN=-0.1226;CLDN4=-0.1172;CLDN3=-0.1022
CD8	none	lung_plus_funnel	7	-0.11150276432644143	0.0002969333917713993	0.7127963079528253	7	8	F11R	CDH1	-0.1572466961938581	nan	0.11150276432644143	False	F11R=-0.1666;CDH1=-0.1572;CLDN7=-0.1420;OCLN=-0.1142;CLDN4=-0.1115;CLDN3=-0.0701
CD8	none	keratin_funnel	6	-0.11821369813025943	0.000959001491450451	0.7530033123270761	6	7	CLDN7	F11R	-0.14430207184804428	nan	0.11821369813025943	False	CLDN7=-0.1486;F11R=-0.1443;OCLN=-0.1353;CDH1=-0.1352;CLDN4=-0.1182;CLDN3=-0.1082
CD8	none	lung_only	2	-0.08809312633967739	0.004980247740541428	0.0	2	2	F11R	CDH1	-0.22859034810541057	nan	0.08809312633967739	False	F11R=-0.2605;CDH1=-0.2286;CLDN7=-0.1951;CLDN4=-0.0881;OCLN=-0.0797;CLDN3=0.0106
CD3	KRT8_18_19	lung_plus_funnel	7	-0.09349061230851612	0.0008450350619796401	0.6480627232235184	7	8	F11R	CDH1	-0.12446934075168054	nan	0.09349061230851612	False	F11R=-0.1289;CDH1=-0.1245;CLDN7=-0.1244;OCLN=-0.1078;CLDN3=-0.1009;CLDN4=-0.0935
CD3	KRT8_18_19	keratin_funnel	6	-0.10548046066489841	0.0006306556406021787	0.6629282682510599	6	7	CLDN3	CLDN7	-0.13371021075548878	nan	0.10548046066489841	False	CLDN3=-0.1375;CLDN7=-0.1337;OCLN=-0.1203;CDH1=-0.1147;F11R=-0.1138;CLDN4=-0.1055
CD3	KRT8_18_19	lung_only	2	-0.0578627980082828	0.15306065314988956	0.3945605218584896	2	2	F11R	CLDN7	-0.19282576192747475	nan	0.0578627980082828	False	F11R=-0.1981;CLDN7=-0.1928;CDH1=-0.1349;CLDN4=-0.0579;OCLN=-0.0570;CLDN3=-0.0064
CD3	KRT18_19	lung_plus_funnel	7	-0.0956247686025749	0.0022046918585016183	0.7185761781755914	7	8	F11R	CDH1	-0.12715601838628218	nan	0.0956247686025749	False	F11R=-0.1309;CDH1=-0.1272;CLDN7=-0.1241;OCLN=-0.1090;CLDN3=-0.0993;CLDN4=-0.0956
CD3	KRT18_19	keratin_funnel	6	-0.1077756648357989	0.00205472193819077	0.7391858365390124	6	7	CLDN7	CLDN3	-0.13534879581253545	nan	0.1077756648357989	False	CLDN7=-0.1358;CLDN3=-0.1353;OCLN=-0.1199;F11R=-0.1155;CDH1=-0.1155;CLDN4=-0.1078
CD3	KRT18_19	lung_only	2	-0.055607350816332	0.1327318358799712	0.27554119117755305	2	2	F11R	CLDN7	-0.1862033038257133	nan	0.055607350816332	False	F11R=-0.2006;CLDN7=-0.1862;CDH1=-0.1389;OCLN=-0.0609;CLDN4=-0.0556;CLDN3=-0.0075
CD3	KRT5_6_14	lung_plus_funnel	7	-0.1307052624690188	1.517189644002738e-08	0.4845698856857721	8	8	CLDN7	F11R	-0.14867690505230127	nan	0.1307052624690188	False	CLDN7=-0.1648;F11R=-0.1487;CDH1=-0.1458;CLDN3=-0.1403;OCLN=-0.1323;CLDN4=-0.1307
CD3	KRT5_6_14	keratin_funnel	6	-0.13280972306553826	7.558112181679336e-07	0.55531851155593	7	7	CLDN7	CLDN3	-0.1520540743657925	nan	0.13280972306553826	False	CLDN7=-0.1686;CLDN3=-0.1521;F11R=-0.1423;CDH1=-0.1331;CLDN4=-0.1328;OCLN=-0.1312
CD3	KRT5_6_14	lung_only	2	-0.1387458814674037	9.750541096225331e-06	0.0	2	2	CLDN7	F11R	-0.19723910003067566	nan	0.1387458814674037	False	CLDN7=-0.2441;F11R=-0.1972;CDH1=-0.1692;CLDN4=-0.1387;CLDN3=-0.1342;OCLN=-0.1098
CD3	none	lung_plus_funnel	7	-0.13609595354761833	9.81472449643169e-07	0.647605703556591	8	8	CLDN7	CDH1	-0.16877861816480041	nan	0.13609595354761833	False	CLDN7=-0.1720;CDH1=-0.1688;F11R=-0.1591;CLDN4=-0.1361;OCLN=-0.1345;CLDN3=-0.1280
CD3	none	keratin_funnel	6	-0.14265689744632035	9.694476017276639e-06	0.6958767648016184	7	7	CLDN7	CLDN3	-0.16359567381982432	nan	0.14265689744632035	False	CLDN7=-0.1774;CLDN3=-0.1636;CDH1=-0.1499;OCLN=-0.1457;CLDN4=-0.1427;F11R=-0.1344
CD3	none	lung_only	2	-0.10555200917356676	0.0007552263906107125	0.0	2	2	F11R	CLDN7	-0.248781255039974	nan	0.10555200917356676	False	F11R=-0.2601;CLDN7=-0.2488;CDH1=-0.1965;CLDN4=-0.1056;OCLN=-0.0677;CLDN3=-0.0353
TNK	KRT8_18_19	lung_plus_funnel	7	-0.11352652377351538	0.000524148116525641	0.7441598749031768	7	8	CDH1	OCLN	-0.1421882818408793	nan	0.11352652377351538	False	CDH1=-0.1539;OCLN=-0.1422;F11R=-0.1411;CLDN7=-0.1194;CLDN4=-0.1135;CLDN3=-0.1128
TNK	KRT8_18_19	keratin_funnel	6	-0.12638926828224892	0.0005796590301343718	0.7641891360507963	6	7	OCLN	CLDN3	-0.14833784630919106	nan	0.12638926828224892	False	OCLN=-0.1575;CLDN3=-0.1483;CDH1=-0.1466;F11R=-0.1331;CLDN7=-0.1301;CLDN4=-0.1264
TNK	KRT8_18_19	lung_only	2	-0.08565687222622895	0.11089297380961963	0.6569596550431748	2	2	F11R	CLDN7	-0.18091781903011575	nan	0.08565687222622895	False	F11R=-0.1991;CLDN7=-0.1809;CDH1=-0.1775;OCLN=-0.1179;CLDN4=-0.0857;CLDN3=-0.0440
TNK	KRT18_19	lung_plus_funnel	7	-0.1164740579386488	0.0015391832100212128	0.7987539213384313	7	8	CDH1	OCLN	-0.14434284424913563	nan	0.1164740579386488	False	CDH1=-0.1575;OCLN=-0.1443;F11R=-0.1430;CLDN7=-0.1200;CLDN4=-0.1165;CLDN3=-0.1123
TNK	KRT18_19	keratin_funnel	6	-0.12946959896894655	0.0018945322352423375	0.8183618291311598	6	7	OCLN	CDH1	-0.14895607446045017	nan	0.12946959896894655	False	OCLN=-0.1579;CDH1=-0.1490;CLDN3=-0.1472;F11R=-0.1347;CLDN7=-0.1334;CLDN4=-0.1295
TNK	KRT18_19	lung_only	2	-0.08336681015643685	0.09682421659201002	0.607808370259703	2	2	F11R	CDH1	-0.1818549803240056	nan	0.08336681015643685	False	F11R=-0.2017;CDH1=-0.1819;CLDN7=-0.1736;OCLN=-0.1220;CLDN4=-0.0834;CLDN3=-0.0452
