cohort	y	krt	gene	n	rho	p	k_cov
LUAD	CD8	KRT8_18_19	CLDN4	516	-0.08477570060084809	0.054997098832158246	3
LUAD	CD8	KRT8_18_19	CLDN3	516	-0.1525875134132466	0.0005244861625126628	3
LUAD	CD8	KRT8_18_19	CLDN7	516	-0.26675923839198534	8.314126545787839e-10	3
LUAD	CD8	KRT8_18_19	OCLN	516	-0.1682149557545872	0.00012918764369367384	3
LUAD	CD8	KRT8_18_19	F11R	516	-0.19151761940360046	1.2556652692847101e-05	3
LUAD	CD8	KRT8_18_19	CDH1	516	-0.14291466055357246	0.001171516883618819	3
LUAD	CD8	KRT18_19	CLDN4	516	-0.07899922343308861	0.0735386263122375	2
LUAD	CD8	KRT18_19	CLDN3	516	-0.15132740449257664	0.0005767464563055832	2
LUAD	CD8	KRT18_19	CLDN7	516	-0.2696162368061325	5.192793353910827e-10	2
LUAD	CD8	KRT18_19	OCLN	516	-0.16495854576961028	0.000172286487885176	2
LUAD	CD8	KRT18_19	F11R	516	-0.19308283711976174	1.041452598116445e-05	2
LUAD	CD8	KRT18_19	CDH1	516	-0.12922706258256228	0.0033358785229102047	2
LUAD	CD8	KRT5_6_14	CLDN4	516	-0.11625048970495203	0.008464645651671996	4
LUAD	CD8	KRT5_6_14	CLDN3	516	-0.16496139763514117	0.0001773690479043182	4
LUAD	CD8	KRT5_6_14	CLDN7	516	-0.2811960826733634	9.27253463880349e-11	4
LUAD	CD8	KRT5_6_14	OCLN	516	-0.1579557156864185	0.00033329753794037126	4
LUAD	CD8	KRT5_6_14	F11R	516	-0.21026466739389024	1.5876123873523943e-06	4
LUAD	CD8	KRT5_6_14	CDH1	516	-0.1541637322379096	0.00046394975633529584	4
LUAD	CD8	none	CLDN4	516	-0.09906327777227023	0.024425750981059775	0
LUAD	CD8	none	CLDN3	516	-0.1698170096598251	0.00010604150154913573	0
LUAD	CD8	none	CLDN7	516	-0.28719146228501874	2.9613664538233794e-11	0
LUAD	CD8	none	OCLN	516	-0.1582722106321401	0.00030701393480536373	0
LUAD	CD8	none	F11R	516	-0.21180325033747588	1.2053098014398632e-06	0
LUAD	CD8	none	CDH1	516	-0.146196883299058	0.000865924951798321	0
LUAD	CD3	KRT8_18_19	CLDN4	516	-0.09779190856551848	0.026770631792379533	3
LUAD	CD3	KRT8_18_19	CLDN3	516	-0.16899464484004997	0.0001200597164306803	3
LUAD	CD3	KRT8_18_19	CLDN7	516	-0.31657079514649145	2.098680966751728e-13	3
LUAD	CD3	KRT8_18_19	OCLN	516	-0.08833308653731163	0.045529377932372585	3
LUAD	CD3	KRT8_18_19	F11R	516	-0.168015177913801	0.0001316292834851623	3
LUAD	CD3	KRT8_18_19	CDH1	516	-0.08293142258850006	0.060517016224744306	3
LUAD	CD3	KRT18_19	CLDN4	516	-0.09203172368731535	0.03699203047496304	2
LUAD	CD3	KRT18_19	CLDN3	516	-0.16772272668058422	0.00013324874130460373	2
LUAD	CD3	KRT18_19	CLDN7	516	-0.3191936836912487	1.2271915942957277e-13	2
LUAD	CD3	KRT18_19	OCLN	516	-0.0853654937527702	0.05308982995016953	2
LUAD	CD3	KRT18_19	F11R	516	-0.16962178329348562	0.00011142378738453135	2
LUAD	CD3	KRT18_19	CDH1	516	-0.07044219645944048	0.11068342452712471	2
LUAD	CD3	KRT5_6_14	CLDN4	516	-0.1469442901625789	0.0008531065335690941	4
LUAD	CD3	KRT5_6_14	CLDN3	516	-0.20192167129687214	4.118329394510928e-06	4
LUAD	CD3	KRT5_6_14	CLDN7	516	-0.341411616142538	1.920300223997042e-15	4
LUAD	CD3	KRT5_6_14	OCLN	516	-0.08423137811195251	0.05682349515526186	4
LUAD	CD3	KRT5_6_14	F11R	516	-0.19889724643060358	5.762598349469108e-06	4
LUAD	CD3	KRT5_6_14	CDH1	516	-0.10908613568982269	0.013523452499789111	4
LUAD	CD3	none	CLDN4	516	-0.10899596601090139	0.01323834177741519	0
LUAD	CD3	none	CLDN3	516	-0.19518943415409162	7.964836742603203e-06	0
LUAD	CD3	none	CLDN7	516	-0.3545342308234849	9.962346932923064e-17	0
LUAD	CD3	none	OCLN	516	-0.07515771076250123	0.08809609529644445	0
LUAD	CD3	none	F11R	516	-0.20033758510048721	4.510944687138188e-06	0
LUAD	CD3	none	CDH1	516	-0.0936239214636432	0.03348319334910656	0
LUAD	TNK	KRT8_18_19	CLDN4	516	-0.138557739561681	0.0016563612307893575	3
LUAD	TNK	KRT8_18_19	CLDN3	516	-0.2216462467462638	3.954380347278987e-07	3
LUAD	TNK	KRT8_18_19	CLDN7	516	-0.3073577758627452	1.0988234461775355e-12	3
LUAD	TNK	KRT8_18_19	OCLN	516	-0.18999809337847734	1.4749923071983457e-05	3
LUAD	TNK	KRT8_18_19	F11R	516	-0.20095416232550178	4.490455198001109e-06	3
LUAD	TNK	KRT8_18_19	CDH1	516	-0.15527150535592593	0.0004160734459164843	3
LUAD	TNK	KRT18_19	CLDN4	516	-0.13280271919342054	0.002553835363450535	2
LUAD	TNK	KRT18_19	CLDN3	516	-0.22032991390363588	4.5306254877974596e-07	2
LUAD	TNK	KRT18_19	CLDN7	516	-0.30991574330933647	6.629397612424897e-13	2
LUAD	TNK	KRT18_19	OCLN	516	-0.18686465815720138	2.0096646668355575e-05	2
LUAD	TNK	KRT18_19	F11R	516	-0.2024286662638802	3.72469779851517e-06	2
LUAD	TNK	KRT18_19	CDH1	516	-0.14200758508351216	0.0012462841732388936	2
LUAD	TNK	KRT5_6_14	CLDN4	516	-0.1563039686276365	0.0003852999461309297	4
LUAD	TNK	KRT5_6_14	CLDN3	516	-0.22152276650008362	4.121105316620254e-07	4
LUAD	TNK	KRT5_6_14	CLDN7	516	-0.3260600187967203	3.800206826316854e-14	4
LUAD	TNK	KRT5_6_14	OCLN	516	-0.17341077556742218	8.007742051213199e-05	4
LUAD	TNK	KRT5_6_14	F11R	516	-0.21886754990318913	5.701500574864062e-07	4
LUAD	TNK	KRT5_6_14	CDH1	516	-0.16077999495859555	0.00025925912650953453	4
LUAD	TNK	none	CLDN4	516	-0.13376492984300326	0.0023277270530750863	0
LUAD	TNK	none	CLDN3	516	-0.23497835830575076	6.644265988480256e-08	0
LUAD	TNK	none	CLDN7	516	-0.3268056108128551	2.6227916597054338e-14	0
LUAD	TNK	none	OCLN	516	-0.1797655071877676	4.006774924058395e-05	0
LUAD	TNK	none	F11R	516	-0.2192074130718366	4.939521263600258e-07	0
LUAD	TNK	none	CDH1	516	-0.1477292488884366	0.0007623579149408966	0
LUAD	CYT	KRT8_18_19	CLDN4	516	-0.14339120527710664	0.0011273080555453915	3
LUAD	CYT	KRT8_18_19	CLDN3	516	-0.23531325558146302	6.943272176601473e-08	3
LUAD	CYT	KRT8_18_19	CLDN7	516	-0.3088700474659595	8.406670289522999e-13	3
LUAD	CYT	KRT8_18_19	OCLN	516	-0.21075210720517157	1.4647763746261231e-06	3
LUAD	CYT	KRT8_18_19	F11R	516	-0.20646176409873226	2.408208877119073e-06	3
LUAD	CYT	KRT8_18_19	CDH1	516	-0.14515312608019154	0.0009768725181671957	3
LUAD	CYT	KRT18_19	CLDN4	516	-0.13310025455351102	0.0024969684336334143	2
LUAD	CYT	KRT18_19	CLDN3	516	-0.23231428599566697	9.976031259376106e-08	2
LUAD	CYT	KRT18_19	CLDN7	516	-0.31301631570680355	3.797542915588074e-13	2
LUAD	CYT	KRT18_19	OCLN	516	-0.20466012827672753	2.89294025501533e-06	2
LUAD	CYT	KRT18_19	F11R	516	-0.20859102451834613	1.8409578877260312e-06	2
LUAD	CYT	KRT18_19	CDH1	516	-0.12317296019147776	0.005167846783623555	2
LUAD	CYT	KRT5_6_14	CLDN4	516	-0.16826938356751184	0.00013050357106061136	4
LUAD	CYT	KRT5_6_14	CLDN3	516	-0.24561256146866273	1.7972130287419745e-08	4
LUAD	CYT	KRT5_6_14	CLDN7	516	-0.32881625681745225	2.2509951623049802e-14	4
LUAD	CYT	KRT5_6_14	OCLN	516	-0.20260131323007494	3.816198652626493e-06	4
LUAD	CYT	KRT5_6_14	F11R	516	-0.22597383432924956	2.3699345590447427e-07	4
LUAD	CYT	KRT5_6_14	CDH1	516	-0.15337305193294268	0.0004966071048075967	4
LUAD	CYT	none	CLDN4	516	-0.14722413772773346	0.0007951566158004946	0
LUAD	CYT	none	CLDN3	516	-0.248350484083059	1.0805547292310495e-08	0
LUAD	CYT	none	CLDN7	516	-0.3275290823231619	2.2838368364300864e-14	0
LUAD	CYT	none	OCLN	516	-0.19767594712709838	6.063511943768774e-06	0
LUAD	CYT	none	F11R	516	-0.22681421421062947	1.9113810318381055e-07	0
LUAD	CYT	none	CDH1	516	-0.14076617406027528	0.0013468087306353408	0
LUAD	CD8A	KRT8_18_19	CLDN4	516	-0.08388103726898925	0.057620197926561374	3
