mode	radius_um	n_genes_scored	lead_gene	lead_ratio	cldn4_ratio	cldn4_n_neg	cldn4_8of8_5of5	runner_gene	runner_ratio	margin_runner_minus_cldn4	eligible_cldn4_coldest	rank_table
q4_q1	25	2	CLDN4	0.6467848824996242	0.6467848824996242	4	False	CDH1	0.6851355971057115	0.0383507146060873	True	CLDN4=0.6468;CDH1=0.6851
q4_q1	50	2	CDH1	0.7861748514986647	0.8003842158088572	4	False	CLDN4	0.8003842158088572	nan	False	CDH1=0.7862;CLDN4=0.8004
q4_q1	75	2	CDH1	0.8366798685932726	0.8678160634231717	4	False	CLDN4	0.8678160634231717	nan	False	CDH1=0.8367;CLDN4=0.8678
q4_q1	100	2	CDH1	0.8716350468572494	0.9152316691784476	4	False	CLDN4	0.9152316691784476	nan	False	CDH1=0.8716;CLDN4=0.9152
detected_absent	25	2	CLDN4	0.6231856219598869	0.6231856219598869	7	False	CDH1	0.6952013204784695	0.07201569851858258	True	CLDN4=0.6232;CDH1=0.6952
detected_absent	50	2	CLDN4	0.7756695613881863	0.7756695613881863	5	False	CDH1	0.8011969591000083	0.025527397711821997	True	CLDN4=0.7757;CDH1=0.8012
detected_absent	75	2	CLDN4	0.8452520475111449	0.8452520475111449	4	False	CDH1	0.8551073724670336	0.0098553249558887	True	CLDN4=0.8453;CDH1=0.8551
detected_absent	100	2	CDH1	0.8907247049789545	0.894997522068058	3	False	CLDN4	0.894997522068058	nan	False	CDH1=0.8907;CLDN4=0.8950
q4_vs_rest	25	2	CDH1	0.7171576461514281	0.7982142657338681	4	False	CLDN4	0.7982142657338681	nan	False	CDH1=0.7172;CLDN4=0.7982
q4_vs_rest	50	2	CDH1	0.8071118157721823	0.900456844393896	4	False	CLDN4	0.900456844393896	nan	False	CDH1=0.8071;CLDN4=0.9005
q4_vs_rest	75	2	CDH1	0.8517866678744624	0.9394105709956533	4	False	CLDN4	0.9394105709956533	nan	False	CDH1=0.8518;CLDN4=0.9394
q4_vs_rest	100	2	CDH1	0.8832113815938546	0.964183238440415	4	False	CLDN4	0.964183238440415	nan	False	CDH1=0.8832;CLDN4=0.9642
above_median	25	2	CLDN4	0.6794298889564657	0.6794298889564657	5	False	CDH1	0.7040081721647617	0.024578283208296026	True	CLDN4=0.6794;CDH1=0.7040
above_median	50	2	CDH1	0.8046341661432633	0.8102668090655337	4	False	CLDN4	0.8102668090655337	nan	False	CDH1=0.8046;CLDN4=0.8103
above_median	75	2	CDH1	0.8545142191812387	0.8682098447813215	4	False	CLDN4	0.8682098447813215	nan	False	CDH1=0.8545;CLDN4=0.8682
above_median	100	2	CDH1	0.8894579283656873	0.9116362885296005	4	False	CLDN4	0.9116362885296005	nan	False	CDH1=0.8895;CLDN4=0.9116
