spec_label	filter	panel	score	adjustment	other	rho_cldn4	rho_other	delta_cldn4_minus_other	perm_p_delta_le	separable_p05
primary_max_margin	all4	tj6	pct	KRT1819	CLDN3	-0.4818552969045918	-0.3374040341131435	-0.14445126279144826	0.08695652173913043	False
primary_max_margin	all4	tj6	pct	KRT1819	CLDN7	-0.4818552969045918	-0.3276413288435916	-0.15421396806100018	0.1794102948525737	False
primary_max_margin	all4	tj6	pct	KRT1819	OCLN	-0.4818552969045918	-0.15824168001352967	-0.3236136168910621	0.014992503748125937	True
primary_max_margin	all4	tj6	pct	KRT1819	F11R	-0.4818552969045918	-0.10215755739961749	-0.3796977395049743	0.005497251374312844	True
primary_max_margin	all4	tj6	pct	KRT1819	CDH1	-0.4818552969045918	-0.26001474320044093	-0.22184055370415084	0.031484257871064465	True
i2zero_max_margin	all4	tj6	pct	KRT1819	CLDN3	-0.4818552969045918	-0.3374040341131435	-0.14445126279144826	0.08695652173913043	False
i2zero_max_margin	all4	tj6	pct	KRT1819	CLDN7	-0.4818552969045918	-0.3276413288435916	-0.15421396806100018	0.1794102948525737	False
i2zero_max_margin	all4	tj6	pct	KRT1819	OCLN	-0.4818552969045918	-0.15824168001352967	-0.3236136168910621	0.014992503748125937	True
i2zero_max_margin	all4	tj6	pct	KRT1819	F11R	-0.4818552969045918	-0.10215755739961749	-0.3796977395049743	0.005497251374312844	True
i2zero_max_margin	all4	tj6	pct	KRT1819	CDH1	-0.4818552969045918	-0.26001474320044093	-0.22184055370415084	0.031484257871064465	True
pr748_krt_pct_full7	all4	full7	pct	KRT	CLDN3	-0.4778008178293066	-0.3456693270493617	-0.1321314907799449	0.09895052473763119	False
pr748_krt_pct_full7	all4	full7	pct	KRT	CLDN7	-0.4778008178293066	-0.34338766068829524	-0.13441315714101137	0.20889555222388806	False
pr748_krt_pct_full7	all4	full7	pct	KRT	CLDN1	-0.4778008178293066	0.22520652316234638	-0.703007340991653	0.0004997501249375312	True
pr748_krt_pct_full7	all4	full7	pct	KRT	OCLN	-0.4778008178293066	-0.15706907525594943	-0.3207317425733572	0.01649175412293853	True
pr748_krt_pct_full7	all4	full7	pct	KRT	F11R	-0.4778008178293066	-0.06965482191618387	-0.4081459959131227	0.0024987506246876563	True
pr748_krt_pct_full7	all4	full7	pct	KRT	CDH1	-0.4778008178293066	-0.26248894985287824	-0.21531186797642837	0.035982008995502246	True
