signature	n_listed	n_present	missing
Hallmark_IFNg	200	198	MARCHF1,WARS1
Hallmark_IFNg_noMHC	189	187	MARCHF1,WARS1
Hallmark_IFNg_noMHC_noCD274	188	186	MARCHF1,WARS1
Ayers6	6	6	
ISG_noMHC	12	12	
MHC_I_APM	21	21	
MHC_I_core	7	7	
epithelial	6	6	
