cohort	n_cohort	endpoint	leftover	n	rho	p	ci95_lo	ci95_hi	rho_adj_epithelial	p_adj_epithelial	n_adj	verdict	note	q_bh_leftover
all	365	CD274	True	365	-0.11231075235117456	0.03194284246747122	-0.21628750175957767	-0.004617550976255571	-0.031572738961016526	0.5476553405141867	365	NEGATIVE	leftover: PD-L1 transcript	0.09582852740241365
all	365	Hallmark_IFNg_noMHC	True	365	0.0515938137766119	0.32562110952889967	-0.06383968902944923	0.15930096630925955	0.047940269925448455	0.3610946702045246	365	NO_EVIDENCE	leftover: Hallmark IFN-γ minus MHC-I/APM	0.37099273529555327
all	365	Hallmark_IFNg_noMHC_noCD274	True	365	0.05287582392904648	0.313727667885629	-0.06230091471348798	0.16189550438040579	0.04787487383490079	0.36175085060160445	365	NO_EVIDENCE	leftover: IFN-γ minus MHC-I and CD274	0.37099273529555327
all	365	Ayers6	True	365	-0.04696154956653498	0.3709927352955532	-0.1593806696899035	0.05513961012514215	-0.015661993519617595	0.7655399076153356	365	NO_EVIDENCE	leftover: Ayers 6-gene IFN-γ	0.37099273529555327
all	365	ISG_noMHC	True	365	0.04793360692754361	0.36116149228614397	-0.06754168975837525	0.14969853022539178	0.035887893826362274	0.4942873631461363	365	NO_EVIDENCE	leftover: compact ISG, no MHC-I	0.37099273529555327
all	365	IFNG_gene	True	365	-0.12322926165838126	0.018512761646743432	-0.22837015350525677	-0.016859052110694352	-0.06556957527090024	0.21138964416770512	365	NEGATIVE	leftover: IFNG transcript	0.09582852740241365
all	365	MHC_I_APM	False	365	0.2384578367960358	4.0905660165035186e-06	0.12970639015749466	0.34245386308423237	0.17792968316211077	0.0006378888915642788	365	POSITIVE	already known (partial): 21-gene MHC-I/APM	
all	365	MHC_I_core	False	365	0.2886183656900028	1.964828399192487e-08	0.18316498284829888	0.3883718778508203	0.24938441302690126	1.4029945791083824e-06	365	POSITIVE	already known (partial): HLA-A/B/C + B2M + TAP1/2 + TAPBP	
all	365	Hallmark_IFNg	False	365	0.06986992347423518	0.1828889191782551	-0.04546314412446164	0.17803083933650252	0.06352107358170686	0.2260377375078081	365	NO_EVIDENCE	reference: full Hallmark IFN-γ (includes MHC-I + CD274)	
all	365	TACSTD2	False	365	0.30840376780192635	1.7530166889943665e-09	0.20597851854539642	0.4076004284167717	0.24082221394145942	3.258902751989618e-06	365	POSITIVE	companion only	
all	365	epithelial	False	365	0.5623646732786639	7.98981886446295e-32	0.47868848945918396	0.6327646148783422	-0.03782730488981477	0.47123648409742463	365	POSITIVE	companion: epithelial mean-z	
FFPE	313	CD274	True	313	-0.014517878694431876	0.7980795294950531	-0.12435947367132329	0.0998549747447854	0.07008521788949537	0.21627494871323744	313	NO_EVIDENCE	leftover: PD-L1 transcript	0.833147217485044
FFPE	313	Hallmark_IFNg_noMHC	True	313	0.12366416575223885	0.028706623961908737	0.007593949446777849	0.23110444500871496	0.11334417602096321	0.04510204252630516	313	POSITIVE	leftover: Hallmark IFN-γ minus MHC-I/APM	0.08611987188572622
FFPE	313	Hallmark_IFNg_noMHC_noCD274	True	313	0.1248420948823871	0.027209983881995723	0.0083775619818104	0.23234994323274222	0.11331991302891366	0.04514833492033644	313	POSITIVE	leftover: IFN-γ minus MHC-I and CD274	0.08611987188572622
FFPE	313	Ayers6	True	313	-0.011955002324551173	0.833147217485044	-0.12652415346446158	0.10120719077417602	0.014137497593267724	0.8032605313434064	313	NO_EVIDENCE	leftover: Ayers 6-gene IFN-γ	0.833147217485044
FFPE	313	ISG_noMHC	True	313	0.0794718651040256	0.1607377152242049	-0.03511841036527124	0.18899251732356095	0.06924031789215647	0.22187721044662306	313	NO_EVIDENCE	leftover: compact ISG, no MHC-I	0.3214754304484098
FFPE	313	IFNG_gene	True	313	-0.02635498268189546	0.6423021569483862	-0.13564043219692565	0.08972913915653419	0.01965811096170673	0.7290199736871479	313	NO_EVIDENCE	leftover: IFNG transcript	0.833147217485044
FFPE	313	MHC_I_APM	False	313	0.2126036851571537	0.00015082421426900323	0.09529343744695097	0.325613838023363	0.15700934359997054	0.00537009572218795	313	POSITIVE	already known (partial): 21-gene MHC-I/APM	
FFPE	313	MHC_I_core	False	313	0.23575371028109068	2.511478055397997e-05	0.12086100817908856	0.3472263883668896	0.21090292768219546	0.00017080625986496496	313	POSITIVE	already known (partial): HLA-A/B/C + B2M + TAP1/2 + TAPBP	
FFPE	313	Hallmark_IFNg	False	313	0.13273891611735775	0.01880366007003456	0.018309586842868732	0.2398474232577379	0.12226434764641149	0.030576412682964783	313	POSITIVE	reference: full Hallmark IFN-γ (includes MHC-I + CD274)	
FFPE	313	TACSTD2	False	313	0.326378333617706	3.3420940147299096e-09	0.21749433875238025	0.4327269766364742	0.2844745809937808	3.0735570820050706e-07	313	POSITIVE	companion only	
FFPE	313	epithelial	False	313	0.5306140258878298	3.9491783993642635e-24	0.444465808844807	0.6107177371189276	0.10660236205270388	0.05959017183173446	313	POSITIVE	companion: epithelial mean-z	
breast	201	CD274	True	201	-0.14168612383626422	0.044818644664343446	-0.2778758433334057	0.007113773618427577	0.0026466676518398105	0.9702545502554443	201	NEGATIVE	leftover: PD-L1 transcript	0.13445593399303035
breast	201	Hallmark_IFNg_noMHC	True	201	-0.03333973695877051	0.6384585770158349	-0.17966109500629995	0.12757416088519188	0.06296586375055417	0.374535802331762	201	NO_EVIDENCE	leftover: Hallmark IFN-γ minus MHC-I/APM	0.6569695862368327
breast	201	Hallmark_IFNg_noMHC_noCD274	True	201	-0.03151322594946062	0.6569695862368327	-0.1779403338632433	0.12999625279395624	0.06528594650509828	0.3571558229781958	201	NO_EVIDENCE	leftover: IFN-γ minus MHC-I and CD274	0.6569695862368327
breast	201	Ayers6	True	201	-0.06928033101817645	0.32843692256429313	-0.20825490520640588	0.08146330763941896	0.010033988473474214	0.8875755388853098	201	NO_EVIDENCE	leftover: Ayers 6-gene IFN-γ	0.6568738451285863
breast	201	ISG_noMHC	True	201	0.04560662036352889	0.5202971265614531	-0.09912436333803823	0.19035239146452962	0.09143194916506577	0.196740895471534	201	NO_EVIDENCE	leftover: compact ISG, no MHC-I	0.6569695862368327
breast	201	IFNG_gene	True	201	-0.1784579554266601	0.011255056503728596	-0.31886464440582946	-0.03429237741445464	-0.05810107876459288	0.4126267088537742	201	NEGATIVE	leftover: IFNG transcript	0.06753033902237157
