cut	n_low	n_high	cut_low	cut_high	mwu_p	cliffs_delta	median_low	median_high	U	cohort	n_cohort	endpoint	leftover	note
median	183	182	6.623521266010517	6.623521266010517	0.05357228272173607	-0.11685582177385456	3.2636777598707796	3.1250457001840806	14707.0	all	365	CD274	True	leftover: PD-L1 transcript
tertile	122	122	6.116549803496802	7.204134739106644	0.04629134604049936	-0.14767535608707336	3.272343024536685	3.0713919748520158	6343.0	all	365	CD274	True	leftover: PD-L1 transcript
quartile	92	92	5.807836286908976	7.548547880985995	0.06706377641473855	-0.15642722117202268	3.246117497815243	3.04599648143717	3570.0	all	365	CD274	True	leftover: PD-L1 transcript
median	183	182	6.623521266010517	6.623521266010517	0.49078146520698573	0.04173422206209092	0.014106122635584858	0.0018489971860471697	17348.0	all	365	Hallmark_IFNg_noMHC	True	leftover: Hallmark IFN-γ minus MHC-I/APM
tertile	122	122	6.116549803496802	7.204134739106644	0.39136991617253847	0.06355818328406343	0.009581525981495587	-0.009271789463472513	7915.0	all	365	Hallmark_IFNg_noMHC	True	leftover: Hallmark IFN-γ minus MHC-I/APM
quartile	92	92	5.807836286908976	7.548547880985995	0.2073190717458655	0.10775047258979206	-0.020845094753695503	-0.009271789463472513	4688.0	all	365	Hallmark_IFNg_noMHC	True	leftover: Hallmark IFN-γ minus MHC-I/APM
median	183	182	6.623521266010517	6.623521266010517	0.47408077095961043	0.043355551552272865	0.015814412235996132	0.005144073412782806	17375.0	all	365	Hallmark_IFNg_noMHC_noCD274	True	leftover: IFN-γ minus MHC-I and CD274
tertile	122	122	6.116549803496802	7.204134739106644	0.38043768004355205	0.06503628056973931	0.009626246732761624	-0.012457497330897153	7926.0	all	365	Hallmark_IFNg_noMHC_noCD274	True	leftover: IFN-γ minus MHC-I and CD274
quartile	92	92	5.807836286908976	7.548547880985995	0.19945066340739603	0.10964083175803403	-0.021321634576332273	-0.012457497330897153	4696.0	all	365	Hallmark_IFNg_noMHC_noCD274	True	leftover: IFN-γ minus MHC-I and CD274
median	183	182	6.623521266010517	6.623521266010517	0.49956397775034245	-0.04089353269681138	-0.033810176085449194	-0.08128610640914222	15972.0	all	365	Ayers6	True	leftover: Ayers 6-gene IFN-γ
tertile	122	122	6.116549803496802	7.204134739106644	0.27044795081459505	-0.08169846815372211	-0.025720107444294812	-0.17233211754405775	6834.0	all	365	Ayers6	True	leftover: Ayers 6-gene IFN-γ
quartile	92	92	5.807836286908976	7.548547880985995	0.3794322378180095	-0.07514177693761814	-0.04869935344847706	-0.19467172677053973	3914.0	all	365	Ayers6	True	leftover: Ayers 6-gene IFN-γ
median	183	182	6.623521266010517	6.623521266010517	0.4428149880360944	0.04647811205188254	-0.11793263331489358	-0.019661069070330918	17427.0	all	365	ISG_noMHC	True	leftover: compact ISG, no MHC-I
tertile	122	122	6.116549803496802	7.204134739106644	0.5844239509388375	0.04058048911582908	-0.13106735366493039	-0.02192176985641313	7744.0	all	365	ISG_noMHC	True	leftover: compact ISG, no MHC-I
quartile	92	92	5.807836286908976	7.548547880985995	0.34871858962123004	0.08010396975425331	-0.14178644065598245	-0.05549741087814422	4571.0	all	365	ISG_noMHC	True	leftover: compact ISG, no MHC-I
median	183	182	6.623521266010517	6.623521266010517	0.04296240133139466	-0.12253047498949138	1.5458364422134712	1.213856527864058	14612.5	all	365	IFNG_gene	True	leftover: IFNG transcript
tertile	122	122	6.116549803496802	7.204134739106644	0.02042613261746478	-0.17179521633969363	1.568392190569449	1.1335000062346743	6163.5	all	365	IFNG_gene	True	leftover: IFNG transcript
quartile	92	92	5.807836286908976	7.548547880985995	0.06185377177894818	-0.15949905482041588	1.4793498009916046	1.0316516434322707	3557.0	all	365	IFNG_gene	True	leftover: IFNG transcript
median	183	182	6.623521266010517	6.623521266010517	4.1108300160063356e-05	0.24824355971896955	-0.14670938921659293	0.15086210367452635	20787.0	all	365	MHC_I_APM	False	already known (partial): 21-gene MHC-I/APM
tertile	122	122	6.116549803496802	7.204134739106644	9.085514929866686e-05	0.2899758129535071	-0.16755965168740586	0.19443430340198503	9600.0	all	365	MHC_I_APM	False	already known (partial): 21-gene MHC-I/APM
quartile	92	92	5.807836286908976	7.548547880985995	0.0001370866285962449	0.32561436672967864	-0.16643533629488927	0.2256876797146815	5610.0	all	365	MHC_I_APM	False	already known (partial): 21-gene MHC-I/APM
median	183	182	6.623521266010517	6.623521266010517	3.30369590055578e-07	0.3090133909806041	-0.23155600810428204	0.2298424807850535	21799.0	all	365	MHC_I_core	False	already known (partial): HLA-A/B/C + B2M + TAP1/2 + TAPBP
tertile	122	122	6.116549803496802	7.204134739106644	9.55253878767804e-07	0.3630744423542059	-0.22316798479043906	0.37420025469667095	10144.0	all	365	MHC_I_core	False	already known (partial): HLA-A/B/C + B2M + TAP1/2 + TAPBP
quartile	92	92	5.807836286908976	7.548547880985995	5.965905268849583e-06	0.38657844990548207	-0.19884227075286065	0.40184498216276265	5868.0	all	365	MHC_I_core	False	already known (partial): HLA-A/B/C + B2M + TAP1/2 + TAPBP
median	183	182	6.623521266010517	6.623521266010517	0.3203862080776376	0.06016933885786345	0.004197381451090096	0.024545733099290406	17655.0	all	365	Hallmark_IFNg	False	reference: full Hallmark IFN-γ (includes MHC-I + CD274)
tertile	122	122	6.116549803496802	7.204134739106644	0.24234272713839522	0.08667024993281376	-0.0029422897968686594	0.0016732781012129463	8087.0	all	365	Hallmark_IFNg	False	reference: full Hallmark IFN-γ (includes MHC-I + CD274)
