cohort	gene	panel	n	rho	p	rho_adj_epithelial	p_adj_epithelial	q_bh
all	CD274	leftover_IFN_or_CD274	365	-0.11231075235117456	0.03194284246747122	-0.031572738961016526	0.5476553405141867	0.06920949201285431
all	IFNG	leftover_IFN_or_CD274	365	-0.12322926165838126	0.018512761646743432	-0.06556957527090024	0.21138964416770512	0.06016647535191615
all	STAT1	leftover_IFN_or_CD274	365	-0.11853053750650877	0.023528358247373253	-0.12557110529264134	0.01638110663957944	0.061173731443170454
all	IRF1	leftover_IFN_or_CD274	365	0.13736979391594262	0.008591036339818954	0.08586087166819259	0.10146994775426915	0.04234422540347321
all	CXCL9	leftover_IFN_or_CD274	365	-0.08343233232072218	0.1115464574618586	-0.05239263319209424	0.318176462835965	0.1812629933755202
all	CXCL10	leftover_IFN_or_CD274	365	0.038472149902646205	0.46370507818170503	0.06402277264617261	0.22238526738834244	0.5023471680301804
all	CXCL11	leftover_IFN_or_CD274	365	0.04975630702107235	0.34317040611111543	0.072678994035383	0.16586892731553496	0.44612152794445004
all	IDO1	leftover_IFN_or_CD274	365	0.08645501209456614	0.09911808667396087	0.09981417639176456	0.056758445372939705	0.1812629933755202
all	ISG15	leftover_IFN_or_CD274	365	0.3050910239547114	2.6611683767982254e-09	0.17075067308617728	0.001056316200403338	3.459518889837693e-08
all	MX1	leftover_IFN_or_CD274	365	0.13508537274537724	0.009771744323878433	0.08244522152000258	0.11586038774798275	0.04234422540347321
all	IFIT1	leftover_IFN_or_CD274	365	0.015767614375294593	0.7640053519304449	-0.012131344963143753	0.8173283684120445	0.7640053519304449
all	OAS2	leftover_IFN_or_CD274	365	0.07631476989213347	0.14563788559227628	0.04779713885934411	0.362531806102175	0.21036583474439907
all	GBP1	leftover_IFN_or_CD274	365	-0.04452141166715612	0.39639151149281915	0.007515614858978884	0.8862150486811687	0.4684626954006044
all	HLA-A	MHC_I_core_known	365	0.21865491346739946	2.506983842340193e-05	0.18831853078428426	0.0002970012807451154	
all	HLA-B	MHC_I_core_known	365	0.2065492333850744	7.022162141322641e-05	0.1906123295074564	0.00024948328855230347	
all	HLA-C	MHC_I_core_known	365	0.22585489964784825	1.3211538080769926e-05	0.16483861972296737	0.001577262802718075	
all	B2M	MHC_I_core_known	365	0.09463678024199021	0.07093607799671872	0.08508845746662949	0.10459341223642928	
