cohort	patient	unit	rule	n_mal	n_high	n_low	n_TNK	mean_CLDN4_high	mean_CLDN4_low	eligible_mal_split	eligible_TNK	thin_tail	given_combo_member
GSE123902	LX255B	donor	median	228	80	148	1583	1.794419527053833	0.0	True	True	False	True
GSE123902	LX255B	donor	tertile	228	76	148	1583	1.8580563068389893	0.0	True	True	False	True
GSE123902	LX255B	donor	q4q1	228	57	148	1583	2.0755112171173096	0.0	True	True	False	True
GSE123902	LX653	donor	median	145	72	73	49	1.8264353275299072	0.4245890974998474	True	True	False	True
GSE123902	LX653	donor	tertile	145	49	49	49	2.018704652786255	0.09891282021999359	True	True	False	True
GSE123902	LX653	donor	q4q1	145	37	41	49	2.140446424484253	0.0	True	True	False	True
GSE123902	LX661	donor	median	117	58	59	3726	1.6476958990097046	0.11869233101606369	True	True	False	True
GSE123902	LX661	donor	tertile	117	39	48	3726	1.896400809288025	0.0	True	True	False	True
GSE123902	LX661	donor	q4q1	117	30	48	3726	2.0148894786834717	0.0	True	True	False	True
GSE123902	LX666	donor	median	786	393	393	177	0.9616124629974365	0.11148934811353683	True	True	False	True
GSE123902	LX666	donor	tertile	786	262	262	177	1.1368224620819092	0.0020516866352409124	True	True	False	True
GSE123902	LX666	donor	q4q1	786	197	258	177	1.2494724988937378	0.0	True	True	False	True
GSE123902	LX675	donor	median	618	194	424	1336	1.4623266458511353	0.0	True	True	False	True
GSE123902	LX675	donor	tertile	618	194	424	1336	1.4623266458511353	0.0	True	True	False	True
GSE123902	LX675	donor	q4q1	618	155	424	1336	1.6711193323135376	0.0	True	True	False	True
GSE123902	LX676	donor	median	147	62	85	2606	1.9266291856765747	0.0	True	True	False	True
GSE123902	LX676	donor	tertile	147	49	85	2606	2.1721808910369873	0.0	True	True	False	True
GSE123902	LX676	donor	q4q1	147	37	85	2606	2.40590238571167	0.0	True	True	False	True
GSE123902	LX679	donor	median	497	215	282	625	1.5467278957366943	0.0	True	True	False	True
GSE123902	LX679	donor	tertile	497	166	282	625	1.7479174137115479	0.0	True	True	False	True
GSE123902	LX679	donor	q4q1	497	125	282	625	1.9193345308303833	0.0	True	True	False	True
GSE123902	LX680	donor	median	258	129	129	344	2.2520334720611572	0.5812267661094666	True	True	False	True
GSE123902	LX680	donor	tertile	258	86	86	344	2.463818311691284	0.1567455232143402	True	True	False	True
GSE123902	LX680	donor	q4q1	258	65	69	344	2.5960581302642822	0.0	True	True	False	True
GSE123902	LX681	donor	median	1207	603	604	86	1.566734790802002	0.18846729397773743	True	True	False	True
GSE123902	LX681	donor	tertile	1207	403	443	86	1.7833006381988525	0.0	True	True	False	True
GSE123902	LX681	donor	q4q1	1207	302	443	86	1.9113490581512451	0.0	True	True	False	True
GSE123902	LX682	donor	median	421	79	342	2558	2.1237781047821045	0.0	True	True	False	True
GSE123902	LX682	donor	tertile	421	79	342	2558	2.1237781047821045	0.0	True	True	False	True
GSE123902	LX682	donor	q4q1	421	79	342	2558	2.1237781047821045	0.0	True	True	False	True
GSE123902	LX684	donor	median	173	86	87	92	1.6266158819198608	0.3900243937969208	True	True	False	True
GSE123902	LX684	donor	tertile	173	58	58	92	1.8227674961090088	0.11996616423130035	True	True	False	True
GSE123902	LX684	donor	q4q1	173	44	47	92	1.9435232877731323	0.0	True	True	False	True
GSE123902	LX699	donor	median	46	7	39	2263	1.8453949689865112	0.0	False	False	False	True
GSE123902	LX699	donor	tertile	46	7	39	2263	1.8453949689865112	0.0	False	False	False	True
GSE123902	LX699	donor	q4q1	46	7	39	2263	1.8453949689865112	0.0	False	False	False	True
