method	destination	rule	interaction_name	pathway_name	ligand	receptor	ligand_genes	receptor_genes	ligand_class	pair_origin	n_patients	n_cohorts	n_thin_tail	cohorts	median_delta	mean_delta	mean_score_high	mean_score_low	frac_detected_high	frac_detected_low	median_n_sender_high	median_n_receiver	pval	padj
cellchat	TNK	median	COL4A2_CD44	COLLAGEN	COL4A2	CD44	COL4A2	CD44	other	cellchatdb_v2	5	2	0	GSE123902,GSE189357	-0.23772098088409815	-0.17018916539540244	0.10047128727862387	0.2706604526740263	0.8	1.0	149.0	2558.0		
cellchat	TNK	median	CLEC2C_KLRB1	CLEC	CD69	KLRB1	CD69	KLRB1	other	cellchatdb_v2	16	2	1	GSE123902,GSE189357	-0.192819353407774	-0.25717895112604194	0.07017165652012687	0.3273506076461688	0.6875	1.0	252.5	3559.0	0.000152587890625	0.0009624774639423076
cellchat	TNK	median	COL4A1_CD44	COLLAGEN	COL4A1	CD44	COL4A1	CD44	other	cellchatdb_v2	6	2	1	GSE123902,GSE189357	-0.11464054568719062	-0.11958015478779759	0.06668089345081973	0.18626104823861733	0.8333333333333334	0.8333333333333334	139.0	1947.0	0.3125	0.37137681159420294
cellchat	TNK	median	CLEC2B_KLRB1	CLEC	CLEC2B	KLRB1	CLEC2B	KLRB1	other	cellchatdb_v2	17	2	1	GSE123902,GSE189357	-0.06518787507187254	-0.10379798713197468	0.047459535723699126	0.15125752285567384	0.7647058823529411	1.0	194.0	3392.0	0.0020904541015625	0.006256103515624999
cellchat	TNK	median	LAMA4_CD44	LAMININ	LAMA4	CD44	LAMA4	CD44	other	cellchatdb_v2	3	2	0	GSE123902,GSE189357	-0.06392504744936647	-0.11623985863240471	0.05203146886141291	0.16827132749381765	0.3333333333333333	1.0	149.0	2558.0		
cellchat	TNK	median	COL1A2_CD44	COLLAGEN	COL1A2	CD44	COL1A2	CD44	other	cellchatdb_v2	5	2	0	GSE123902,GSE189357	-0.04716422071853773	-0.1472934929817172	0.1351614053757462	0.2824548983574634	0.6	1.0	149.0	2558.0		
cellchat	TNK	median	RETN_CAP1	RESISTIN	RETN	CAP1	RETN	CAP1	other	cellchatdb_v2	3	1	0	GSE189357	-0.013651819463317337	-5.8100110616909895e-05	0.01629534570655371	0.01635344581717062	0.3333333333333333	1.0	311.0	4345.0		
cellchat	TNK	median	TNF_TNFRSF1B	TNF	TNF	TNFRSF1B	TNF	TNFRSF1B	attack	cellchatdb_v2	4	2	0	GSE123902,GSE189357	-0.00891626366661498	-0.013153906356485537	0.0018539872706847965	0.015007893627170334	0.25	1.0	386.5	2999.0		
cellchat	TNK	median	COL1A2_SDC4	COLLAGEN	COL1A2	SDC4	COL1A2	SDC4	other	cellchatdb_v2	3	1	0	GSE123902	-0.002492033166808226	-0.0044950182568904646	0.0019917369885683297	0.006486755245458793	0.6666666666666666	1.0	79.0	1336.0		
cellchat	TNK	median	ANXA1_FPR1	ANNEXIN	ANXA1	FPR1	ANXA1	FPR1	other	cellchatdb_v2	4	2	0	GSE123902,GSE189357	-0.0018234050972107656	-0.004503640187789236	0.034519473173670566	0.039023113361459805	1.0	1.0	352.0	4473.5		
cellchat	TNK	median	CD99_PILRB	CD99	CD99	PILRB	CD99	PILRB	other	cellchatdb_v2	4	2	0	GSE123902,GSE189357	-0.0013159138115892543	0.010695039109210115	0.024985817304304016	0.0142907781950939	1.0	1.0	234.0	3308.5		
cellchat	TNK	median	CD99_PILRA	CD99	CD99	PILRA	CD99	PILRA	other	cellchatdb_v2	5	2	0	GSE123902,GSE189357	-0.0012356401742252044	-0.003521077854693989	0.010020257520672472	0.013541335375366462	1.0	1.0	311.0	3392.0		
cellchat	TNK	median	CLEC2D_KLRB1	CLEC	CLEC2D	KLRB1	CLEC2D	KLRB1	other	cellchatdb_v2	11	2	1	GSE123902,GSE189357	-0.0009232009219887553	-0.02263699417609086	0.01397953086213834	0.03661652503822921	0.8181818181818182	0.7272727272727273	86.0	1336.0	0.4130859375	0.470458984375
cellchat	TNK	median	COL4A2_SDC4	COLLAGEN	COL4A2	SDC4	COL4A2	SDC4	other	cellchatdb_v2	3	1	0	GSE123902	-0.00037289601716704654	-0.002114711880664265	0.00020614068294635504	0.0023208525636106204	0.6666666666666666	1.0	129.0	1336.0		
cellchat	TNK	median	COL4A1_SDC4	COLLAGEN	COL4A1	SDC4	COL4A1	SDC4	other	cellchatdb_v2	3	1	0	GSE123902	-0.00032386351190591807	-0.0017588606152254573	0.0004602518672979663	0.002219112482523423	0.6666666666666666	1.0	129.0	1336.0		
