method	destination	rule	interaction_name	pathway_name	ligand	receptor	ligand_genes	receptor_genes	ligand_class	pair_origin	n_patients	n_cohorts	n_thin_tail	cohorts	median_delta	mean_delta	mean_score_high	mean_score_low	frac_detected_high	frac_detected_low	median_n_sender_high	median_n_receiver	pval	padj
cellchat	TNK	median	TNF_TNFRSF1B	TNF	TNF	TNFRSF1B	TNF	TNFRSF1B	attack	cellchatdb_v2	4	2	0	GSE123902,GSE189357	-0.00891626366661498	-0.013153906356485537	0.0018539872706847965	0.015007893627170334	0.25	1.0	386.5	2999.0		
cellchat	TNK	median	CXCL10_CXCR3	CXCL	CXCL10	CXCR3	CXCL10	CXCR3	recruit	cellchatdb_v2	3	1	1	GSE123902	0.0003782442456789793	0.009225199668517318	0.009761271287624307	0.0005360716191069895	1.0	0.3333333333333333	79.0	344.0		
cellchat	TNK	median	HLA-E_CD8B	MHC-I	HLA-E	CD8B	HLA-E	CD8B	inhibitory	cellchatdb_v2	16	2	0	GSE123902,GSE189357	0.0007215018986181041	-0.005104942957298849	0.1471684156758265	0.15227335863312536	1.0	1.0	267.0	2999.0	0.899932861328125	0.9110431435667439
cellchat	TNK	median	PVR_CD226	PVR	PVR	CD226	PVR	CD226	barrier|inhibitory	cellchatdb_v2	5	2	0	GSE123902,GSE189357	0.0009389604514248404	0.0026492188087902874	0.002694999041902966	4.5780233112678756e-05	1.0	0.4	319.0	6525.0		
cellchat	TNK	median	LGALS9_HAVCR2	GALECTIN	LGALS9	HAVCR2	LGALS9	HAVCR2	inhibitory	cellchatdb_v2	8	2	0	GSE123902,GSE189357	0.002576680977069525	0.0022191988750344402	0.015628772925005745	0.013409574049971304	1.0	0.75	171.5	1947.0	0.1484375	0.19632056451612903
cellchat	TNK	median	HLA-G_CD8B	MHC-I	HLA-G	CD8B	HLA-G	CD8B	inhibitory	cellchatdb_v2	8	1	0	GSE123902	0.0026593889894599514	0.03976278308367246	0.07746023680270926	0.0376974537190368	1.0	0.75	82.5	980.5	0.109375	0.14947916666666666
cellchat	TNK	median	HLA-F_CD8B	MHC-I	HLA-F	CD8B	HLA-F	CD8B	inhibitory	cellchatdb_v2	16	2	0	GSE123902,GSE189357	0.0030231927829365776	0.019637604844531746	0.0660120997580863	0.04637449491355457	1.0	1.0	267.0	2999.0	0.05767822265625	0.09095412034254807
cellchat	TNK	median	PVR_TIGIT	PVR	PVR	TIGIT	PVR	TIGIT	barrier|inhibitory	cellchatdb_v2	11	2	0	GSE123902,GSE189357	0.0034663660872102996	0.013126484834107388	0.013505960994192967	0.00037947616008557767	1.0	0.18181818181818182	215.0	2558.0	0.0009765625	0.0037536621093749996
cellchat	TNK	median	NECTIN3_TIGIT	NECTIN	NECTIN3	TIGIT	NECTIN3	TIGIT	barrier	cellchatdb_v2	10	2	0	GSE123902,GSE189357	0.003722429832338537	0.007411756198591307	0.007626305023611479	0.00021454882502017344	1.0	0.1	356.0	5125.5	0.001953125	0.006159855769230769
cellchat	TNK	median	CXCL13_CXCR3	CXCL	CXCL13	CXCR3	CXCL13	CXCR3	recruit	cellchatdb_v2	3	1	1	GSE123902	0.005906472389927985	0.006695478223771367	0.012305959398255309	0.005610481174483942	0.6666666666666666	1.0	79.0	344.0		
