contrast	pathway	n_pairs	n_pairs_delta_neg	median_of_pair_deltas	n_pairs_fdr05
outgoing	IFN	1	1	-0.06256782077252865	0
outgoing	MHC_I	15	0	0.11501944065093994	12
outgoing	T_recruit	11	7	-0.005366606637835503	1
incoming	IFN	3	0	0.01699662208557129	3
incoming	MHC_I	7	0	0.0037368033081293106	0
