direction	ligand	receptor	pathway	n_patients	n_cohorts	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	n_gse207422	n_gse131907	n_gse148071	n_gse205335	pval	padj
malignant_CLDN4high_to_TNK	IFNG	IFNGR1	IFN	3	2	-0.06256782077252865	-0.05172243217627207	0.10939886793494225	0.1611213001112143	0.3333333333333333	1.0	0	1	0	2	0.25	0.33999999999999997
malignant_CLDN4high_to_TNK	HLA-F	KIR3DL2	MHC_I	3	2	0.02633005380630493	0.04141357478996118	0.24138276651501656	0.19996919172505537	1.0	0.6666666666666666	0	1	0	2	0.25	0.33999999999999997
malignant_CLDN4high_to_TNK	HLA-B	CD8A	MHC_I	59	4	0.08177673816680908	0.09314003066411095	1.4627689720382766	1.3696289413741656	1.0	1.0	8	27	10	18	5.058800764779266e-05	0.00022933230133666008
malignant_CLDN4high_to_TNK	HLA-A	CD8A	MHC_I	59	4	0.08681595325469971	0.10825621395830125	1.5333699787419939	1.4251137647836927	1.0	1.0	8	27	10	18	5.297204038463994e-06	3.4305702344338244e-05
malignant_CLDN4high_to_TNK	HLA-C	CD8A	MHC_I	59	4	0.09061795473098755	0.10368277664695467	1.379721908578797	1.2760391319318423	1.0	1.0	8	27	10	18	2.5602306932931017e-06	1.8325861804624305e-05
malignant_CLDN4high_to_TNK	HLA-A	CD8B	MHC_I	50	4	0.09324949979782104	0.11584251753564151	1.4423948561526694	1.326552338617028	1.0	1.0	7	23	6	17	2.1869030718061328e-05	0.00011015511769097558
malignant_CLDN4high_to_TNK	HLA-B	CD8B	MHC_I	50	4	0.09569942951202393	0.10309456598083928	1.3894400866526477	1.2863455206718084	1.0	1.0	7	23	6	17	0.00022675611651526152	0.0008566342179465435
malignant_CLDN4high_to_TNK	HLA-C	CD8B	MHC_I	50	4	0.10210758447647095	0.11203428638993569	1.3090195463232275	1.1969852599332917	1.0	1.0	7	23	6	17	2.3662248102648724e-05	0.00011493091935572238
malignant_CLDN4high_to_TNK	HLA-E	KLRD1	MHC_I	57	4	0.11501944065093994	0.10380459552417036	0.8559701327906281	0.7521655372664576	1.0	1.0	8	25	10	18	6.917776889322662e-09	1.5680294282464698e-07
malignant_CLDN4high_to_TNK	HLA-E	KLRC1	MHC_I	19	4	0.1255040466785431	0.12871466616266652	0.7095929388152925	0.580878272652626	1.0	1.0	2	8	4	5	3.814697265625e-06	2.593994140625e-05
malignant_CLDN4high_to_TNK	HLA-E	KLRC1+KLRD1	MHC_I	17	4	0.1255040466785431	0.1332067369538195	0.7275030187824193	0.5942962818285998	1.0	1.0	2	7	3	5	1.52587890625e-05	8.234908950380769e-05
malignant_CLDN4high_to_TNK	HLA-E	KLRC3+KLRD1	MHC_I	5	1	0.16992789506912231	0.1726999044418335	0.6512337885797024	0.4785338841378689	1.0	1.0	0	0	0	5	0.0625	0.10625
malignant_CLDN4high_to_TNK	HLA-E	KLRC2	MHC_I	16	3	0.171937495470047	0.17228306829929352	0.7249739137478173	0.5526908454485238	1.0	1.0	0	3	3	10	3.0517578125e-05	0.0001431169181034483
malignant_CLDN4high_to_TNK	HLA-E	KLRC2+KLRD1	MHC_I	15	3	0.17394709587097168	0.17336856126785277	0.7445429270466168	0.5711743657787641	1.0	1.0	0	3	2	10	6.103515625e-05	0.00026776713709677417
malignant_CLDN4high_to_TNK	HLA-E	KLRK1	MHC_I	19	1	0.17394709587097168	0.12654430105497963	0.8108032769278476	0.684258975872868	1.0	1.0	0	0	0	19	0.014068603515625	0.03416660853794643
malignant_CLDN4high_to_TNK	HLA-B	KIR3DL2	MHC_I	3	2	0.1844584047794342	0.20025554299354553	1.0533307865262032	0.8530752435326576	1.0	1.0	0	1	0	2	0.25	0.33999999999999997
malignant_CLDN4high_to_TNK	LCK	CD8A+CD8B	MHC_I_partial	10	3	-0.004411565139889717	-0.09804156761277806	0.2506519041278146	0.3486934717405926	0.5454545454545454	0.8181818181818182	1	6	0	4	0.2783203125	0.37476794554455445
malignant_CLDN4high_to_TNK	MICA	HCST+KLRK1	MHC_I_partial	13	1	0.023229654878377914	0.02823767990160447	0.3388328065092747	0.31059512660767025	1.0	0.6923076923076923	0	0	0	13	0.000244140625	0.0008973817567567568
malignant_CLDN4high_to_TNK	HLA-F	VSIR	MHC_I_partial	27	3	0.0615190714597702	0.06640950670199734	0.44974117087466375	0.3833316641726664	1.0	0.8214285714285714	6	0	5	17	0.0005833879113197327	0.0019351403887678939
malignant_CLDN4high_to_TNK	CEACAM5	CD8A	MHC_I_partial	39	4	0.07805545255541801	0.11402259962633252	0.6317978389095515	0.517775239283219	1.0	0.7	4	18	5	13	3.8751750253140926e-07	4.391865028689304e-06
malignant_CLDN4high_to_TNK	HLA-E	VSIR	MHC_I_partial	33	3	0.1429242044687271	0.10923094762598767	0.7938444656045998	0.6846135179786121	1.0	1.0	6	0	8	20	0.000290827127173543	0.0010408549814632064
malignant_CLDN4high_to_TNK	CXCL10	CXCR3	T_recruit	11	4	-0.017272249795496464	-0.030696939507668667	0.35422995720397343	0.3849268967116421	0.9090909090909091	0.5454545454545454	3	4	2	2	0.4130859375	0.5154099770642202
malignant_CLDN4high_to_TNK	CCL5	CCR1	T_recruit	8	4	-0.015538621693849564	-0.0135783227160573	0.22624871879816055	0.23982704151421785	0.75	1.0	2	1	3	2	0.546875	0.6302966101694915
malignant_CLDN4high_to_TNK	CCL5	CCR5	T_recruit	12	4	-0.010882817208766937	-0.015846762519616347	0.277696841611312	0.29354360413092834	0.8461538461538461	1.0	4	1	5	3	0.454833984375	0.5426089638157895
malignant_CLDN4high_to_TNK	CCL3	CCR5	T_recruit	5	3	-0.007998175919055939	-0.015258724242448807	0.2586596876382828	0.27391841188073157	0.8	1.0	2	2	0	1	0.4375	0.5265486725663716
malignant_CLDN4high_to_TNK	CXCL9	CXCR3	T_recruit	6	3	-0.005402259528636932	0.016094630273679893	0.3737116710593303	0.35761704078565043	0.8333333333333334	0.8333333333333334	3	1	2	0	1.0	1.0
malignant_CLDN4high_to_TNK	CCL4	CCR5	T_recruit	8	4	-0.005366606637835503	-0.027728343615308404	0.2830096469260752	0.3107379905413836	0.875	0.875	4	2	1	1	0.3828125	0.4865654205607477
malignant_CLDN4high_to_TNK	CCL3	CCR1	T_recruit	3	2	-0.0028288178145885468	0.004279517879088719	0.22850808252890906	0.22422856464982033	1.0	1.0	2	1	0	0	1.0	1.0
malignant_CLDN4high_to_TNK	CXCL11	CXCR3	T_recruit	5	3	4.588812589645386e-05	-0.024670208804309368	0.3985631885007024	0.42323339730501175	0.4	0.8	2	0	2	1	1.0	1.0
malignant_CLDN4high_to_TNK	CXCL12	CXCR4	T_recruit	7	3	0.017383771017193794	0.0016680378466844559	1.0616658830216952	1.0599978451750107	0.7142857142857143	0.7142857142857143	2	3	2	0	0.578125	0.6444672131147541
