ligand	receptor	pathway	n_patients	n_cohorts	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	n_gse207422	n_gse131907	n_gse148071	n_gse205335	pval	padj
TGFB1	ITGAV+ITGB6	other	45	4	0.02723744511604309	0.03252877741275976	0.3782702391423906	0.34574146172963083	0.9375	0.8333333333333334	4	25	5	14	5.443569143892546e-06	5.9879260582818006e-05
PSAP	GPR37	other	20	3	0.02860591563512571	0.033146509135258385	0.37235947549343107	0.3392129663581727	1.0	0.35	0	9	3	8	1.9073486328125e-06	3.10465914641884e-05
CADM1	CADM1	other	4	4	0.029760170727968216	0.03487896919250488	0.4138877475634217	0.37900877837091684	1.0	0.75	1	1	1	1	0.375	0.540983606557377
AREG	EGFR	other	51	4	0.030162014067173004	0.049866370304867076	0.41755354156096774	0.3676871712561007	0.9814814814814815	0.9074074074074074	5	24	11	14	0.00024864867103835923	0.0013675676907109757
CRTAM	CADM1	other	10	4	0.0308023146353662	0.03311575753614306	0.2492252727970481	0.21610951526090502	1.0	0.4	3	1	1	5	0.037109375	0.08373397435897437
TNFSF14	TNFRSF14	other	10	3	0.031345637515187263	0.04071663580834865	0.2360219933092594	0.19530535750091077	1.0	1.0	1	4	0	5	0.009765625	0.02685546875
TNFSF14	LTBR	other	15	4	0.031847987323999405	0.04069472965784371	0.38351642759516835	0.34282169793732464	1.0	1.0	5	4	2	5	3.0517578125e-05	0.000244140625
VEGFB	NRP1	other	11	2	0.03238886222243309	0.03807188265702941	0.22777239538051866	0.18970051272348923	0.9090909090909091	0.5454545454545454	4	0	0	7	0.001953125	0.007472826086956522
TNFSF10	TNFRSF10B	other	39	4	0.032574363052845	0.04011710943290737	0.25643056735578107	0.2163134579228737	0.9512195121951219	0.7804878048780488	6	19	3	13	5.862912075826898e-07	1.7197875422425568e-05
LIPA	RORC	other	17	3	0.033930077916011214	0.033252416256194316	0.16359310100475946	0.13034068474856517	1.0	0.6666666666666666	1	8	0	9	3.814697265625e-05	0.0002582256610576923
LTB	LTBR	other	68	4	0.0352272093296051	0.05528590860517903	0.7580115545748008	0.7027256459696218	1.0	0.9166666666666666	8	29	16	19	1.0535589469264804e-10	9.271318732953027e-09
