ligand	receptor	pathway	n_patients	n_cohorts	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	n_gse207422	n_gse131907	n_gse148071	n_gse205335	pval	padj
HLA-B	CD8A	MHC_I	8	1	0.1010274887084961	0.10516124777495861	2.0699055064469576	1.964744258671999	1.0	1.0	8	0	0	0	0.015625	0.1450892857142857
HLA-B	CD8B	MHC_I	7	1	0.1015479564666748	0.11417029585157122	1.839180244931153	1.7250099490795816	1.0	1.0	7	0	0	0	0.03125	0.16927083333333331
HLA-A	CD8A	MHC_I	8	1	0.10542106628417969	0.0833929255604744	2.2859744243323803	2.202581498771906	1.0	1.0	8	0	0	0	0.109375	0.2633101851851852
HLA-E	KLRD1	MHC_I	8	1	0.10898083448410034	0.10603214800357819	1.2290688510984182	1.12303670309484	1.0	1.0	8	0	0	0	0.0078125	0.1450892857142857
HLA-C	CD8A	MHC_I	8	1	0.11217164993286133	0.1272243708372116	2.2036918960511684	2.076467525213957	1.0	1.0	8	0	0	0	0.015625	0.1450892857142857
HLA-C	CD8B	MHC_I	7	1	0.12865233421325684	0.13639085633414133	1.9558472771729742	1.8194564208388329	1.0	1.0	7	0	0	0	0.03125	0.16927083333333331
HLA-A	CD8B	MHC_I	7	1	0.146470308303833	0.10861124311174665	2.0283597335219383	1.9197484904101916	1.0	1.0	7	0	0	0	0.046875	0.203125
HLA-F	VSIR	MHC_I_partial	6	1	0.07357046380639076	0.063705381937325	0.5405860127260288	0.47688063078870374	1.0	0.8333333333333334	6	0	0	0	0.15625	0.30776515151515155
HLA-E	VSIR	MHC_I_partial	6	1	0.11592894792556763	0.11647653579711914	1.0768465573589008	0.9603700215617815	1.0	1.0	6	0	0	0	0.03125	0.16927083333333331
CXCL10	CXCR3	T_recruit	3	1	-0.09171095490455627	-0.050380958865086235	0.5888255735238394	0.6392065323889256	1.0	0.6666666666666666	3	0	0	0	0.5	0.6770833333333333
CXCL9	CXCR3	T_recruit	3	1	-0.004417493939399719	0.025866717100143433	0.4581517328818639	0.43228501578172046	1.0	1.0	3	0	0	0	1.0	1.0
CCL5	CCR5	T_recruit	4	1	0.0010740235447883606	0.0038151592016220093	0.3436696529388428	0.33985449373722076	1.0	1.0	4	0	0	0	0.875	0.980603448275862
CCL4	CCR5	T_recruit	4	1	0.00588590931147337	-0.00043271342292428017	0.3291664896532893	0.3295992030762136	1.0	0.75	4	0	0	0	0.875	0.980603448275862
CXCL16	CXCR6	T_recruit	7	1	0.04984202980995178	0.09576111499752317	0.6267611043793815	0.5309999893818583	1.0	1.0	7	0	0	0	0.015625	0.1450892857142857
CXCL14	CXCR4	T_recruit_partial	8	1	-0.017610684037208557	-0.003728169947862625	1.6027077846229076	1.6064359545707703	1.0	1.0	8	0	0	0	0.640625	0.7856721698113208
PPIA	BSG	other	8	1	-0.04699426889419556	-0.045942723751068115	1.7384391650557518	1.78438188880682	1.0	1.0	8	0	0	0	0.109375	0.2633101851851852
COL7A1	ITGA1+ITGB1	other	4	1	-0.03371923789381981	-0.030468832701444626	0.3716293051838875	0.4020981378853321	1.0	1.0	4	0	0	0	0.25	0.4276315789473684
COL4A1	ITGA1+ITGB1	other	4	1	-0.02712235227227211	-0.018500526435673237	0.32143030036240816	0.3399308267980814	1.0	1.0	4	0	0	0	0.375	0.529891304347826
COL4A2	ITGA1+ITGB1	other	4	1	-0.018592417240142822	-0.020146030001342297	0.3554354840889573	0.3755815140902996	1.0	1.0	4	0	0	0	0.25	0.4276315789473684
PTGES3	PTGER4	other	8	1	-0.015377342700958252	-0.031532172113657	0.8242085482925177	0.8557407204061747	1.0	1.0	8	0	0	0	0.0546875	0.20909926470588233
DHCR7	RORA	other	7	1	-0.015209976583719254	-0.00940330805523055	0.4207900586937155	0.43019336674894604	1.0	1.0	7	0	0	0	0.375	0.529891304347826
JAG1	CD46	other	6	1	-0.014552496373653412	0.016142933319012325	0.4226292011638482	0.40648626784483594	1.0	0.8333333333333334	6	0	0	0	1.0	1.0
JAG2	NOTCH1	other	4	1	-0.0143604576587677	-0.020442242734134197	0.20289214327931404	0.22333438601344824	1.0	0.75	4	0	0	0	0.375	0.529891304347826
DHCR7	NR1H2	other	4	1	-0.013734661042690277	-0.0114373117685318	0.2043763156980276	0.2158136274665594	1.0	1.0	4	0	0	0	0.625	0.78125
CD320	JAML	other	5	1	-0.011221464723348618	0.0001598663628101349	0.2583236269652843	0.2581637606024742	1.0	1.0	5	0	0	0	1.0	1.0
COL4A5	ITGA1+ITGB1	other	6	1	-0.008949393406510353	-0.010939520473281542	0.37268070597201586	0.3836202264452974	1.0	0.8333333333333334	6	0	0	0	0.3125	0.48363095238095233
LPAR2	ADGRE5	other	7	1	-0.0078524649143219	-0.008010385824101312	0.3909535551709788	0.39896394099508015	1.0	1.0	7	0	0	0	0.078125	0.23082386363636362
LPAR3	ADGRE5	other	4	1	-0.0061861611902713776	-0.005274991970509291	0.3881363710388541	0.3934113630093634	1.0	1.0	4	0	0	0	0.25	0.4276315789473684
CD274	PDCD1	other	5	1	-0.004629325121641159	-0.0005643313517794013	0.3220566436648369	0.3226209750166163	1.0	0.6	5	0	0	0	1.0	1.0
