ligand	receptor	pathway	n_patients	n_cohorts	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	n_gse207422	n_gse131907	n_gse148071	n_gse205335	pval	padj
HLA-B	CD8A	MHC_I	18	1	0.12320482730865479	0.12526778959565693	1.4973629208074675	1.3720951312118106	1.0	1.0	0	0	0	18	0.05385589599609375	0.07779184977213542
HLA-A	CD8B	MHC_I	17	1	0.13233959674835205	0.1528696672004812	1.4468997940421104	1.2940301268416292	1.0	1.0	0	0	0	17	0.044769287109375	0.0671539306640625
HLA-C	CD8A	MHC_I	18	1	0.14755380153656006	0.1312122485703892	1.4352949700421758	1.3040827214717865	1.0	1.0	0	0	0	18	0.03849029541015625	0.058867510627297795
HLA-A	CD8A	MHC_I	18	1	0.14890632033348083	0.15356985479593277	1.5561580310265224	1.4025881762305896	1.0	1.0	0	0	0	18	0.030364990234375	0.04833610690369898
HLA-B	CD8B	MHC_I	17	1	0.15071022510528564	0.1279950317214517	1.4375282968668377	1.309533265145386	1.0	1.0	0	0	0	17	0.0714111328125	0.09440793829449153
HLA-C	CD8B	MHC_I	17	1	0.1578761339187622	0.13374028574017918	1.3425185053664095	1.2087782196262304	1.0	1.0	0	0	0	17	0.050537109375	0.07437536851415094
HLA-E	KLRC3+KLRD1	MHC_I	5	1	0.16992789506912231	0.1726999044418335	0.6512337885797024	0.4785338841378689	1.0	1.0	0	0	0	5	0.0625	0.08405172413793104
HLA-E	KLRC1	MHC_I	5	1	0.17394709587097168	0.18736525028944015	0.710564848780632	0.5231995984911919	1.0	1.0	0	0	0	5	0.0625	0.08405172413793104
HLA-E	KLRC1+KLRD1	MHC_I	5	1	0.17394709587097168	0.18736525028944015	0.710564848780632	0.5231995984911919	1.0	1.0	0	0	0	5	0.0625	0.08405172413793104
HLA-E	KLRK1	MHC_I	19	1	0.17394709587097168	0.12654430105497963	0.8108032769278476	0.684258975872868	1.0	1.0	0	0	0	19	0.014068603515625	0.02743377685546875
HLA-E	KLRD1	MHC_I	18	1	0.17537161707878113	0.1489601412581073	0.841777096192042	0.6928169549339347	1.0	1.0	0	0	0	18	0.00193023681640625	0.005642361111111111
HLA-E	KLRC2	MHC_I	10	1	0.19022905826568604	0.21243827939033508	0.7925919719040394	0.5801536925137043	1.0	1.0	0	0	0	10	0.001953125	0.005642361111111111
HLA-E	KLRC2+KLRD1	MHC_I	10	1	0.19022905826568604	0.21243827939033508	0.7912824161350727	0.5788441367447377	1.0	1.0	0	0	0	10	0.001953125	0.005642361111111111
MICA	HCST+KLRK1	MHC_I_partial	13	1	0.023229654878377914	0.02823767990160447	0.3388328065092747	0.31059512660767025	1.0	0.6923076923076923	0	0	0	13	0.000244140625	0.001120174632352941
HLA-F	VSIR	MHC_I_partial	17	1	0.02633005380630493	0.05776194888441002	0.454067404874984	0.39630545599057393	1.0	0.8823529411764706	0	0	0	17	0.0201568603515625	0.03493855794270834
HLA-E	VSIR	MHC_I_partial	20	1	0.171937495470047	0.12379494570195675	0.7550771079957486	0.6312821622937917	1.0	1.0	0	0	0	20	0.009435653686523438	0.01989137804186022
