ligand	receptor	pathway	n_patients	n_cohorts	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	n_gse207422	n_gse131907	n_gse148071	n_gse205335	pval	padj
HLA-E	KLRC2	MHC_I	3	1	0.05837374925613403	0.1188297967116038	0.7734132558107376	0.6545834590991338	1.0	1.0	0	3	0	0	0.25	0.3392857142857143
HLA-E	KLRC2+KLRD1	MHC_I	3	1	0.05837374925613403	0.1188297967116038	0.7734132558107376	0.6545834590991338	1.0	1.0	0	3	0	0	0.25	0.3392857142857143
HLA-B	CD8A	MHC_I	27	1	0.08177673816680908	0.10746337087066085	1.3594562182271923	1.2519928473565314	1.0	1.0	0	27	0	0	0.0005356669425964355	0.002544417977333069
HLA-B	CD8B	MHC_I	23	1	0.08177673816680908	0.11529986754707668	1.3304136013207228	1.2151137337736462	1.0	1.0	0	23	0	0	0.0021359920501708984	0.007730256943475631
HLA-A	CD8A	MHC_I	27	1	0.08681595325469971	0.10685769275382713	1.3941420217355092	1.2872843289816822	1.0	1.0	0	27	0	0	5.488097667694092e-05	0.0005154079861111111
HLA-E	KLRD1	MHC_I	25	1	0.08767983317375183	0.09515628337860108	0.7778425803780555	0.6826862969994545	1.0	1.0	0	25	0	0	1.1920928955078125e-07	4.5299530029296875e-06
HLA-C	CD8A	MHC_I	27	1	0.09061795473098755	0.10839113399938301	1.2451439135604434	1.1367527795610604	1.0	1.0	0	27	0	0	3.0234456062316895e-05	0.00033133370535714287
HLA-A	CD8B	MHC_I	23	1	0.09324949979782104	0.11569313640179842	1.3617454537230989	1.2460523173213005	1.0	1.0	0	23	0	0	0.00025343894958496094	0.00148164308988131
HLA-E	KLRC1	MHC_I	8	1	0.09393028914928436	0.10733643174171448	0.656231302767992	0.5488948710262775	1.0	1.0	0	8	0	0	0.0078125	0.023204684257507324
HLA-C	CD8B	MHC_I	23	1	0.10210758447647095	0.11374715521283772	1.215517738915008	1.1017705837021703	1.0	1.0	0	23	0	0	0.00025343894958496094	0.00148164308988131
HLA-E	KLRC1+KLRD1	MHC_I	7	1	0.1255040466785431	0.11908971411841256	0.6807458975485393	0.5616561834301267	1.0	1.0	0	7	0	0	0.015625	0.034926470588235295
CEACAM5	CD8A	MHC_I_partial	18	1	0.03306015208363533	0.029876505438652303	0.5605080189804236	0.5306315135417713	1.0	0.9444444444444444	0	18	0	0	0.05385589599609375	0.10390625
CXCL10	CXCR3	T_recruit	4	1	-0.012141925748437643	-0.011468918528407812	0.18395921494811773	0.19542813347652555	0.75	0.5	0	4	0	0	0.375	0.4523809523809524
CXCL12	CXCR4	T_recruit	3	1	0.017383771017193794	0.019294163212180138	1.3046641560892265	1.2853699928770463	1.0	0.3333333333333333	0	3	0	0	0.25	0.3392857142857143
CX3CL1	CX3CR1	T_recruit	4	1	0.02482720324769616	0.028203872265294194	0.22357222065329552	0.19536834838800132	1.0	0.75	0	4	0	0	0.125	0.2159090909090909
CXCL16	CXCR6	T_recruit	18	1	0.027457553893327713	0.035957215560807124	0.2982558645308018	0.26229864896999466	1.0	1.0	0	18	0	0	0.0138702392578125	0.03400445753528226
CXCL14	CXCR4	T_recruit_partial	14	1	-0.0010031498968601227	0.019117415084370544	1.5487817484619362	1.5296643333775657	0.9285714285714286	1.0	0	14	0	0	0.9031982421875	0.9668037522007042
SFTPD	ADGRE5	other	17	1	-0.04559309780597687	-0.049082693972570056	0.570671687121777	0.619754381094347	0.8823529411764706	0.9411764705882353	0	17	0	0	0.088653564453125	0.1643334365472561
PPIA	BSG	other	29	1	-0.024268031120300293	-0.02968267325697274	1.3643774683105534	1.3940601415675262	1.0	1.0	0	29	0	0	0.027409173548221588	0.05786381082402336
CCL20	CCR6	other	4	1	-0.013000287115573883	0.03102176822721958	0.3386768754571676	0.30765510722994804	1.0	0.75	0	4	0	0	1.0	1.0
KLRB1	CLEC2D	other	7	1	-0.008663991466164589	-0.007290983971740518	0.39658969999956234	0.40388068397130283	0.7142857142857143	0.8571428571428571	0	7	0	0	0.15625	0.2638888888888889
ICAM2	ITGAL+ITGB2	other	7	1	-0.008078061044216156	0.00714360483522926	0.16244889183768205	0.15530528700245277	1.0	0.8571428571428571	0	7	0	0	0.8125	0.8821428571428571
ICAM3	ITGAL+ITGB2	other	17	1	-0.007325850427150726	-0.01078457253820756	0.19440222772605278	0.20518680026426034	0.9411764705882353	1.0	0	17	0	0	0.243499755859375	0.3392857142857143
CD320	JAML	other	23	1	-0.004371054470539093	-0.004096934733831365	0.26428616767668206	0.26838310241051344	0.9565217391304348	1.0	0	23	0	0	0.6010458469390869	0.6817833487667255
SPP1	ITGA4+ITGB1	other	13	1	-0.004347354173660278	0.0025873235068642176	0.3757943303969044	0.37320700689004016	0.9230769230769231	1.0	0	13	0	0	0.786865234375	0.8794376148897058
PTGES3	PTGER2	other	15	1	-0.004101932048797607	-0.003709505001703898	0.6141707723339399	0.6178802773356438	1.0	1.0	0	15	0	0	0.97796630859375	1.0
PTGES3	PTGER4	other	23	1	-0.004101932048797607	0.0012148502080336862	0.6808359843233357	0.679621134115302	1.0	1.0	0	23	0	0	1.0	1.0
IL7	IL2RG+IL7R	other	8	1	-0.002542759757488966	-0.0005313734291121364	0.40005954599473625	0.4005909194238484	0.875	0.75	0	8	0	0	1.0	1.0
PVR	CD96	other	17	1	-0.00020372122526168823	0.006769266664324438	0.2675255263936432	0.26075625972931876	0.9411764705882353	0.8235294117647058	0	17	0	0	0.4037628173828125	0.47209190955528846
PVR	TIGIT	other	17	1	-0.00020372122526168823	0.006769266664324438	0.29550756325068717	0.28873829658636274	0.9411764705882353	0.8235294117647058	0	17	0	0	0.4037628173828125	0.47209190955528846
PODXL	SELL	other	9	1	-0.00019536539912223816	0.0019986447878181934	0.22811608182059395	0.22611743703277576	0.8888888888888888	0.7777777777777778	0	9	0	0	1.0	1.0
PTGES2	PTGER2	other	15	1	-0.0001588761806488037	0.0025025243560473126	0.2358191301425298	0.2333166057864825	1.0	1.0	0	15	0	0	0.803955078125	0.8821428571428571
TNFSF15	TNFRSF25	other	10	1	0.0036419881507754326	0.007972292602062225	0.1819666238501668	0.17399433124810457	0.9	0.9	0	10	0	0	0.232421875	0.3392857142857143
TNC	ITGA4+ITGB1	other	13	1	0.0036474019289016724	0.018881602929188654	0.28567133012872475	0.2667897271995361	0.9230769230769231	0.9230769230769231	0	13	0	0	0.414306640625	0.4770803740530303
TNFSF12	TNFRSF25	other	18	1	0.004248993005603552	0.0063896011043753885	0.15948201974646914	0.15309241864209375	0.8333333333333334	0.7777777777777778	0	18	0	0	0.0987396240234375	0.17867170061383927
SEMA4D	PTPRC	other	21	1	0.005061836913228035	0.005736294313378278	0.6823840597200961	0.6766477654067179	0.9047619047619048	0.6190476190476191	0	21	0	0	0.02901458740234375	0.059597530880489864
LPAR1	ADGRE5	other	5	1	0.005086278542876244	0.005272675305604935	0.23105151914060115	0.22577884383499622	1.0	0.8	0	5	0	0	0.3125	0.4104066129590644
DHCR7	RORA	other	26	1	0.00534353032708168	0.0061813891292191465	0.35933850157576114	0.35315711244654197	0.9230769230769231	0.9230769230769231	0	26	0	0	0.1899040937423706	0.306732177734375
DHCR7	NR1H2	other	23	1	0.005731768906116486	0.005951041801144247	0.19394048072559678	0.18798943892445252	0.9130434782608695	0.9130434782608695	0	23	0	0	0.18954229354858398	0.306732177734375
PTGES2	PTGER4	other	23	1	0.006201058626174927	0.0029591653981934423	0.32098233894161554	0.31802317354342213	1.0	0.9565217391304348	0	23	0	0	0.3294053077697754	0.4104066129590644
CD58	CD2	other	23	1	0.006921529769897461	0.0167761602965386	0.8423240890159555	0.825547928719417	1.0	0.9565217391304348	0	23	0	0	0.011156558990478516	0.029237878733667833
