sample,patient,level,radius_um,n_cells,n_cldn4_high,n_cldn4_low,n_cd8,n_nk,n_other,z_cldn4_high_cd8,edges_cldn4_high_cd8,mean_n_cldn4_high_cd8,frac_cldn4_high_cd8,z_cldn4_high_nk,edges_cldn4_high_nk,mean_n_cldn4_high_nk,frac_cldn4_high_nk,mean_n_cldn4_high_cd8nk,frac_cldn4_high_cd8nk,z_cldn4_low_cd8,edges_cldn4_low_cd8,mean_n_cldn4_low_cd8,frac_cldn4_low_cd8,z_cldn4_low_nk,edges_cldn4_low_nk,mean_n_cldn4_low_nk,frac_cldn4_low_nk,mean_n_cldn4_low_cd8nk,frac_cldn4_low_cd8nk,delta_mean_n_cd8,ratio_mean_n_cd8,delta_z_cd8,delta_frac_cd8,delta_mean_n_nk,ratio_mean_n_nk,delta_z_nk,delta_frac_nk,delta_mean_n_cd8nk,ratio_mean_n_cd8nk,delta_z_cd8nk,delta_frac_cd8nk,perm_delta_mean_n_cd8nk,perm_p_high_lt_low_cd8nk
LUAD-5 R1,Lung5,section,50.0,98002,9298,9302,2020,1668,75714,-69.95948004453032,624.0,0.06711120671112067,0.001548529269436648,-55.25584385922357,1391.0,0.1496020649602065,0.0034519298297858614,0.21671327167132717,0.005000459099222509,-68.9873443871259,745.0,0.08009030316061062,0.0018048180162021784,-55.48154730404269,1329.0,0.14287250053751882,0.003219601534943215,0.22296280369812943,0.005024419551145394,-0.012979096449489955,0.8379442212440865,-0.9721356574044222,-0.0002562887467655304,0.006729564422687684,1.0471018873286988,0.22570344481912485,0.00023232829484264635,-0.006249532026802257,0.971970517399559,,-2.3960451922884485e-05,-0.006249532026802257,0.249
LUAD-5 R1,Lung5,section,100.0,98002,9298,9302,2020,1668,75714,-89.97463939733488,4641.0,0.49913959991396,0.003109658165415589,-66.81694273045782,8487.0,0.9127769412776942,0.0056866340982292835,1.411916541191654,0.008796292263644872,-89.6895330497018,4756.0,0.5112878950763277,0.0031105602736455885,-69.58473823999616,7587.0,0.815631047086648,0.004962115390275248,1.3269189421629757,0.008072675663920836,-0.01214829516236765,0.976239814634074,-0.2851063476330893,-9.021082299992891e-07,0.09714589419104613,1.1191051941169252,2.767795509538331,0.0007245187079540352,0.08499759902867843,1.0640563611897242,,0.0007236165997240359,0.08499759902867843,0.997
LUAD-5 R2,Lung5,section,50.0,100335,9545,9565,1848,1748,77629,-65.25407122116775,698.0,0.07312729177579885,0.0015875904107719601,-58.0847086917851,1408.0,0.14751178627553693,0.0032024746394941545,0.22063907805133579,0.004790065050266115,-62.512731217586165,871.0,0.09106116048092001,0.0019388559191868826,-55.994269259193,1585.0,0.1657083115525353,0.003528228050414706,0.2567694720334553,0.0054670839696015884,-0.01793386870512116,0.8030568838524869,-2.741340003581584,-0.0003512655084149225,-0.01819652527699836,0.8901894231706692,-2.090439432592106,-0.0003257534109205513,-0.03613039398211951,0.859288591840809,,-0.0006770189193354738,-0.03613039398211951,0.001
LUAD-5 R2,Lung5,section,100.0,100335,9545,9565,1848,1748,77629,-85.43250692959478,4936.0,0.5171293871136721,0.0030387988618048346,-71.40761734541194,8933.0,0.935882661079099,0.005499511797508628,1.453012048192771,0.008538310659313462,-82.39851065096897,5253.0,0.549189754312598,0.0032110234747638497,-72.10793198120331,8360.0,0.8740198640878202,0.005110252474590859,1.4232096184004182,0.008321275949354709,-0.03206036719892591,0.9416224229473203,-3.033996278625807,-0.00017222461295901504,0.061862796991278834,1.0707796235910982,0.7003146357913721,0.0003892593229177692,0.029802429792352925,1.0209402953767617,,0.00021703470995875287,0.029802429792352925,0.873
LUAD-5 R3,Lung5,section,50.0,97809,8270,8285,2294,1614,77346,-67.354868107404,692.0,0.08367593712212817,0.0020136415485252695,-50.06805353477781,1195.0,0.1444981862152358,0.0034773145238261517,0.22817412333736398,0.005490956072351422,-64.59871797658478,868.0,0.1047676523838262,0.00251396000834125,-50.80902884041113,1175.0,0.14182257091128544,0.0034031140665909776,0.24659022329511165,0.0059170740749322276,-0.02109171526169802,0.7986810357797602,-2.756150130819222,-0.0005003184598159805,0.002675615303950357,1.0188659342921096,0.7409753056333201,7.420045723517416e-05,-0.018416099957747678,0.9253169906265593,,-0.00042611800258080586,-0.018416099957747678,0.034
LUAD-5 R3,Lung5,section,100.0,97809,8270,8285,2294,1614,77346,-86.48900456035018,4480.0,0.5417170495767836,0.003570751085173572,-61.286250805236946,7037.0,0.850906892382104,0.005608789148742506,1.3926239419588877,0.009179540233916077,-84.66046218969052,4668.0,0.5634278817139409,0.0036949175886150944,-68.31180833889125,5840.0,0.7048883524441762,0.004622604695268242,1.2683162341581171,0.008317522283883336,-0.0217108321371573,0.9614665286511679,-1.8285423706596617,-0.00012416650344152262,0.1460185399379278,1.2071513019496116,7.0255575336543075,0.0009861844534742635,0.1243077078007706,1.098010026563512,,0.0008620179500327414,0.12430770780077038,1.0
LUSC-6,Lung6,section,50.0,89975,16402,50579,1230,184,21580,-62.38575682411317,1964.0,0.11974149493964151,0.002914655791616951,-18.338527131113057,548.0,0.03341055968784295,0.0008132542636487217,0.15315205462748446,0.0037279100552656728,-87.6358898151166,5480.0,0.10834536072282963,0.0026662073783883457,-25.480782342386274,1671.0,0.033037426599972324,0.0008129986367311909,0.14138278732280196,0.0034792060151195366,0.011396134216811876,1.1051834074000233,25.250132991003426,0.0002484484132286055,0.00037313308787062516,1.011294254010418,7.142255211273216,2.5562691753080406e-07,0.011769267304682501,1.083243989792132,,0.0002487040401461362,0.011769267304682501,0.99
LUSC-6,Lung6,section,100.0,89975,16402,50579,1230,184,21580,-79.98636080664434,11429.0,0.6968052676502865,0.004331087766581313,-20.11838222050182,2882.0,0.17571027923423974,0.0010921511018713225,0.8725155468845263,0.005423238868452636,-97.00977020523212,33034.0,0.653116906225904,0.004145092543702029,-26.928318831583674,8245.0,0.16301231736491428,0.001034579161555465,0.8161292235908183,0.005179671705257494,0.04368836142438248,1.06689210003281,17.023409398587773,0.00018599522287928404,0.012697961869325453,1.07789572024119,6.809936611081852,5.757194031585748e-05,0.05638632329370796,1.0690899451506204,,0.00024356716319514152,0.05638632329370796,1.0
LUAD-9 R1,Lung9,section,50.0,87606,19670,19752,2323,746,45115,-101.85607835332156,6913.0,0.3514489069649212,0.006832931706265975,-65.00292399798789,1546.0,0.07859684799186578,0.0015280937968880656,0.430045754956787,0.00836102550315404,-94.90724865500889,10034.0,0.5079991899554476,0.009850243703707339,-52.449783732899576,3083.0,0.1560854597002835,0.003026539898199096,0.6640846496557311,0.012876783601906434,-0.15655028299052637,0.691829660192458,-6.948829698312679,-0.003017311997441364,-0.07748861170841773,0.5035500945622229,-12.553140265088317,-0.0014984461013110302,-0.23403889469894412,0.6475767135706683,,-0.004515758098752393,-0.23403889469894412,0.001
LUAD-9 R1,Lung9,section,100.0,87606,19670,19752,2323,746,45115,-121.07832840233452,42274.0,2.149161159125572,0.010714050374335345,-81.42037924247688,9872.0,0.5018810371123539,0.00250198952773427,2.651042196237926,0.013216039902069616,-109.49952285045089,52503.0,2.6581105710814095,0.013185231877306499,-66.9228594561021,14974.0,0.7581004455245038,0.0037604643950019524,3.416211016605913,0.01694569627230845,-0.5089494119558373,0.8085296309743881,-11.578805551883633,-0.0024711815029711537,-0.25621940841214996,0.6620244587313486,-14.497519786374781,-0.0012584748672676825,-0.7651688203679874,0.7760182797114796,,-0.003729656370238834,-0.7651688203679874,0.001
