eff,radius_um,n_fov_pass,n_fov_delta_neg,fov_n,fov_n_high_lt_low,fov_n_high_gt_low,fov_n_tie,fov_median_delta,fov_mean_delta,fov_sign_p_one_sided_high_lt_low
cd8,50.0,193,146,193,146,47,0,-0.06399113082039909,-0.08763303376189899,2.624508333885543e-13
cd8,100.0,193,130,193,130,63,0,-0.10749081701793806,-0.16109321369225638,8.052199057201174e-07
nk,50.0,150,122,150,122,28,0,-0.06310093410772079,-0.0801158753942544,1.7152040327858903e-15
nk,100.0,150,109,150,109,41,0,-0.1531685141358795,-0.15728218660190021,1.306923199149121e-08
cd8nk,50.0,202,158,202,158,44,0,-0.10074189516309034,-0.14534557215684415,1.3924148912482312e-16
cd8nk,100.0,202,135,202,135,67,0,-0.1837132248784784,-0.2739905795595363,9.818929168553053e-07
