lineage	n_clusters	path	start_cluster	end_cluster	n_cells_on_lineage	pt_column
Lineage1	9	2>3>6>7>16>15>27>29>4	2	4	6928	Lineage1
Lineage2	9	2>3>6>7>16>15>27>29>9	2	9	6957	Lineage2
Lineage3	9	2>3>6>7>16>15>27>29>30	2	30	6940	Lineage3
Lineage4	7	2>3>6>7>17>13>14	2	14	7281	Lineage4
Lineage5	7	2>3>6>7>21>8>19	2	19	6796	Lineage5
Lineage6	7	2>3>6>7>16>15>20	2	20	6295	Lineage6
Lineage7	7	2>3>6>7>17>13>22	2	22	7282	Lineage7
Lineage8	7	2>3>6>7>16>15>28	2	28	6101	Lineage8
Lineage9	6	2>3>6>0>24>12	2	12	5235	Lineage9
Lineage10	6	2>3>6>0>24>25	2	25	5048	Lineage10
Lineage11	6	2>3>6>7>16>26	2	26	5772	Lineage11
Lineage12	5	2>3>6>7>5	2	5	5558	Lineage12
Lineage13	5	2>3>6>11>10	2	10	5332	Lineage13
Lineage14	5	2>3>6>7>18	2	18	5720	Lineage14
Lineage15	4	2>3>6>23	2	23	4971	Lineage15
Lineage16	3	2>3>1	2	1	3827	Lineage16
