unit_id	dataset	Sample_Origin	n_high	n_low	AT2_high	AT2_low	barrier_high	barrier_low	IFN_high	IFN_low	malignant_high	malignant_low	sling_high	sling_low	dpt_high	dpt_low
GSE123902:LX255B	GSE123902	METASTASIS	34	125	0.8276102503432947	0.4832031066417694	0.8436113845776109	0.6778477614720663	0.30440234141872524	0.2620312187310421	0.06734751252567067	0.0	35.071647724834314	37.060859525149	0.1345016360282898	0.13063475489616394
GSE123902:LX653	GSE123902	PRIMARY_TUMOUR	37	40	1.5675725071011364	1.3859483473002912	1.1560492027584497	0.7278181990608573	0.3741976910077774	0.3164028783074834	0.0	0.0	18.560527334012228	20.208675245604024	0.03451016545295715	0.07434628903865814
GSE123902:LX661	GSE123902	PRIMARY_TUMOUR	25	54	1.739777995646	0.8941920747359594	0.9810356603066127	0.660642080284931	0.39383791338313706	0.37441211878651326	0.1067213225364685	0.0	16.35713698367502	16.954591776344643	0.04418618232011795	0.083440400660038
GSE123902:LX675	GSE123902	PRIMARY_TUMOUR	30	239	1.6724484687050183	0.3780595255883169	1.5939062337080636	0.5507953188783454	0.4926080682663002	0.3939581817965158	0.00631441871325175	0.029692881276916758	29.187643023394543	26.72326973823591	0.08708586543798447	0.14001592993736267
GSE123902:LX676	GSE123902	PRIMARY_TUMOUR	38	85	0.3369324172013684	0.03684591721085941	1.6683006619936542	0.5789393416806763	0.40910487264347234	0.34208252019848207	0.0	0.013011762675117044	27.98142551107316	28.198261780371336	0.22498813271522522	0.09777907282114029
GSE123902:LX679	GSE123902	PRIMARY_TUMOUR	46	183	0.14892405109561008	0.09754652481098644	1.6669057691874711	0.9931555401486344	0.43389597036464733	0.3693949070804303	0.0	0.026192939509459532	30.58422760378245	31.745854080516867	0.16935940086841583	0.144455224275589
GSE123902:LX680	GSE123902	PRIMARY_TUMOUR	114	44	0.8573889071285202	0.3838650721379302	1.4689194984537988	0.7721306424249302	0.2713871485336324	0.3148136539564316	0.14097043852272786	0.11861485784704034	40.30572578991326	42.04040269907863	0.16280095279216766	0.13820385932922363
GSE123902:LX681	GSE123902	METASTASIS	44	71	1.7199822111393919	1.3752669035129144	1.9490274008024826	1.4398788649571332	0.4705611763640048	0.3819583893661768	0.021922859278592197	0.0	47.445291460379735	51.296281580889705	0.6720581650733948	0.5035870671272278
GSE123902:LX682	GSE123902	PRIMARY_TUMOUR	45	261	0.2581090846823321	0.026988887752609693	2.5315905652664323	0.5479122081136338	0.8676265740535072	0.5811971988250857	0.09084521267149183	0.051356012108682216	29.88036797606159	20.3184894531554	0.149374321103096	0.13799498975276947
GSE123902:LX684	GSE123902	PRIMARY_TUMOUR	28	51	2.3802242007638728	2.269779510211711	1.06198623261991	0.8883362759172527	0.29716355069762185	0.2713120854191318	0.06624518121991839	0.0	20.263160716241817	18.521671904250486	0.07489342987537384	0.05777556821703911
GSE131907:BRONCHO_11	GSE131907	mLN	78	50	0.551567601899688	0.42628982216119765	1.5348292148839204	1.2726958626508713	0.6162514511116642	0.3903713262442387	0.1618781722126863	0.0536060893535614	35.11350536453131	42.64196513134925	0.14423100650310516	0.14293064177036285
GSE131907:BRONCHO_58	GSE131907	tL/B	50	139	1.405871603488922	1.619019165393903	2.1346488935748735	1.5677218074135355	0.612057510578271	0.4982019683420463	0.01600156903266907	0.021563056239978874		52.7221056529276	0.16185541450977325	0.14350637793540955
GSE131907:EBUS_06	GSE131907	tL/B	149	96	0.05531649914063863	0.05180484444523851	1.4944745596889948	1.183593640414377	0.17150774837534238	0.10115318111322746	0.05682868505484306	0.01966398023068905		24.7042236563325	0.24325218796730042	0.19026358425617218
