leiden	n_cells	n_units	n_GSE131907	n_GSE123902	top_subtype	mean_CLDN4	mean_AT2	mean_barrier_keratin	mean_IFN	mean_sling	mean_dpt	is_start
0	415	12	342	73	Malignant cells	1.19600749877562	1.7930976193173822	0.9827136848047076	0.3611900660744894	27.457563705690642	0.08539244532585144	False
1	373	23	345	28	AT1	1.0508609990971338	0.6261707930838135	1.4003937533516455	0.3920089314906678		0.08307310938835144	False
2	2498	27	2372	126	AT2	1.0836125568474073	2.978363643435417	0.7714063824495697	0.22790879903445121	12.619766616795808	0.01109512709081173	True
3	686	16	594	92	tS1	1.4650502932141196	1.7185800889990246	1.1738548752199223	0.3942205434070532	20.233640693282904	0.0500381737947464	False
4	338	2	336	2	Malignant cells	2.1595813572054077	0.06405027700070093	1.642624028526702	0.24280624616652682	44.632690272903	0.8539037108421326	False
5	288	2	74	214	marker_epithelial	0.7127645654189918	0.06640515825711191	1.621866760465006	0.46729020188132975	31.108976317371035	0.16509397327899933	False
6	971	40	747	224	tS1	1.5051073144994729	1.6627812117154026	1.14160079910323	0.3443403405530345	25.154684795410503	0.08411320298910141	False
7	492	20	470	22	tS2	1.7830198318129633	0.6240650412164689	1.6685282377485784	0.4494183793251893	31.931158637111945	0.12312104552984238	False
8	629	14	576	53	Malignant cells	1.710937777033671	0.7126181896462065	1.961875291552077	0.5615966031347137	32.52466906299565	0.13601896166801453	False
9	165	1	0	165	marker_epithelial	1.8867028259869778	0.7993873063474893	1.4151512619446625	0.26962525589379616	43.467252557052795	0.16362300515174866	False
10	611	32	583	28	Ciliated	1.8458599094088066	0.21080998309968732	1.0433399375554517	0.40596216805369784		0.591973602771759	False
11	521	40	288	233	marker_epithelial	1.2041636263225908	0.5490404978008394	1.036967903146817	0.382856678532478	22.481427611446257	0.11392141878604889	False
12	326	39	138	188	marker_epithelial	0.4302779613462694	0.815828048332703	0.5647573890831086	0.39987676203816014		0.09576070308685303	False
13	1194	51	910	284	Malignant cells	0.45876307763046953	0.6683492701144973	1.2261350490256837	0.31962880885369294	51.18976725863753	0.13556642830371857	False
14	395	10	345	50	Malignant cells	0.005234955647323705	0.042132829172135906	0.07434132764045195	0.3442442914324563		0.2821884751319885	False
15	368	7	343	25	Malignant cells	1.054763508555682	0.49873298149474937	1.3717866409232544	0.6400516611279745	38.44119213435537	0.13703086972236633	False
16	385	8	359	26	tS2	1.9378643994981593	0.3305358125550019	1.6743822082264344	0.5508240969103184	33.38754984276325	0.1234443336725235	False
17	351	3	350	1	Malignant cells	1.6415491818193018	0.941862574356616	1.4947664579739204	0.20977579504585964	32.713183471197205	0.1539340764284134	False
18	333	1	333	0	Malignant cells	2.1783482394776903	0.404139167027878	2.0393493392535516	0.2951610754432599	33.333854383469756	0.38299229741096497	False
19	551	7	249	302	marker_epithelial	0.9503179957613538	1.852266896292973	1.6612032906744454	0.5514291169436655	29.742343214978433	0.16391398012638092	False
20	113	3	110	3	Malignant cells	1.193829127908808	0.3465402661039766	0.830781022674654	0.27465766980209116	37.06736899509837	0.14789336919784546	False
21	334	3	331	3	Malignant cells	2.2543408205052335	0.9006512125028286	1.612553980610447	0.3260135407825062	30.067263459112894	0.1527342051267624	False
22	346	4	341	5	Malignant cells	1.4001218518080738	0.0804469889578964	1.4200502205819523	0.14508699897313246		0.23231914639472961	False
23	303	1	303	0	Malignant cells	1.347249732159152	1.499834824451814	1.743837039175928	0.5417757527698742	30.0581810626451	0.31346771121025085	False
24	341	46	126	215	marker_epithelial	0.3474612595223961	0.5600197794150746	0.6229742133620314	0.43049579864871207		0.11569586396217346	False
25	73	17	18	55	marker_epithelial	0.20652634558612354	0.3995253868298988	0.5239064236209817	0.3280512904814043		0.05188322439789772	False
26	168	1	168	0	Malignant cells	1.3730165053691183	0.5128573180464584	2.240034912520694	0.9301602665568778	33.607178854479464	0.1820099949836731	False
27	351	2	348	3	Malignant cells	1.764494217019475	0.4314851900960645	1.0264103986174293	0.18450939755391182	41.56077125581744	0.42861244082450867	False
28	154	1	154	0	Malignant cells	1.737656259498039	0.5833296843792324	1.4999243476915929	0.5915251171604146	35.92758144921205	0.1445765346288681	False
29	338	3	330	8	Malignant cells	1.3962876610678328	0.8233376218546071	1.3638649565889638	0.4705716505578572	41.87660305183343	0.47325316071510315	False
30	240	1	0	240	marker_epithelial	1.2922830821325382	1.837475987826474	1.7319999370310042	0.4580286385679636	43.47201758318155	0.7084334492683411	False
