contrast	n	rho	p
GSE131907-only CLDN4 vs Slingshot PT	42	0.24058017988817768	0.12485138155896931
GSE123902-only CLDN4 vs Slingshot PT	13	-0.010989010989010988	0.971577682777073
GSE131907-only barrier vs Slingshot PT	42	0.6225589498419902	1.071328275688673e-05
GSE123902-only barrier vs Slingshot PT	13	0.24175824175824176	0.4261755195945088
GSE131907-only IFN vs Slingshot PT	42	0.3381411554979338	0.028506889380312064
GSE123902-only IFN vs Slingshot PT	13	-0.16483516483516483	0.590478988652005
GSE131907-only CLDN4 vs IFN	43	0.08320749018423436	0.5957851849424206
GSE123902-only CLDN4 vs IFN	13	-0.3516483516483516	0.2386997053420338
tLung-only CLDN4 vs Slingshot PT	11	0.7454545454545456	0.008454728885061567
nLung-only CLDN4 vs Slingshot PT	11	0.46363636363636374	0.15090149929248592
tumor-only (drop nLung) CLDN4 vs Slingshot PT	44	0.06708949964763918	0.6652341393201763
GSE131907-only CLDN4 vs DPT (companion)	43	0.1717003926306252	0.2709235840162519
GSE123902-only CLDN4 vs DPT (companion)	13	0.005494505494505494	0.9857869107140622
