sample,patient,x,y,n,rho,p
Lung12,Lung12,mean_cldn4_tumor,shannon,8,-0.5476190476190477,0.16002564253889653
Lung13,Lung13,mean_cldn4_tumor,shannon,8,-0.7142857142857144,0.046528232284167255
Lung5_Rep1,Lung5,mean_cldn4_tumor,shannon,7,0.03571428571428572,0.9394082054712856
Lung5_Rep2,Lung5,mean_cldn4_tumor,shannon,7,-0.3571428571428572,0.431611352038328
Lung5_Rep3,Lung5,mean_cldn4_tumor,shannon,7,0.0,1.0
Lung6,Lung6,mean_cldn4_tumor,shannon,8,-0.30952380952380953,0.4556448907375822
Lung9_Rep1,Lung9,mean_cldn4_tumor,shannon,8,-0.9047619047619048,0.002008275505429469
Lung9_Rep2,Lung9,mean_cldn4_tumor,shannon,8,-0.9761904761904763,3.314396026200098e-05
Lung12,Lung12,mean_cldn4_tumor,normalized_mixing,8,-0.7619047619047621,0.028004939153071805
Lung13,Lung13,mean_cldn4_tumor,normalized_mixing,8,-0.4285714285714286,0.2894032248467901
Lung5_Rep1,Lung5,mean_cldn4_tumor,normalized_mixing,7,0.10714285714285716,0.8191508555699912
Lung5_Rep2,Lung5,mean_cldn4_tumor,normalized_mixing,7,0.0,1.0
Lung5_Rep3,Lung5,mean_cldn4_tumor,normalized_mixing,7,0.25,0.5887244480896832
Lung6,Lung6,mean_cldn4_tumor,normalized_mixing,8,-0.19047619047619052,0.6514014957024814
Lung9_Rep1,Lung9,mean_cldn4_tumor,normalized_mixing,8,-0.7619047619047621,0.028004939153071805
Lung9_Rep2,Lung9,mean_cldn4_tumor,normalized_mixing,8,-1.0,0.0
Lung12,Lung12,mean_cldn4_tumor,frac_immune,8,-0.7857142857142858,0.020815127253525273
Lung13,Lung13,mean_cldn4_tumor,frac_immune,8,-0.4761904761904762,0.23293553465009798
Lung5_Rep1,Lung5,mean_cldn4_tumor,frac_immune,7,0.07142857142857144,0.879048193148154
Lung5_Rep2,Lung5,mean_cldn4_tumor,frac_immune,7,-0.03571428571428572,0.9394082054712856
Lung5_Rep3,Lung5,mean_cldn4_tumor,frac_immune,7,0.21428571428571433,0.6445115810207203
Lung6,Lung6,mean_cldn4_tumor,frac_immune,8,-0.3333333333333334,0.4197530864197532
Lung9_Rep1,Lung9,mean_cldn4_tumor,frac_immune,8,-0.7619047619047621,0.028004939153071805
Lung9_Rep2,Lung9,mean_cldn4_tumor,frac_immune,8,-0.9523809523809524,0.000260400024387251
Lung12,Lung12,mean_cldn4_tumor,mean_cytotoxic_50um,8,-0.7380952380952381,0.03655276105286081
Lung13,Lung13,mean_cldn4_tumor,mean_cytotoxic_50um,8,-0.04761904761904763,0.9108491685195836
Lung5_Rep1,Lung5,mean_cldn4_tumor,mean_cytotoxic_50um,7,0.07142857142857144,0.879048193148154
Lung5_Rep2,Lung5,mean_cldn4_tumor,mean_cytotoxic_50um,7,-0.10714285714285716,0.8191508555699912
Lung5_Rep3,Lung5,mean_cldn4_tumor,mean_cytotoxic_50um,7,0.21428571428571433,0.6445115810207203
Lung6,Lung6,mean_cldn4_tumor,mean_cytotoxic_50um,8,-0.2380952380952381,0.5701563208157683
Lung9_Rep1,Lung9,mean_cldn4_tumor,mean_cytotoxic_50um,8,-0.8095238095238096,0.014902667686230072
Lung9_Rep2,Lung9,mean_cldn4_tumor,mean_cytotoxic_50um,8,-1.0,0.0
Lung12,Lung12,mean_cldn4_tumor,mean_cytotoxic_100um,8,-0.7619047619047621,0.028004939153071805
Lung13,Lung13,mean_cldn4_tumor,mean_cytotoxic_100um,8,-0.04761904761904763,0.9108491685195836
Lung5_Rep1,Lung5,mean_cldn4_tumor,mean_cytotoxic_100um,7,0.07142857142857144,0.879048193148154
Lung5_Rep2,Lung5,mean_cldn4_tumor,mean_cytotoxic_100um,7,-0.07142857142857144,0.879048193148154
Lung5_Rep3,Lung5,mean_cldn4_tumor,mean_cytotoxic_100um,7,0.3571428571428572,0.431611352038328
Lung6,Lung6,mean_cldn4_tumor,mean_cytotoxic_100um,8,-0.19047619047619052,0.6514014957024814
Lung9_Rep1,Lung9,mean_cldn4_tumor,mean_cytotoxic_100um,8,-0.6428571428571429,0.08555889101267325
Lung9_Rep2,Lung9,mean_cldn4_tumor,mean_cytotoxic_100um,8,-1.0,0.0
Lung12,Lung12,mean_EPCAM_tumor,normalized_mixing,8,-0.9047619047619048,0.002008275505429469
Lung13,Lung13,mean_EPCAM_tumor,normalized_mixing,8,-0.4285714285714286,0.2894032248467901
Lung5_Rep1,Lung5,mean_EPCAM_tumor,normalized_mixing,7,-0.642857142857143,0.11939237342741109
Lung5_Rep2,Lung5,mean_EPCAM_tumor,normalized_mixing,7,-0.6785714285714287,0.09375025395983135
Lung5_Rep3,Lung5,mean_EPCAM_tumor,normalized_mixing,7,-0.39285714285714296,0.3833168704269727
Lung6,Lung6,mean_EPCAM_tumor,normalized_mixing,8,-0.9047619047619048,0.002008275505429469
Lung9_Rep1,Lung9,mean_EPCAM_tumor,normalized_mixing,8,-0.7380952380952381,0.03655276105286081
Lung9_Rep2,Lung9,mean_EPCAM_tumor,normalized_mixing,8,-0.9523809523809524,0.000260400024387251
Lung12,Lung12,mean_EPCAM_tumor,shannon,8,-0.3333333333333334,0.4197530864197532
Lung13,Lung13,mean_EPCAM_tumor,shannon,8,-0.7142857142857144,0.046528232284167255
Lung5_Rep1,Lung5,mean_EPCAM_tumor,shannon,7,-0.4642857142857144,0.29393410760025196
Lung5_Rep2,Lung5,mean_EPCAM_tumor,shannon,7,-0.5357142857142858,0.21521745567801298
Lung5_Rep3,Lung5,mean_EPCAM_tumor,shannon,7,-0.5714285714285715,0.18020198891152767
Lung6,Lung6,mean_EPCAM_tumor,shannon,8,-0.8571428571428572,0.0065300172547152905
Lung9_Rep1,Lung9,mean_EPCAM_tumor,shannon,8,-0.880952380952381,0.0038503204637324005
