sample,patient,niche,n_cells,n_tumor,n_immune,n_cytotoxic,shannon,shannon_evenness,normalized_mixing,mean_cldn4_tumor,mean_cytotoxic_50um,mean_cytotoxic_100um,frac_immune
Lung5_Rep1,Lung5,immune,92,2,63,11,1.1908384759504256,0.5954192379752128,1.078129812981298,0.0,3.0,6.5,0.6847826086956522
Lung5_Rep1,Lung5,lymphoid structure,17963,41,14408,1134,0.8570461182494586,0.4285230591247293,0.5960392462010429,3.5853658536585367,2.2439024390243905,10.268292682926829,0.8020931915604298
Lung5_Rep1,Lung5,macrophages,40,3,37,0,0.38431154412649704,0.19215577206324852,1.6770908201931305,0.6666666666666666,0.3333333333333333,3.3333333333333335,0.925
Lung5_Rep1,Lung5,myeloid-enriched stroma,18886,743,14033,651,1.180496874498278,0.590248437249139,1.07788797139023,4.041722745625841,0.8640646029609691,4.363391655450875,0.7430371703907657
Lung5_Rep1,Lung5,neutrophils,1798,463,1073,18,1.4919349019638641,0.7459674509819321,0.7051698596785524,2.3779697624190064,0.3002159827213823,1.6457883369330453,0.5967741935483871
Lung5_Rep1,Lung5,plasmablast-enriched stroma,7508,215,5056,184,1.222243729028219,0.6111218645141095,0.5273642728613946,2.297674418604651,0.5162790697674419,2.6511627906976742,0.6734150239744273
Lung5_Rep1,Lung5,stroma,26171,279,15843,1487,1.2444437573868892,0.6222218786934446,0.660789240214344,2.910394265232975,1.2903225806451613,6.064516129032258,0.6053647166711246
Lung5_Rep1,Lung5,tumor interior,15480,12705,1237,55,0.904055926696755,0.4520279633483775,0.05812821108950721,1.9418339236521054,0.11987406532861078,0.7417552144824872,0.07990956072351421
Lung5_Rep1,Lung5,tumor-stroma boundary,10064,4149,2790,148,1.7334955720501148,0.8667477860250574,0.14543102402149913,2.297903109182936,0.2928416485900217,2.250421788382743,0.27722575516693165
Lung5_Rep2,Lung5,immune,223,25,127,8,1.5702404394690497,0.7851202197345248,0.5004499402504285,1.6,0.8,6.84,0.5695067264573991
Lung5_Rep2,Lung5,lymphoid structure,16409,66,13325,824,0.8325743029501474,0.4162871514750737,0.47917660524820077,2.9545454545454546,1.5303030303030303,8.090909090909092,0.812054360411969
Lung5_Rep2,Lung5,myeloid-enriched stroma,21982,802,16973,838,1.0916005525717467,0.5458002762858734,1.144221102825624,3.43142144638404,1.0773067331670823,5.129675810473816,0.7721317441543081
Lung5_Rep2,Lung5,neutrophils,2695,756,1617,30,1.4264421667102616,0.7132210833551308,0.611633455966339,2.294973544973545,0.2698412698412698,1.3465608465608465,0.6
Lung5_Rep2,Lung5,plasmablast-enriched stroma,10227,303,7236,274,1.1528394071078027,0.5764197035539014,0.47886379275429486,2.0132013201320134,0.5610561056105611,3.174917491749175,0.7075388677031388
