k_domains,metric,sections_lt0,wilcoxon_p_less,donors_lt0,sign_p_one,median_section_delta
4,shannon,8/8,0.00390625,5/5,0.03125,-0.7198826014591146
4,normalized_mixing,8/8,0.00390625,5/5,0.03125,-0.6861789006157464
4,mean_cytotoxic_50um,8/8,0.00390625,5/5,0.03125,-0.5845529713641522
6,shannon,8/8,0.00390625,5/5,0.03125,-0.5914020497523295
6,normalized_mixing,7/8,0.0078125,5/5,0.03125,-0.2758960487676484
6,mean_cytotoxic_50um,7/8,0.0078125,5/5,0.03125,-0.1643462590981018
8,shannon,8/8,0.00390625,5/5,0.03125,-0.5461080490664458
8,normalized_mixing,8/8,0.00390625,5/5,0.03125,-0.438967435594367
8,mean_cytotoxic_50um,8/8,0.00390625,5/5,0.03125,-0.42176739483979586
10,shannon,8/8,0.00390625,5/5,0.03125,-0.5993021273430118
10,normalized_mixing,8/8,0.00390625,5/5,0.03125,-0.4410075887406384
10,mean_cytotoxic_50um,7/8,0.0078125,4/5,0.1875,-0.41152183557062333
12,shannon,7/8,0.0390625,5/5,0.03125,-0.5000538995725314
12,normalized_mixing,7/8,0.07421875,4/5,0.1875,-0.16901127107567665
12,mean_cytotoxic_50um,6/8,0.07421875,3/5,0.5,-0.10850108229912704
