cohort,histology,n_DCB,n_NDB
GSE190265,non-squamous,4,10
GSE190265,squamous,5,6
GSE190265,unknown,5,13
GSE190266,non-squamous,15,39
GSE190266,squamous,1,12
GSE190266,unknown,1,1
