cohort,gene,n_nonsquamous,n_squamous,median_log2_nonsquamous,median_log2_squamous,wilcoxon_p
GSE190265,TACSTD2,14,11,6.0238624457555785,6.544106672361072,0.31116503232270365
GSE190265,CLDN4,14,11,4.2722304264094575,3.9573586733125783,0.11870568761285194
GSE190266,CLDN4,54,13,4.794436709949871,4.386976446926393,0.35259741139532363
