cohort,gene,n_DCB,n_NDB,median_log2_DCB,median_log2_NDB,AUC_DCB_gt_NDB,wilcoxon_p
GSE190265,TACSTD2,4,10,6.245222833309276,5.939187735666936,0.55,0.8391608391608392
GSE190265,CLDN4,4,10,4.97820491819529,4.049403663615934,0.85,0.05394605394605395
GSE190266,CLDN4,15,39,6.038814134355983,4.657965775149333,0.6632478632478632,0.06593465680679524
