nhood	n_samples_present	n_cells	spearman_rho	p	testable	BH_FDR	SpatialFDR
0	10	31	-0.2392080280190373	0.5056601006121272	True	0.9631014007752107	0.9728354164272432
1	3	31			False		
2	3	31			False		
3	10	31	0.10037317226797879	0.7826324269419429	True	0.9927628994315485	0.9955163554894043
4	1	31			False		
5	4	31			False		
6	2	31			False		
7	5	31	-0.30779350562554625	0.614384002810333	True	0.9692549895505325	0.9810773645050384
8	9	31	0.06120602396848353	0.8757007084046127	True	0.9928238450841016	0.9955163554894043
9	7	31	0.5345224838248489	0.2164372292696857	True	0.9272701972684256	0.9269780030370958
10	4	31			False		
11	7	31	0.18018749253911182	0.6990457740939313	True	0.9896761608116419	0.9955163554894043
12	10	31	-0.4022244544834535	0.24919707483383402	True	0.9272701972684256	0.9281710844366112
13	2	31			False		
14	13	31	0.0987174799750921	0.748322791791846	True	0.9916391040430012	0.9955163554894043
15	1	31			False		
16	6	31	-0.15179418517972906	0.7740575031656568	True	0.9927628994315485	0.9955163554894043
17	12	31	0.011241870149220439	0.9723391214642235	True	0.9957295558555865	0.9980597287652695
18	7	31	-0.9258200997725515	0.002764960301304951	True	0.3231475187094469	0.3142268685110868
19	1	31			False		
20	14	31	-0.5107531410750976	0.06199190681137439	True	0.7752471042815695	0.7785482782562949
21	11	31	-0.019262853213235488	0.9551714523504784	True	0.9928238450841016	0.9955163554894043
22	10	31	-0.1745572096355137	0.6295798042228824	True	0.9726834274747156	0.984471310003392
23	2	31			False		
24	8	31	0.37033684707312775	0.36649549114509994	True	0.951285469392764	0.9540907020308955
25	6	31	-0.21251185925162072	0.686030866008896	True	0.9839592189019345	0.9955163554894043
26	4	31			False		
27	1	31			False		
28	6	31	0.21251185925162072	0.686030866008896	True	0.9839592189019345	0.9955163554894043
29	11	31	0.33127067443445657	0.31966592322481535	True	0.9296550511156549	0.9294033275713459
30	4	31			False		
31	14	31	-0.07989722262107211	0.7859992829612222	True	0.9927628994315485	0.9955163554894043
32	11	31	-0.2088931871468374	0.5376146592620175	True	0.9660466021007941	0.9783828016351601
33	11	31	-0.09103526597454425	0.7900873971578863	True	0.9927628994315485	0.9955163554894043
34	7	31	0.10811249552346709	0.8175332656241182	True	0.9928145386139046	0.9955163554894043
35	12	31	-0.22927440203910207	0.47349175698291457	True	0.9631014007752107	0.9728354164272432
36	10	31	0.3642599950668461	0.30075634885227664	True	0.9272701972684256	0.9281710844366112
37	9	31	0.2079309840251016	0.5913729056786211	True	0.9669204338819088	0.9803045152501723
38	6	31	-0.030358837035945815	0.9544757346935634	True	0.9928238450841016	0.9955163554894043
39	11	31	0.25588641128019185	0.4475702108735309	True	0.9616401426968554	0.9697179319091679
40	7	31	-0.07881104062391008	0.8666213432418689	True	0.9928238450841016	0.9955163554894043
41	9	31	-0.31037611591959413	0.4162911190557081	True	0.9616401426968554	0.9697179319091679
42	8	31	0.554257096618662	0.15398834575899528	True	0.9272701972684256	0.9269780030370958
43	4	31			False		
44	1	31			False		
45	11	31	0.6952385514027852	0.017545370118722814	True	0.6458138536475035	0.6280111863043587
46	2	31			False		
