nhood	n_samples_present	n_samples_A	n_samples_B	n_cells	mean_prop_A	mean_prop_B	logFC_B_minus_A	t	p	testable	BH_FDR	SpatialFDR
0	10	4	6	31	0.0005555555555555556	0.0004918146120236712	-0.17581322412350708	-0.15349469629981058	0.8788395534941503	True	0.9537653824375091	0.9546103290405636
1	3	0	3	31	0.0	0.0012301587301587302				False		
2	3	1	2	31	3.968253968253968e-05	0.0011904761904761904				False		
3	10	4	6	31	0.0005952380952380953	0.0005711796913887507	-0.05952115655812662	-0.046868345881709975	0.9629003987031682	True	0.9825228231308893	0.9829391464122806
4	1	1	0	31	0.0012301587301587302	0.0				False		
5	4	0	4	31	0.0	0.0012301587301587302				False		
6	2	1	1	31	0.0010714285714285715	0.00015873015873015873				False		
7	5	2	3	31	0.00056998556998557	0.0006349206349206349	0.15564828187009638	0.09297255248501583	0.9264206515727593	True	0.9752297681937429	0.9767208873887995
8	9	1	8	31	3.968253968253968e-05	0.001150793650793651				False		
9	7	2	5	31	7.936507936507937e-05	0.0010317460317460316	3.7002719329935694	1.1461103721617472	0.2651627936901145	True	0.7983730503451645	0.8066631861168209
10	4	1	3	31	3.968253968253968e-05	0.00015873015873015873				False		
11	7	3	4	31	0.00012282115838601194	0.0010714285714285715	3.124800660223004	1.231198956700107	0.23231719136284668	True	0.7983730503451645	0.8066631861168209
12	10	6	4	31	0.000959761995326849	0.0002380952380952381	-2.0110923591268577	-1.1879452014287295	0.24778941832997456	True	0.7983730503451645	0.8066631861168209
13	2	2	0	31	0.0012869278559655129	0.0				False		
14	13	8	5	31	0.0005198125909422981	0.0004761904761904762	-0.12645026990578856	-0.1299076759918442	0.8974168094482674	True	0.9633831292851998	0.9641568344927373
15	1	1	0	31	0.0012301587301587302	0.0				False		
16	6	1	5	31	0.00035714285714285714	0.000873015873015873				False		
17	12	6	6	31	0.0004761904761904762	0.000753968253968254	0.6629538510099096	0.5674018060080838	0.5749563063961296	True	0.8265261239700507	0.8312913443066586
18	7	5	2	31	0.0011507936507936507	7.936507936507937e-05	-3.857811763471526	-1.2301992020852937	0.2327861727262825	True	0.7983730503451645	0.8066631861168209
19	1	0	1	31	0.0	0.0012301587301587302				False		
20	14	4	10	31	0.0004761904761904762	0.0005555555555555556	0.22238809333572007	0.2405974233356921	0.8114718804240554	True	0.9204559679243735	0.9224192491706502
21	11	7	4	31	0.0006349206349206349	0.0004761904761904762	-0.41502992526905125	-0.3774592852499078	0.7078926972818695	True	0.8760605028829502	0.8809675919088794
22	10	4	6	31	0.00020218623775109133	0.0009523809523809523	2.2357977618326856	1.1563977539610935	0.2605301053127055	True	0.7983730503451645	0.8066631861168209
23	2	0	2	31	0.0	0.0012301587301587302				False		
24	8	4	4	31	0.0006746031746031747	0.0004761904761904762	-0.5024914299252998	-0.32720999550184426	0.745968123956798	True	0.8902675245770136	0.8933469598522633
25	6	3	3	31	0.0008333333333333333	0.0001984126984126984	-2.070333930130232	-0.8758744934400793	0.3908814690350124	True	0.7983730503451645	0.8066631861168209
26	4	0	4	31	0.0	0.00015873015873015873				False		
27	1	0	1	31	0.0	0.0012301587301587302				False		
28	6	2	4	31	0.0007539682539682539	0.0004761904761904762	-0.6629538510099096	-0.3595658478562598	0.7219995300765967	True	0.8803196475061731	0.8848677566055134
29	11	7	4	31	0.0003571428571428572	0.0008333333333333333	1.2223693386774475	0.7360439676728757	0.4696601276113604	True	0.8025359228129376	0.8124282641846133
30	4	2	2	31	8.313861870347226e-05	0.0011507936507936507	3.7908055956456703	0.9607125234915005	0.34810836498012254	True	0.7983730503451645	0.8066631861168209
31	14	8	6	31	0.0006026191381839917	0.0006349206349206349	0.07532855706867814	0.07174462064392566	0.9432755035625969	True	0.9781570354175305	0.9784031220557285
32	11	4	7	31	0.0002777777777777778	0.00031746031746031746	0.192638586033814	0.22032632461961582	0.8268324197728735	True	0.9273752420172549	0.9290462841030458
33	11	6	5	31	0.0007936507936507937	0.0003968253968253968	-0.9999818223860419	-0.9053574604251853	0.37310169758029266	True	0.7983730503451645	0.8066631861168209
34	7	4	3	31	0.0004117535184480791	0.0008333333333333333	1.017094986000723	0.6196044621083034	0.5412641270202144	True	0.8236586186498421	0.8312913443066586
35	12	7	5	31	0.0005591630591630592	0.0006349206349206349	0.1833041348897666	0.17407825404046745	0.8629305421398786	True	0.9446865851744741	0.9456332117362938
36	10	5	5	31	0.0004983677524661131	0.000753968253968254	0.5972832462491375	0.5926932250664018	0.5567251977879429	True	0.8265261239700507	0.8312913443066586
37	9	5	4	31	0.0002380952380952381	0.0009523809523809524	1.999954556299107	1.1561287399620928	0.26054049848435634	True	0.7983730503451645	0.8066631861168209
38	6	0	6	31	0.0	0.001111111111111111				False		
39	11	4	7	31	0.0002380952380952381	0.0008730158730158729	1.8744250513181235	1.4545454545454541	0.1588127191173811	True	0.7983730503451645	0.8066631861168209
40	7	2	5	31	0.00011904761904761905	0.0010317460317460316	3.1153700191025226	1.2462509839408653	0.2266780664262723	True	0.7983730503451645	0.8066631861168209
41	9	3	6	31	0.0009126984126984126	0.0003330844532935125	-1.4542226987867934	-0.7877843848934032	0.43943587220246144	True	0.8024915358468517	0.8112505340664223
42	8	5	3	31	0.00048767712993654416	0.0007142857142857144	0.5505655651525849	0.47573662386009846	0.6376380380728395	True	0.8491341690708891	0.8536336208034314
43	4	1	3	31	0.0006349206349206349	0.0005952380952380953				False		
44	1	0	1	31	0.0	0.0012301587301587302				False		
45	11	4	7	31	0.0001984126984126984	0.0006746031746031747	1.7654834220390594	1.7448201807069157	0.09292110210170768	True	0.7983730503451645	0.8066631861168209
46	2	2	0	31	0.0012301587301587302	0.0				False		
47	9	4	5	31	0.0005158730158730159	0.0006349206349206349	0.29955503830943186	0.24853724437073	0.8049955640066042	True	0.9185597781366731	0.9207423758974915
48	2	0	2	31	0.0	0.0012301587301587302				False		
49	2	0	2	31	0.0	0.0012301587301587302				False		
50	12	4	8	31	0.0004365079365079365	0.000753968253968254	0.7884819789182487	0.8672118566015559	0.39116492681425835	True	0.7983730503451645	0.8066631861168209
51	8	5	3	31	0.000487012987012987	0.000753968253968254	0.6305330465612382	0.38796932386335	0.7011064305145945	True	0.8714106521112248	0.8759981964315794
52	6	3	3	31	0.0007651228362525435	0.0004761904761904762	-0.6841411754677029	-0.42258721327567306	0.6756212290449154	True	0.8604031426795374	0.8660505760125465
53	2	2	0	31	0.0012834863880888986	0.0				False		
54	2	2	0	31	0.0012834863880888986	0.0				False		
55	6	2	4	31	0.00011904761904761905	0.0007142857142857144	2.5848615170164546	1.364200199246001	0.18651870205678875	True	0.7983730503451645	0.8066631861168209
56	15	8	7	31	0.0004401154401154401	0.000753968253968254	0.7766081495322332	0.9713427658230699	0.3391469326573552	True	0.7983730503451645	0.8066631861168209
57	9	5	4	31	0.0006746031746031747	0.0003571428571428572	-0.9175188305862747	-0.7952427724875442	0.4315081687420521	True	0.8024915358468517	0.8112505340664223
58	2	1	1	31	3.968253968253968e-05	7.936507936507937e-05				False		
59	3	0	3	31	0.0	0.00011904761904761905				False		
60	1	0	1	31	0.0	0.0012301587301587302				False		
