sample	n_cells_matrix	n_cells_assigned
GSM3516662_MSK_LX653_PRIMARY_TUMOUR_dense.csv.gz	392	249
GSM3516663_MSK_LX661_PRIMARY_TUMOUR_dense.csv.gz	4566	3232
GSM3516664_MSK_LX666_METASTASIS_dense.csv.gz	1316	1106
GSM3516665_MSK_LX675_PRIMARY_TUMOUR_dense.csv.gz	3435	2709
GSM3516667_MSK_LX676_PRIMARY_TUMOUR_dense.csv.gz	4014	2559
GSM3516668_MSK_LX255B_METASTASIS_dense.csv.gz	3886	1697
GSM3516669_MSK_LX679_PRIMARY_TUMOUR_dense.csv.gz	2017	1268
GSM3516670_MSK_LX680_PRIMARY_TUMOUR_dense.csv.gz	941	667
GSM3516671_MSK_LX681_METASTASIS_dense.csv.gz	1630	1145
GSM3516672_MSK_LX682_PRIMARY_TUMOUR_dense.csv.gz	4092	3410
GSM3516674_MSK_LX684_PRIMARY_TUMOUR_dense.csv.gz	378	330
GSM3516677_MSK_LX699_METASTASIS_dense.csv.gz	2671	2241
GSM3516678_MSK_LX701_METASTASIS_dense.csv.gz	788	527
