dataset	class	n_cells
GSE123902	malignant	991
GSE123902	cd8	4441
GSE123902	cd4	1812
GSE123902	nk	4585
GSE123902	b	2278
GSE123902	myeloid	5727
GSE123902	endothelial	277
GSE123902	fibroblast	1029
GSE131907	malignant	6352
GSE131907	cd8	3134
GSE131907	cd4	7307
GSE131907	nk	500
GSE131907	b	5312
GSE131907	myeloid	8794
GSE131907	endothelial	655
GSE131907	fibroblast	1718
GSE205335	malignant	28512
GSE205335	cd8	13452
GSE205335	cd4	21433
GSE205335	nk	3880
GSE205335	b	9333
GSE205335	myeloid	10511
GSE205335	endothelial	737
GSE205335	fibroblast	2688
GSE189357	malignant	4644
GSE189357	cd8	12564
GSE189357	cd4	8513
GSE189357	nk	22424
GSE189357	b	13829
GSE189357	myeloid	31483
GSE189357	endothelial	2545
GSE189357	fibroblast	2865
