sample	n_cells_matrix	n_cells_assigned
TD1	15216	11295
TD2	18064	12494
TD3	12658	11407
TD4	11756	10123
TD5	19079	15226
TD6	8999	8212
TD7	3507	3246
TD8	15521	12346
TD9	17573	14518
