sample_id	title	day	treatment
GSM2029389	can_Ad_VEGF_Normal_095	Normal	Normal
GSM2029390	can_Ad_VEGF_Normal_096	Normal	Normal
GSM2029391	can_Ad_VEGF_Normal_097	Normal	Normal
GSM2029392	can_Ad_VEGF_Normal_098	Normal	Normal
GSM2029393	can_Ad_VEGF_Normal_099	Normal	Normal
GSM2029394	can_Ad_VEGF_Normal_100	Normal	Normal
GSM2029395	can_Ad_VEGF_Normal_101	Normal	Normal
GSM2029396	can_Ad_VEGF_Normal_102	Normal	Normal
GSM2029397	can_Ad_VEGF_5_Day_DC101_017	5_Day	DC101
GSM2029398	can_Ad_VEGF_5_Day_DC101_018	5_Day	DC101
GSM2029399	can_Ad_VEGF_5_Day_DC101_019	5_Day	DC101
GSM2029400	can_Ad_VEGF_5_Day_DC101_020	5_Day	DC101
GSM2029401	can_Ad_VEGF_5_Day_DC101_021	5_Day	DC101
GSM2029402	can_Ad_VEGF_5_Day_DC101_022	5_Day	DC101
GSM2029403	can_Ad_VEGF_5_Day_DC101_023	5_Day	DC101
GSM2029404	can_Ad_VEGF_5_Day_DC101_024	5_Day	DC101
GSM2029405	can_Ad_VEGF_5_Day_G6_009	5_Day	G6
GSM2029406	can_Ad_VEGF_5_Day_G6_010	5_Day	G6
GSM2029407	can_Ad_VEGF_5_Day_G6_011	5_Day	G6
GSM2029408	can_Ad_VEGF_5_Day_G6_012	5_Day	G6
GSM2029409	can_Ad_VEGF_5_Day_G6_013	5_Day	G6
GSM2029410	can_Ad_VEGF_5_Day_G6_014	5_Day	G6
GSM2029411	can_Ad_VEGF_5_Day_G6_015	5_Day	G6
GSM2029412	can_Ad_VEGF_5_Day_G6_016	5_Day	G6
GSM2029413	can_Ad_VEGF_5_Day_NT_001	5_Day	NT
GSM2029414	can_Ad_VEGF_5_Day_NT_002	5_Day	NT
GSM2029415	can_Ad_VEGF_5_Day_NT_003	5_Day	NT
GSM2029416	can_Ad_VEGF_5_Day_NT_004	5_Day	NT
GSM2029417	can_Ad_VEGF_5_Day_NT_005	5_Day	NT
GSM2029418	can_Ad_VEGF_5_Day_NT_006	5_Day	NT
GSM2029419	can_Ad_VEGF_5_Day_NT_007	5_Day	NT
GSM2029420	can_Ad_VEGF_5_Day_NT_008	5_Day	NT
GSM2029421	can_Ad_VEGF_20_Day_DC101_065	20_Day	DC101
GSM2029422	can_Ad_VEGF_20_Day_DC101_066	20_Day	DC101
GSM2029423	can_Ad_VEGF_20_Day_DC101_067	20_Day	DC101
GSM2029424	can_Ad_VEGF_20_Day_DC101_068	20_Day	DC101
GSM2029425	can_Ad_VEGF_20_Day_DC101_069	20_Day	DC101
GSM2029426	can_Ad_VEGF_20_Day_DC101_070	20_Day	DC101
GSM2029427	can_Ad_VEGF_20_Day_DC101_071	20_Day	DC101
GSM2029428	can_Ad_VEGF_20_Day_DC101_072	20_Day	DC101
GSM2029429	can_Ad_VEGF_20_Day_G6_057	20_Day	G6
GSM2029430	can_Ad_VEGF_20_Day_G6_058	20_Day	G6
GSM2029431	can_Ad_VEGF_20_Day_G6_059	20_Day	G6
GSM2029432	can_Ad_VEGF_20_Day_G6_060	20_Day	G6
GSM2029433	can_Ad_VEGF_20_Day_G6_061	20_Day	G6
GSM2029434	can_Ad_VEGF_20_Day_G6_062	20_Day	G6
GSM2029435	can_Ad_VEGF_20_Day_G6_063	20_Day	G6
GSM2029436	can_Ad_VEGF_20_Day_G6_064	20_Day	G6
GSM2029437	can_Ad_VEGF_20_Day_NT_049	20_Day	NT
GSM2029438	can_Ad_VEGF_20_Day_NT_050	20_Day	NT
GSM2029439	can_Ad_VEGF_20_Day_NT_051	20_Day	NT
GSM2029440	can_Ad_VEGF_20_Day_NT_052	20_Day	NT
GSM2029441	can_Ad_VEGF_20_Day_NT_053	20_Day	NT
GSM2029442	can_Ad_VEGF_20_Day_NT_054	20_Day	NT
GSM2029443	can_Ad_VEGF_20_Day_NT_055	20_Day	NT
GSM2029444	can_Ad_VEGF_20_Day_NT_056	20_Day	NT
