gsm	title	group
GSM5729874	Mouse 3: No T cells	No T cells
GSM5729875	Mouse 4: No T cells	No T cells
GSM5729876	Mouse 5: No T cells	No T cells
GSM5729877	Mouse 6: T cells with isotype	T cells with isotype
GSM5729878	Mouse 7: T cells with isotype	T cells with isotype
GSM5729879	Mouse 8: T cells with isotype	T cells with isotype
GSM5729880	Mouse 9: T cells with isotype	T cells with isotype
GSM5729881	Mouse 10: T cells with isotype	T cells with isotype
GSM5729882	Mouse 6: T cells with MEDI4736	T cells with MEDI4736
GSM5729883	Mouse 7: T cells with MEDI4736	T cells with MEDI4736
GSM5729884	Mouse 8: T cells with MEDI4736	T cells with MEDI4736
GSM5729885	Mouse 9: T cells with MEDI4736	T cells with MEDI4736
GSM5729886	Mouse 10: T cells with MEDI4736	T cells with MEDI4736
GSM5729887	Mouse 6: T cells with MEDI9447	T cells with MEDI9447
GSM5729888	Mouse 7: T cells with MEDI9447	T cells with MEDI9447
GSM5729889	Mouse 8: T cells with MEDI9447	T cells with MEDI9447
GSM5729890	Mouse 9: T cells with MEDI9447	T cells with MEDI9447
GSM5729891	Mouse 10: T cells with MEDI9447	T cells with MEDI9447
GSM5729892	Mouse 6: T cells with combo	T cells with combo
GSM5729893	Mouse 7: T cells with combo	T cells with combo
GSM5729894	Mouse 8: T cells with combo	T cells with combo
GSM5729895	Mouse 9: T cells with combo	T cells with combo
GSM5729896	Mouse 10: T cells with combo	T cells with combo
