cohort	subset	outcome	n	rho	p_value	partial_rho	partial_p_value	adjustment
GSE190731_xenograft	T-cell-engrafted xenografts excluding no-T-cell controls	CD8_score	20	0.26917293	0.25113145	0.059006492	0.80482427	epithelial-expression proxy
GSE190731_xenograft	T-cell-engrafted xenografts excluding no-T-cell controls	NK_score	20	0.10526316	0.65872777	-0.12950463	0.58632388	epithelial-expression proxy
GSE190731_xenograft	T-cell-engrafted xenografts excluding no-T-cell controls	pan_immune_score	20	0.0045112782	0.98494005	-0.21606773	0.36022349	epithelial-expression proxy
