score	accession	organism	n_samples	gdstype	pubdate	tags	title	url
14	GSE180963	Mus musculus	2	Expression profiling by high throughput sequencing	2022/07/16	KL;lung;scRNA;immune-cold/resistant	Single cell RNA sequencing of tumor sections from GEMM harboring KrasG12D/+ or  KrasG12D/+Lkb1fl/fl(KL) mutation.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE180963
12	GSE280232	Homo sapiens	42	Expression profiling by high throughput sequencing; Other	2024/10/24	KL;lung;scRNA;immune/TME	Divergent clinical and immunologic outcomes based on STK11 co-mutation status in resectable KRAS-mutant lung cancers following neoadjuvant immune checkpoint blockade	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE280232
12	GSE274477	Mus musculus	4	Expression profiling by high throughput sequencing	2024/08/12	KL;lung;scRNA;immune/TME	Type I interferon signaling pathway enhances immune-checkpoint inhibition in KRAS mutant lung tumors [scRNA-seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274477
12	GSE274352	Mus musculus	16	Expression profiling by high throughput sequencing	2024/08/12	KL;lung;scRNA;immune/TME	Type I interferon signaling pathway enhances immune-checkpoint inhibition in KRAS mutant lung tumors [cell lines]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274352
12	GSE274351	Mus musculus	18	Expression profiling by high throughput sequencing	2024/08/12	KL;lung;scRNA;immune/TME	Type I interferon signaling pathway enhances immune-checkpoint inhibition in KRAS mutant lung tumors [LCM]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274351
12	GSE302247	Homo sapiens	4	Expression profiling by high throughput sequencing	2025/11/18	KL;lung;immune-cold/resistant	Dipeptidyl peptidase 4 restoration facilitates anti-tumor immunity in KRAS–LKB1–mutant lung cancer	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302247
12	GSE244452	Mus musculus	6	Expression profiling by high throughput sequencing	2024/02/07	KL;lung;immune-cold/resistant	Targeting focal adhesion kinase boosts immune response in KRAS/LKB1 co-mutated lung adenocarcinoma via remodeling the tumor microenvironment	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE244452
12	GSE175479	Mus musculus	12	Expression profiling by high throughput sequencing	2022/01/26	KL;lung;immune-cold/resistant	Inactivation of the LKB1 substrate AMPK accelerates lung adenocarcinoma and leads to immune evasion.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE175479
12	GSE194166	Mus musculus	10	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	2022/01/24	KL;lung;immune-cold/resistant	AXL targeting restores PD-1 blockade sensitivity of STK11/LKB1 mutant NSCLC through expansion of TCF1+ CD8 T cells	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE194166
11	GSE179502	Mus musculus	6	Expression profiling by high throughput sequencing	2021/12/23	KL;lung;scRNA	LKB1 drives stasis and C/EBP-mediated reprogramming to an alveolar type II fate in lung cancer [Sorted scRNA-seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179502
11	GSE179501	Mus musculus	4	Expression profiling by high throughput sequencing	2021/12/23	KL;lung;scRNA	LKB1 drives stasis and C/EBP-mediated reprogramming to an alveolar type II fate in lung cancer [scRNA-seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179501
10	GSE277929	Mus musculus	35	Expression profiling by high throughput sequencing	2024/10/10	KL;lung;immune/TME	Transcriptional repression by HDAC3 mediates T cell exclusion from Kras mutant lung tumors [KL GEMM Treated Primary Tumors RNA-seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE277929
10	GSE277928	Mus musculus	9	Expression profiling by high throughput sequencing	2024/10/10	KL;lung;immune/TME	Transcriptional repression by HDAC3 mediates T cell exclusion from Kras mutant lung tumors [KL LJE1 cells p65 KO RNA-seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE277928
10	GSE193895	Mus musculus	35	Expression profiling by high throughput sequencing	2022/05/02	KL;lung;immune/TME	KrasG12D/+ co-mutation alters the transcriptional landscape of lung adenocarcinoma	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193895
10	GSE249057	Homo sapiens	5	Expression profiling by high throughput sequencing	2024/08/21	lung;scRNA;immune/TME;TROP2	Identification and characterization of metastasis-initiating cells in esophageal squamous cell carcinoma in a pulmonary metastasis mouse model [scRNA-Seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE249057
10	GSE249056	Homo sapiens	2	Expression profiling by high throughput sequencing	2024/08/21	lung;scRNA;immune/TME;TROP2	Identification and characterization of metastasis-initiating cells in esophageal squamous cell carcinoma in a pulmonary metastasis mouse model [bulk RNA-Seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE249056
9	GSE306343	Mus musculus	9	Expression profiling by high throughput sequencing	2026/02/02	KL;lung	Loss of PIK3CA allows in vitro growth but not in vivo progression of KRAS mutant lung adenocarcinoma in a syngeneic orthotopic implantation model	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE306343
9	GSE279105	Homo sapiens	12	Expression profiling by high throughput sequencing	2026/01/01	KL;lung	LKB1 Loss Sensitizes Lung Cancer Cells to PRMT5 inhibition by upregulating NNMT	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279105
9	GSE295685	Mus musculus	4	Expression profiling by high throughput sequencing	2025/08/16	LKB1;lung;immune-cold/resistant	TNG260, a novel small-molecule CoREST inhibitor, sensitizes STK11-mutant tumors to anti-PD-1 immunotherapy	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE295685
9	GSE295032	Homo sapiens	234	Expression profiling by high throughput sequencing	2025/06/02	KL;lung	Molecular Determinants of Sotorasib Clinical Efficacy in KRAS G12C–Mutated Non–Small-Cell Lung Cancer	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE295032
9	GSE262660	Homo sapiens	36	Expression profiling by high throughput sequencing	2025/02/07	KL;lung	SCD1-dependant activation of GSK3β-NRF2-SLC7A11 pathway regulates lipid metabolism and suppresses ferroptosis in KRAS/STK11/KEAP1 co-mutant lung adenocarcinoma	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE262660
