tier	accession	organism	genotype_model	real_assay	captures_tumor_epithelium	captures_immune	n	testable_TROP2high_immunelow	notes	url
1	GSE180963	mouse	KrasG12D vs KrasG12D;Lkb1fl/fl (KL) lung GEMM	scRNA-seq of whole dissociated tumor nodules	yes	yes	partial (n=2: 1 K + 1 KL)	direct co-capture of tumor+immune from real KL mouse; the on-target reference. small n	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE180963
1	GSE179502	mouse	KT;Lkb1(XTR) restorable; sorted NEOPLASTIC cells	scRNA-seq (10x), sorted tumor cells	yes (73% Epcam+, 0.7% Ptprc+)	no (pre-sorted out)	yes (tumor half only)	VERIFIED: Tacstd2/TROP2 heterogeneous, 54.7% pos, distinct HIGH subset ~14% of tumor cells. best for confirming TROP2-high tumor states; pair with immune data for immune-low	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179502
1	GSE179501	mouse	KT;Lkb1(XTR) restorable; total viable FACS cells	scRNA-seq (10x), total viable	yes (13% Epcam+)	yes (63% Ptprc+)	yes	VERIFIED (crude): Tacstd2+ 3.4%, immune-dominated, ambient contamination (63% of Epcam+ also Ptprc+); Tacstd2-high vs neg immune diff weak (r=-0.087). needs proper clustering/doublet QC	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179501
1	GSE280232	human	resectable KRAS-mut lung, STK11-comut vs STK11-wt (neoadjuvant)	scRNA-seq + scTCR-seq (patient biospecimens)	yes	yes	yes	strongest HUMAN KL analog with immune outcomes; 6 KRAS/STK11-mut + 7 KRAS/STK11-wt patients. ideal to test TROP2-high immune-low in human KL	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE280232
2	GSE194166	mouse	KP vs KPL (Kras;p53;Lkb1) lung; sorted IMMUNE cells	scRNA-seq + scTCR-seq, immune-sorted	no (immune only)	yes	no (no tumor epithelium)	characterizes the immune-cold KL TME (TCF1+ CD8, AXL/PD-1); use for the immune-low signature, not the TROP2 tumor subset	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE194166
2	GSE274934	human	ALK+ NSCLC, poor immunotherapy response	scRNA-seq + CITE-seq + TCR (10x 5')	yes	yes	yes (immune-resistant, not KL)	immune-resistant human lung scRNA with tumor+immune; TROP2 testable but genotype is ALK not KL	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274934
2	GSE198099	human	NSCLC (2 patients: tumor/normal/LN)	scRNA-seq (10x)	yes	yes	yes (immune-suppressive, not KL)	immune-suppressive human NSCLC microenvironment; small n; TROP2 testable	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198099
2	GSE146100	human	multiple primary lung adenocarcinoma (3 resected)	scRNA-seq (10x)	yes	yes	yes (immunotherapy response, not KL)	induction-immunotherapy response heterogeneity; small n	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146100
3	GSE274351	mouse	K vs KP vs KL lung adenomas (+ normal), LCM	bulk RNA-seq (laser capture)	region-level	no	no	KL vs KP vs K bulk contrast; validate TROP2/immune signatures in situ regions, not single-cell	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274351
3	GSE244452	mouse	KP vs KL subcutaneous tumors (FAK study)	bulk RNA-seq (DEG)	no	no	no	KL immune-cold TME remodeling context (FAK); bulk only	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE244452
3	GSE175479	mouse	Kras / KL / Kras;AMPK-null lung	bulk RNA-seq	no	no	no	LKB1/AMPK immune-evasion axis; bulk validation	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE175479
3	GSE295685	mouse	STK11-null KL cells + CoREST inhibitor	bulk RNA-seq (cell line)	no	no	no	STK11-mutant sensitization to anti-PD-1; bulk cell line	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE295685
3	GSE277929	mouse	KL primary tumors (HDAC3 / T-cell exclusion)	bulk RNA-seq	no	no	no	T-cell exclusion in KL tumors; bulk; strong immune-cold biology context	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE277929
3	GSE302247	human	KRAS-LKB1 lung (H2122 DPP4 vs LUC)	bulk RNA-seq (cell line)	no	no	no	DPP4 anti-tumor immunity in KL; cell-line bulk only despite title	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302247
