tf	target	resource	confidence	effect	reference	note
CIITA	COL1A1	CollecTRI		Repression	CollecTRI:16439692;TRRUST:16439692;CollecTRI2:16439692	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	COL1A2	CollecTRI		Repression	CollecTRI2:16982097;CollecTRI2:19358337;CollecTRI2:16703565;CollecTRI:16439692;TRRUST:16439692;CollecTRI2:15247294;CollecTRI:15247294;TRRUST:15247294;CollecTRI2:16439692	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	CREBBP	CollecTRI		Activation	CollecTRI:9858618;TRRUST:9858618;CollecTRI2:9858618	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	FASLG	CollecTRI		Activation	TRRUST:14563113;CollecTRI2:16703565;CollecTRI2:11207239;CollecTRI2:14563113;CollecTRI2:11999167;CollecTRI:14563113;CollecTRI2:32103629	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	HLA-A	CollecTRI		Activation	CollecTRI2:19251712;CollecTRI2:34180145;CollecTRI2:10845913;CollecTRI2:34956181;TRRUST:10329350;CollecTRI:10329350;CollecTRI2:34352044;CollecTRI2:10329350	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	HLA-B	CollecTRI		Activation	CollecTRI2:11053628;TRRUST:11053628;CollecTRI:11053628	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	HLA-C	CollecTRI		Activation	CollecTRI2:11053628;CollecTRI2:31870593;CollecTRI2:10913187;CollecTRI:11053628;CollecTRI2:22771340;CollecTRI2:15821736;CollecTRI2:19862823;CollecTRI2:23516366;CollecTRI2:11101876;CollecTRI2:10725724;CollecTRI2:23175229;CollecTRI2:12072194;CollecTRI2:11514574;CollecTRI2:25127861;CollecTRI2:10725870;C	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	HLA-DMA	CollecTRI		Activation	CollecTRI2:7495736;CollecTRI:9300700;TRRUST:7495736;CollecTRI2:10809673;CollecTRI2:21940994;CollecTRI2:11431425;CollecTRI2:15644645;TRRUST:9300700;CollecTRI2:35433496;CollecTRI:7495736;CollecTRI2:9300700;CollecTRI2:11332992	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	HLA-DMB	CollecTRI		Activation	TRRUST:11889043;CollecTRI2:11889043;CollecTRI2:7495736;CollecTRI:9300700;TRRUST:7495736;TRRUST:9600954;CollecTRI:9600954;TRRUST:11332992;TRRUST:9300700;CollecTRI:7495736;CollecTRI:11889043;CollecTRI2:9600954;CollecTRI:11332992;CollecTRI2:9300700;CollecTRI2:11332992	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	HLA-DOA	CollecTRI		Activation	CollecTRI2:11823510;TRRUST:11823510;CollecTRI:11823510;CollecTRI2:19620312	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	HLA-DOB	CollecTRI		Activation	TRRUST:11823510;CollecTRI:11823510;CollecTRI2:12938212;CollecTRI2:10903745;CollecTRI2:12492813;CollecTRI2:11823510	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	HLA-DPB1	CollecTRI		Activation	CollecTRI2:11053628;TRRUST:11889043;CollecTRI2:11889043;CollecTRI2:10725724;CollecTRI2:12938212;CollecTRI2:11431425;CollecTRI2:9144488;CollecTRI:11889043	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	HLA-DQB1	CollecTRI		Activation	TRRUST:11332992;CollecTRI:11332992;CollecTRI2:11332992	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	HLA-DRA	CollecTRI		Activation	CollecTRI2:16236793;CollecTRI:9300692;CollecTRI:11889043;CollecTRI2:11429551;CollecTRI2:11397960;CollecTRI2:11889043;CollecTRI2:9300692;CollecTRI:9600954;CollecTRI2:9600954;TRRUST:11889043;TRRUST:9300692;TRRUST:9600954;CollecTRI2:9352360;CollecTRI:11429551;CollecTRI2:16619292;CollecTRI2:17478518;TRR	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	HLA-DRB1	CollecTRI		Activation	TRRUST:10886240;CollecTRI:10886240;CollecTRI2:10886240	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	HLA-DRB3	CollecTRI		Activation	TRRUST:10886240;CollecTRI:10886240;CollecTRI2:10886240	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	HLA-DRB4	CollecTRI		Activation	TRRUST:10886240;CollecTRI:10886240;CollecTRI2:10886240	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	HLA-DRB5	CollecTRI		Activation	TRRUST:10886240;CollecTRI:10886240;CollecTRI2:10886240	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	HLA-E	CollecTRI		Activation	CollecTRI2:14678199;CollecTRI:11137213;CollecTRI2:11137213	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	HLA-F	CollecTRI		Activation	TRRUST:11137213;CollecTRI2:14678199;CollecTRI:11137213;CollecTRI2:11137213	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	HLA-G	CollecTRI		Activation	CollecTRI2:10725724;CollecTRI2:11137213;CollecTRI2:19758196;CollecTRI:11137218;CollecTRI2:14678199;CollecTRI2:11137218;CollecTRI2:16879803;CollecTRI2:9806639;TRRUST:11137218	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	IL4	CollecTRI		Activation	CollecTRI2:16703565;CollecTRI2:10204493;CollecTRI2:11564890;CollecTRI2:17645498;CollecTRI2:12538670;TRRUST:17645498;CollecTRI:10946277;CollecTRI2:32103629;CollecTRI:17645498;TRRUST:10946277;CollecTRI2:11438649;CollecTRI2:10946277	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	IRF1	CollecTRI		Activation	CollecTRI2:15950283;TRRUST:15950283;TRRUST:12052885;CollecTRI:15950283;CollecTRI:12052885;CollecTRI2:12052885	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	IRF2	CollecTRI		Activation	CollecTRI:15950283;CollecTRI2:15950283;TRRUST:15950283	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	MMP9	CollecTRI		Repression	CollecTRI2:15247301;TRRUST:15247301;CollecTRI:15247301	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	PLXNA1	CollecTRI		Activation	CollecTRI2:16703565;CollecTRI2:15814328;CollecTRI2:12910265;CollecTRI:15814328;TRRUST:15814328	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	PSMC5	CollecTRI		Activation	TRRUST:22771340;CollecTRI:22771340;CollecTRI2:22771340	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	RAB4B	CollecTRI		Activation	TRRUST:17175541;CollecTRI:17175541;CollecTRI2:17175541	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	S100A4	CollecTRI		Repression	CollecTRI2:17143014;CollecTRI:17143014;TRRUST:17143014	CollecTRI via OmniPath; not a lung ChIP peak
CIITA	SIRT1	CollecTRI		Repression	CollecTRI2:21890893;CollecTRI2:26619800;CollecTRI2:22064865;CollecTRI2:26243517;CollecTRI:22064865;TRRUST:22064865	CollecTRI via OmniPath; not a lung ChIP peak
