dataset	analysis	comparison	metric	n	stat	value	p_value	note
GSE207422	cell_spearman_exploratory	TACSTD2 vs CytoTRACE-like	TACSTD2_log1p~cytotrace_like	9782	spearman_rho	-0.33716151960659746	1.263041017362763e-258	malignant-like = epithelial AND normal-lung ≤ epi p75; UMI≥200; cells as replicates — exploratory
GSE207422	cell_spearman_exploratory	CLDN4 vs CytoTRACE-like	CLDN4_log1p~cytotrace_like	9782	spearman_rho	-0.255835465668774	5.50223653383929e-146	malignant-like = epithelial AND normal-lung ≤ epi p75; UMI≥200; cells as replicates — exploratory
GSE207422	cell_spearman_exploratory	TACSTD2 vs cycling score	TACSTD2_log1p~cycle_score	9782	spearman_rho	0.18029612560912445	2.937864413573233e-72	malignant-like = epithelial AND normal-lung ≤ epi p75; UMI≥200; cells as replicates — exploratory
GSE207422	cell_spearman_exploratory	CLDN4 vs cycling score	CLDN4_log1p~cycle_score	9782	spearman_rho	0.20860875437443194	1.2499031958699186e-96	malignant-like = epithelial AND normal-lung ≤ epi p75; UMI≥200; cells as replicates — exploratory
GSE207422	cell_spearman_exploratory	TACSTD2 vs keratin	TACSTD2_log1p~keratin	9782	spearman_rho	0.26678987320167347	4.705073836138484e-159	malignant-like = epithelial AND normal-lung ≤ epi p75; UMI≥200; cells as replicates — exploratory
GSE207422	cell_spearman_exploratory	CLDN4 vs keratin	CLDN4_log1p~keratin	9782	spearman_rho	0.15949067514255091	9.599387000493821e-57	malignant-like = epithelial AND normal-lung ≤ epi p75; UMI≥200; cells as replicates — exploratory
GSE207422	cell_spearman_exploratory	TACSTD2 vs basal keratin	TACSTD2_log1p~keratin_basal	9782	spearman_rho	0.156856446351567	6.376456600996142e-55	malignant-like = epithelial AND normal-lung ≤ epi p75; UMI≥200; cells as replicates — exploratory
GSE207422	cell_spearman_exploratory	TACSTD2 vs alveolar/diff	TACSTD2_log1p~alveolar_diff	9782	spearman_rho	0.19569221092904412	4.873794024344768e-85	malignant-like = epithelial AND normal-lung ≤ epi p75; UMI≥200; cells as replicates — exploratory
GSE207422	cell_spearman_exploratory	TACSTD2 vs CLDN4	TACSTD2_log1p~CLDN4_log1p	9782	spearman_rho	0.6060859955803144	0.0	malignant-like = epithelial AND normal-lung ≤ epi p75; UMI≥200; cells as replicates — exploratory
GSE207422	cell_spearman_exploratory	TACSTD2 vs CytoTRACE-like within cycling cells	TACSTD2~cytotrace_like	2446	spearman_rho	-0.2076818251533313	3.075521794825027e-25	malignant-like = epithelial AND normal-lung ≤ epi p75; UMI≥200; cycling=top quartile; exploratory
GSE207422	cell_spearman_exploratory	TACSTD2 vs CytoTRACE-like within non-cycling cells	TACSTD2~cytotrace_like	2446	spearman_rho	-0.4427057535526293	6.188186836849105e-118	malignant-like = epithelial AND normal-lung ≤ epi p75; UMI≥200; non-cycling=bottom quartile; exploratory
GSE207422	cell_mwu_exploratory	TACSTD2 cycling vs non-cycling cells	TACSTD2_log1p	2446+2446	mannwhitney_u	4004732.0	5.480420501331264e-96	malignant-like = epithelial AND normal-lung ≤ epi p75; UMI≥200; exploratory
GSE207422	cell_mwu_exploratory	keratin cycling vs non-cycling cells	keratin	2446+2446	mannwhitney_u	3693193.5	5.740223772824289e-46	malignant-like = epithelial AND normal-lung ≤ epi p75; UMI≥200; exploratory
GSE207422	sample_spearman	TACSTD2 vs CytoTRACE-like	mean_TACSTD2~mean_cytotrace_like	9	spearman_rho	-0.6333333333333333	0.06708578689234572	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample
GSE207422	sample_spearman	CLDN4 vs CytoTRACE-like	mean_CLDN4~mean_cytotrace_like	9	spearman_rho	-0.5499999999999999	0.12497678418833194	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample
GSE207422	sample_spearman	TACSTD2 vs cycling score	mean_TACSTD2~mean_cycle	9	spearman_rho	0.7333333333333334	0.024554150071469705	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample
GSE207422	sample_spearman	CLDN4 vs cycling score	mean_CLDN4~mean_cycle	9	spearman_rho	0.8166666666666667	0.0072247852463587885	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample
GSE207422	sample_spearman	TACSTD2 vs keratin	mean_TACSTD2~mean_keratin	9	spearman_rho	0.8333333333333333	0.005265691029161747	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample
GSE207422	sample_spearman	CLDN4 vs keratin	mean_CLDN4~mean_keratin	9	spearman_rho	0.9333333333333332	0.00023589981215941651	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample
GSE207422	sample_spearman	TACSTD2 vs basal keratin	mean_TACSTD2~mean_keratin_basal	9	spearman_rho	0.7166666666666667	0.02981803569584528	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample
GSE207422	sample_spearman	TACSTD2 vs alveolar/diff	mean_TACSTD2~mean_alveolar	9	spearman_rho	0.5833333333333334	0.09918581647988327	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample
GSE207422	sample_spearman	TACSTD2 vs fraction cycling	mean_TACSTD2~frac_cycling	9	spearman_rho	0.6272087408492496	0.07060520621579136	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample
GSE207422	sample_spearman	CLDN4 vs fraction cycling	mean_CLDN4~frac_cycling	9	spearman_rho	0.8136762043449725	0.007621974237534982	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample
GSE207422	sample_spearman	CytoTRACE-like vs cycling score	mean_cytotrace_like~mean_cycle	9	spearman_rho	-0.7166666666666667	0.02981803569584528	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample
GSE207422	sample_spearman	CytoTRACE-like vs keratin	mean_cytotrace_like~mean_keratin	9	spearman_rho	-0.6	0.08762282904140249	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample
GSE207422	combinatorial_paired	TACSTD2 cycling vs non-cycling (paired sample means)	TACSTD2_log1p	5	wilcoxon_w	6.0	0.8125	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample; cycling=top quartile cycle_score; non-cycling=bottom quartile
GSE207422	combinatorial_paired	CLDN4 cycling vs non-cycling (paired sample means)	CLDN4_log1p	5	wilcoxon_w	6.0	0.8125	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample
GSE207422	tacstd2_high_diff	keratin TACSTD2-high vs low (paired sample means)	keratin	9	wilcoxon_w	4.0	0.02734375	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample; high/low = within-sample TACSTD2 quartiles
GSE207422	tacstd2_high_diff	CytoTRACE-like TACSTD2-high vs low (paired sample means)	cytotrace_like	9	wilcoxon_w	3.0	0.01953125	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample; high/low = within-sample TACSTD2 quartiles
GSE207422	tacstd2_high_diff	alveolar/diff TACSTD2-high vs low (paired sample means)	alveolar_diff	9	wilcoxon_w	0.0	0.00390625	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample
GSE207422	mpr_split	NMPR vs MPR malignant TACSTD2	mean_TACSTD2	7+2	mannwhitney_u	10.0	0.5	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample; MPR median=0.4317 (n=7); NMPR median=1.1029 (n=2); pCR counted as MPR
GSE207422	mpr_split	NMPR vs MPR malignant CLDN4	mean_CLDN4	7+2	mannwhitney_u	9.0	0.6666666666666666	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample; MPR median=0.4941 (n=7); NMPR median=0.7332 (n=2); pCR counted as MPR
GSE207422	mpr_split	NMPR vs MPR malignant CytoTRACE-like	mean_cytotrace_like	7+2	mannwhitney_u	6.0	0.8888888888888888	GSE207422 post-tx; malignant-like; min 20 cells; unit=sample; MPR median=0.6883 (n=7); NMPR median=0.6545 (n=2); pCR counted as MPR
