symbol	ensembl	row	present	n_tumors	n_quantified	n_missing	min	median	max	cohort
CLDN4	ENSG00000189143	ENSG00000189143.9	True	108	78	30	21.5292435671238	23.34019422656705	24.7252071327146	LSCC
HLA-A	ENSG00000206503	ENSG00000206503.13	True	108	108	0	25.2848424155172	27.53598865674575	30.6875352446621	LSCC
HLA-B	ENSG00000234745	ENSG00000234745.11	True	108	108	0	25.1102740010706	26.94179773711225	29.0549882812183	LSCC
HLA-C	ENSG00000204525	ENSG00000204525.16	True	108	108	0	24.3298855941255	26.299646095256	27.8060857735264	LSCC
HLA-E	ENSG00000204592	ENSG00000204592.9	True	108	108	0	24.1474979092573	25.225519630459353	26.395710077429	LSCC
HLA-F	ENSG00000204642	ENSG00000204642.14	True	108	108	0	22.5366005152204	23.862754053212	25.5965265586725	LSCC
HLA-G	ENSG00000204632	ENSG00000204632.11	True	108	20	88	16.5327431262218	17.60132457204	18.0769775959544	LSCC
B2M	ENSG00000166710		False	108	0	108				LSCC
CD8A	ENSG00000153563	ENSG00000153563.15	True	108	108	0	20.8889168129126	22.467822145599847	24.6152810811153	LSCC
CD8B	ENSG00000172116	ENSG00000172116.23	True	108	10	98	15.2515249902711	15.9437892808796	17.6101140367397	LSCC
TAP1	ENSG00000168394	ENSG00000168394.11	True	108	108	0	25.3970483077021	26.448484022610998	27.8343132324118	LSCC
TAP2	ENSG00000204267	ENSG00000204267.16	True	108	108	0	23.7092627896736	24.89784855723585	26.4511759817421	LSCC
TAPBP	ENSG00000231925	ENSG00000231925.12	True	108	108	0	26.1372075369269	27.2953187305005	28.7335611874469	LSCC
PSMB8	ENSG00000204264	ENSG00000204264.12	True	108	108	0	27.0468643945327	27.8973983106072	28.5474484342868	LSCC
PSMB9	ENSG00000240065	ENSG00000240065.8	True	108	108	0	25.9761419552713	26.832777711665052	27.4204914043743	LSCC
PSMB10	ENSG00000205220	ENSG00000205220.12	True	108	108	0	25.7372754528095	27.182310191747952	28.3297689419445	LSCC
NLRC5	ENSG00000140853	ENSG00000140853.15	True	108	103	5	18.7341298901577	19.8127297157115	20.6784184175006	LSCC
PRKDC	ENSG00000253729	ENSG00000253729.8	True	108	108	0	27.1168292732462	28.532974223272298	29.7856349226623	LSCC
XRCC5	ENSG00000079246	ENSG00000079246.16	True	108	108	0	28.6689010985642	29.115759253039002	29.9836397298115	LSCC
XRCC6	ENSG00000196419	ENSG00000196419.12	True	108	108	0	28.5552325403203	29.1756135989835	30.1935276050049	LSCC
XRCC4	ENSG00000152422	ENSG00000152422.16	True	108	108	0	23.2840362011389	23.9314218042216	24.6837880033637	LSCC
LIG4	ENSG00000174405	ENSG00000174405.13	True	108	108	0	21.8090219047447	22.3069074400395	23.1839252709202	LSCC
NHEJ1	ENSG00000187736	ENSG00000187736.12	True	108	108	0	22.4522880020502	23.230797288519447	24.3331420942108	LSCC
DCLRE1C	ENSG00000152457	ENSG00000152457.18	True	108	93	15	19.0687055318343	20.5046968005782	21.9741245188888	LSCC
STING1	ENSG00000184584	ENSG00000184584.13	True	108	108	0	23.7835087084377	24.99528164469445	26.1058895107576	LSCC
TBK1	ENSG00000183735	ENSG00000183735.10	True	108	108	0	24.4461502218871	25.035700195258002	25.534793449397	LSCC
IRF3	ENSG00000126456	ENSG00000126456.16	True	108	108	0	24.4059078913642	25.1048227394417	25.7378003645068	LSCC
IRF7	ENSG00000185507	ENSG00000185507.21	True	108	108	0	20.1692329596524	21.17887935574615	22.618988436716	LSCC
CGAS	ENSG00000164430	ENSG00000164430.16	True	108	108	0	21.277068996611	22.9649699367921	24.8632902357697	LSCC
IKBKE	ENSG00000143466		False	108	0	108				LSCC
CLDN4	ENSG00000189143	ENSG00000189143.9	True	110	79	31	21.4349671016967	23.0710721901358	24.9609243822922	LUAD
HLA-A	ENSG00000206503	ENSG00000206503.13	True	110	110	0	26.3798052752513	27.8512618528863	29.6543737395204	LUAD
HLA-B	ENSG00000234745	ENSG00000234745.11	True	110	110	0	24.8197634295323	26.98466554252615	28.5845701276638	LUAD
