condition	mouse	major_cell_type	n_cells	Cldn4_n_pos	Cldn4_frac_pos	Cldn4_mean	Cldn4_mean_log1p	n_leftover_epi_in_type
healthy	Healthy 1	Neutrophils	2034	7	0.00344149459193707	0.0031312792281189762	0.0021975431814621926	22
healthy	Healthy 1	B cells	326	0	0.0	0.0	0.0	3
healthy	Healthy 1	T cells	239	3	0.012552301255230125	0.009093065486034023	0.006755395589347015	5
healthy	Healthy 1	MoMacDC	189	0	0.0	0.0	0.0	9
healthy	Healthy 1	NK cells	157	1	0.006369426751592357	0.005741257556451103	0.004092857261260288	0
healthy	Healthy 1	pDC	3	0	0.0	0.0	0.0	0
healthy	Healthy 1	Basophils	2	0	0.0	0.0	0.0	0
healthy	Healthy 2	Neutrophils	2395	2	0.0008350730688935282	0.000958146828336496	0.0006381977007472337	15
healthy	Healthy 2	B cells	613	0	0.0	0.0	0.0	2
healthy	Healthy 2	MoMacDC	440	3	0.006818181818181818	0.0036148418159057355	0.00288637983489901	54
healthy	Healthy 2	T cells	251	0	0.0	0.0	0.0	1
healthy	Healthy 2	NK cells	73	0	0.0	0.0	0.0	1
healthy	Healthy 2	Basophils	9	0	0.0	0.0	0.0	0
healthy	Healthy 2	pDC	7	0	0.0	0.0	0.0	0
tumor	Tumor-bearing 1	Neutrophils	2815	7	0.002486678507992895	0.0021869961424675634	0.0015067142468109071	46
tumor	Tumor-bearing 1	T cells	933	2	0.0021436227224008574	0.0028320047776201934	0.0017427278680821375	10
tumor	Tumor-bearing 1	MoMacDC	856	3	0.0035046728971962616	0.0025181454743105625	0.0018304844364508384	41
tumor	Tumor-bearing 1	B cells	833	1	0.0012004801920768306	0.0016484566453423722	0.001037484091676695	11
tumor	Tumor-bearing 1	NK cells	263	1	0.0038022813688212928	0.0031105887091867706	0.002272941658238353	2
tumor	Tumor-bearing 1	pDC	31	0	0.0	0.0	0.0	3
tumor	Tumor-bearing 1	Basophils	10	0	0.0	0.0	0.0	0
tumor	Tumor-bearing 2	B cells	1041	5	0.004803073967339097	0.00618162287640067	0.00396085108278536	6
tumor	Tumor-bearing 2	MoMacDC	912	9	0.009868421052631578	0.006620989652849119	0.00486954251552101	18
tumor	Tumor-bearing 2	Neutrophils	778	2	0.002570694087403599	0.0023056625796329337	0.0016435011358645634	14
tumor	Tumor-bearing 2	T cells	558	1	0.0017921146953405018	0.0013067143144911528	0.0009814121590771218	7
tumor	Tumor-bearing 2	NK cells	137	0	0.0	0.0	0.0	0
tumor	Tumor-bearing 2	pDC	21	0	0.0	0.0	0.0	0
tumor	Tumor-bearing 2	Basophils	13	0	0.0	0.0	0.0	0
